precondition_item,artifact_or_check,expected_status,observed_status,precondition_passed,blocking_reasons
step13at_manifest,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_qa_gate_v0/covapie_covpdb_complex_card_metadata_acquisition_qa_gate_manifest.json,exists,True,True,
step13at_stage,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_qa_gate_v0/covapie_covpdb_complex_card_metadata_acquisition_qa_gate_manifest.json,covapie_covpdb_complex_card_metadata_acquisition_qa_gate_v0,covapie_covpdb_complex_card_metadata_acquisition_qa_gate_v0,True,
step13at_ready_for_html_probe,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_qa_gate_v0/covapie_covpdb_complex_card_metadata_acquisition_qa_gate_manifest.json,true,True,True,
step13at_event_fields_unresolved,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_qa_gate_v0/covapie_covpdb_complex_card_metadata_acquisition_qa_gate_manifest.json,0 resolved,0,True,
event_field_summary,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_qa_gate_v0/covapie_covpdb_complex_card_event_field_status_summary_qa.csv,5 rows,5,True,
event_key_summary,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_qa_gate_v0/covapie_covpdb_complex_card_event_key_resolution_summary_qa.csv,1 row,1,True,
unresolved_reason_qa,data/derived/covalent_small/covapie_covpdb_complex_card_metadata_acquisition_qa_gate_v0/covapie_covpdb_complex_card_unresolved_reason_qa.csv,5 rows,5,True,
metadata_csv_first5,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,5 rows,5,True,
covapie_naming_convention,docs/covapie_project_naming_convention.md,exists,True,True,
metadata_csv_hash_unchanged,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,True,
protected_source_diff,git diff equivariant_diffusion/ lightning_modules.py,empty,False,True,
original_dataloader_diff,git diff dataset.py data/prepare_crossdocked.py,empty,False,True,
raw_files_staged,git diff --cached data/raw/covalent_sources,false,False,True,
raw_files_tracked,git ls-files data/raw/covalent_sources,false,False,True,
