boundary_item,current_step_status,execution_boundary_passed,blocking_reasons
raw_structure_event_annotation_qa_gate,executed_readonly_qa_only,True,
step13av_manifest_read,executed_manifest_read_only,True,
step13av_download_audit_read,executed_csv_read_only,True,
step13av_storage_audit_read,executed_csv_read_only,True,
step13av_format_inventory_read,executed_csv_read_only,True,
step13av_struct_conn_inventory_read,executed_csv_read_only,True,
step13av_atom_site_validation_read,executed_csv_read_only,True,
step13av_candidate_annotation_read,executed_csv_read_only,True,
step13av_resolution_audit_read,executed_csv_read_only,True,
raw_file_presence_check,executed_path_and_git_status_only_no_raw_text_read,True,
external_network_access,not_executed_or_not_allowed,True,
raw_structure_download,not_executed_or_not_allowed,True,
raw_ligand_download,not_executed_or_not_allowed,True,
raw_file_created,not_executed_or_not_allowed,True,
raw_data_text_read,not_executed_or_not_allowed,True,
sdf_read,not_executed_or_not_allowed,True,
pdb_text_read,not_executed_or_not_allowed,True,
mmcif_text_read,not_executed_or_not_allowed,True,
gzip_open,not_executed_or_not_allowed,True,
rdkit_use,not_executed_or_not_allowed,True,
biopdb_use,not_executed_or_not_allowed,True,
gemmi_use,not_executed_or_not_allowed,True,
candidate_metadata_materialization,not_executed_or_not_allowed,True,
allowlist_materialization,not_executed_or_not_allowed,True,
torch_import,not_executed_or_not_allowed,True,
model_forward,not_executed_or_not_allowed,True,
training_claim,not_executed_or_not_allowed,True,
