precondition_item,artifact_or_check,expected_status,observed_status,precondition_passed,blocking_reasons
step13au_manifest,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_design_gate_v0/covapie_raw_structure_event_annotation_design_gate_manifest.json,exists,True,True,
step13au_stage,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_design_gate_v0/covapie_raw_structure_event_annotation_design_gate_manifest.json,covapie_covpdb_raw_structure_event_annotation_design_gate_v0,covapie_covpdb_raw_structure_event_annotation_design_gate_v0,True,
step13au_ready,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_design_gate_v0/covapie_raw_structure_event_annotation_design_gate_manifest.json,true,True,True,
download_scope_contract,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_design_gate_v0/covapie_raw_structure_download_scope_contract.csv,exists,True,True,
source_url_contract,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_design_gate_v0/covapie_raw_structure_source_url_contract.csv,exists,True,True,
storage_contract,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_design_gate_v0/covapie_raw_structure_storage_contract.csv,exists,True,True,
parser_priority_contract,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_design_gate_v0/covapie_raw_structure_parser_priority_contract.csv,exists,True,True,
mmcif_mapping_contract,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_design_gate_v0/covapie_mmcif_struct_conn_field_mapping_contract.csv,exists,True,True,
pdb_mapping_contract,data/derived/covalent_small/covapie_covpdb_raw_structure_event_annotation_design_gate_v0/covapie_pdb_link_record_field_mapping_contract.csv,exists,True,True,
metadata_hash_unchanged,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,True,
