leakage_split_item,current_step_status,future_required_gate,split_written_current_step,leakage_matrix_written_current_step,blocking_for_training,leakage_split_audit_passed,blocking_reasons
pdb_id_leakage_placeholder,placeholder_only_no_split_written,covapie_leakage_split_design_gate_before_training,False,False,True,True,
ligand_identity_leakage_placeholder,placeholder_only_no_split_written,covapie_leakage_split_design_gate_before_training,False,False,True,True,
scaffold_leakage_placeholder,placeholder_only_no_split_written,covapie_leakage_split_design_gate_before_training,False,False,True,True,
warhead_type_leakage_placeholder,placeholder_only_no_split_written,covapie_leakage_split_design_gate_before_training,False,False,True,True,
protein_family_split_placeholder,placeholder_only_no_split_written,covapie_leakage_split_design_gate_before_training,False,False,True,True,
target_holdout_placeholder,placeholder_only_no_split_written,covapie_leakage_split_design_gate_before_training,False,False,True,True,
nlrp3_holdout_policy_placeholder,placeholder_only_no_split_written,covapie_leakage_split_design_gate_before_training,False,False,True,True,
covalent_vs_noncovalent_mixing_placeholder,placeholder_only_no_split_written,covapie_leakage_split_design_gate_before_training,False,False,True,True,
train_val_test_assignment_deferred,placeholder_only_no_split_written,covapie_leakage_split_design_gate_before_training,False,False,True,True,
no_split_written_current_step,placeholder_only_no_split_written,covapie_leakage_split_design_gate_before_training,False,False,True,True,
no_leakage_matrix_written_current_step,placeholder_only_no_split_written,covapie_leakage_split_design_gate_before_training,False,False,True,True,
future_split_design_gate_required,placeholder_only_no_split_written,covapie_leakage_split_design_gate_before_training,False,False,True,True,
