failure_case,mutation_signature,mutated_field,mutated_value_json,expected_reason,observed_reasons,expected_reason_verified,fails_closed,review_package_index_row_count,class_review_template_row_count,sample_review_template_row_count,role_proposal_generation_ready,mask_materialization_ready,model_integration_ready,training_ready,verified
BASE source missing,base_source_present=false,base_source_present,false,BASE_source_missing,BASE_source_missing,true,true,0,0,0,false,false,false,false,true
BASE source SHA mismatch,base_source_sha_matches=false,base_source_sha_matches,false,BASE_source_SHA_mismatch,BASE_source_SHA_mismatch,true,true,0,0,0,false,false,false,false,true
review-gate transaction not succeeded,review_gate_transaction_succeeded=false,review_gate_transaction_succeeded,false,review_gate_transaction_not_succeeded,review_gate_transaction_not_succeeded,true,true,0,0,0,false,false,false,false,true
review-gate design not completed,review_gate_design_completed=false,review_gate_design_completed,false,review_gate_design_not_completed,review_gate_design_not_completed,true,true,0,0,0,false,false,false,false,true
package materialization readiness false,package_materialization_ready=false,package_materialization_ready,false,package_materialization_readiness_false,package_materialization_readiness_false,true,true,0,0,0,false,false,false,false,true
class source count not 7,class_source_count=6,class_source_count,6,class_source_count_not_7,class_source_count_not_7,true,true,0,0,0,false,false,false,false,true
sample source count not 11,sample_source_count=10,sample_source_count,10,sample_source_count_not_11,sample_source_count_not_11,true,true,0,0,0,false,false,false,false,true
duplicate class identity,duplicate_class_identity=true,duplicate_class_identity,true,duplicate_class_identity,duplicate_class_identity,true,true,0,0,0,false,false,false,false,true
class index non-contiguous,class_index_contiguous=false,class_index_contiguous,false,class_index_non_contiguous,class_index_non_contiguous,true,true,0,0,0,false,false,false,false,true
duplicate sample identity,duplicate_sample_identity=true,duplicate_sample_identity,true,duplicate_sample_identity,duplicate_sample_identity,true,true,0,0,0,false,false,false,false,true
class-family-rule link mismatch,class_family_rule_links_match=false,class_family_rule_links_match,false,class_family_rule_link_mismatch,class_family_rule_link_mismatch,true,true,0,0,0,false,false,false,false,true
sample-class-family-rule link mismatch,sample_class_family_rule_links_match=false,sample_class_family_rule_links_match,false,sample_class_family_rule_link_mismatch,sample_class_family_rule_link_mismatch,true,true,0,0,0,false,false,false,false,true
assignment record SHA mismatch,assignment_record_sha_matches=false,assignment_record_sha_matches,false,assignment_record_SHA_mismatch,assignment_record_SHA_mismatch,true,true,0,0,0,false,false,false,false,true
class source record field missing,class_source_field_present=false,class_source_field_present,false,class_source_record_field_missing,class_source_record_field_missing,true,true,0,0,0,false,false,false,false,true
class source record extra field,class_source_has_no_extra_field=false,class_source_has_no_extra_field,false,class_source_record_extra_field,class_source_record_extra_field,true,true,0,0,0,false,false,false,false,true
class source record exact type invalid,class_source_exact_type_valid=false,class_source_exact_type_valid,false,class_source_record_exact_type_invalid,class_source_record_exact_type_invalid,true,true,0,0,0,false,false,false,false,true
class source record bool-as-int,class_source_bool_not_int=false,class_source_bool_not_int,false,class_source_record_bool_as_int,class_source_record_bool_as_int,true,true,0,0,0,false,false,false,false,true
class source SHA mismatch,class_source_sha_matches=false,class_source_sha_matches,false,class_source_SHA_mismatch,class_source_SHA_mismatch,true,true,0,0,0,false,false,false,false,true
duplicate class source SHA,duplicate_class_source_sha=true,duplicate_class_source_sha,true,duplicate_class_source_SHA,duplicate_class_source_SHA,true,true,0,0,0,false,false,false,false,true
representative sample IDs unsorted,representative_samples_sorted=false,representative_samples_sorted,false,representative_sample_IDs_unsorted,representative_sample_IDs_unsorted,true,true,0,0,0,false,false,false,false,true
representative sample IDs duplicated,representative_samples_unique=false,representative_samples_unique,false,representative_sample_IDs_duplicated,representative_sample_IDs_duplicated,true,true,0,0,0,false,false,false,false,true
representative sample coverage mismatch,representative_sample_coverage_matches=false,representative_sample_coverage_matches,false,representative_sample_coverage_mismatch,representative_sample_coverage_mismatch,true,true,0,0,0,false,false,false,false,true
representative component IDs invalid,representative_components_valid=false,representative_components_valid,false,representative_component_IDs_invalid,representative_component_IDs_invalid,true,true,0,0,0,false,false,false,false,true
class template field inventory mismatch,class_template_inventory_matches=false,class_template_inventory_matches,false,class_template_field_inventory_mismatch,class_template_field_inventory_mismatch,true,true,0,0,0,false,false,false,false,true
sample template field inventory mismatch,sample_template_inventory_matches=false,sample_template_inventory_matches,false,sample_template_field_inventory_mismatch,sample_template_field_inventory_mismatch,true,true,0,0,0,false,false,false,false,true
review version or unit type mismatch,review_version_and_unit_match=false,review_version_and_unit_match,false,review_version_or_unit_type_mismatch,review_version_or_unit_type_mismatch,true,true,0,0,0,false,false,false,false,true
template decision prefilled,template_decisions_blank=false,template_decisions_blank,false,template_decision_prefilled,template_decision_prefilled,true,true,0,0,0,false,false,false,false,true
template reviewer/rationale/notes prefilled,template_metadata_blank=false,template_metadata_blank,false,template_reviewer_rationale_notes_prefilled,template_reviewer_rationale_notes_prefilled,true,true,0,0,0,false,false,false,false,true
template SMARTS prefilled,template_smarts_blank=false,template_smarts_blank,false,template_SMARTS_prefilled,template_SMARTS_prefilled,true,true,0,0,0,false,false,false,false,true
template review-record SHA prefilled,template_review_sha_blank=false,template_review_sha_blank,false,template_review_record_SHA_prefilled,template_review_record_SHA_prefilled,true,true,0,0,0,false,false,false,false,true
sample source-assignment SHA mismatch,sample_source_assignment_sha_matches=false,sample_source_assignment_sha_matches,false,sample_source_assignment_SHA_mismatch,sample_source_assignment_SHA_mismatch,true,true,0,0,0,false,false,false,false,true
package-index count or ordering mismatch,package_index_count_and_order_match=false,package_index_count_and_order_match,false,package_index_count_or_ordering_mismatch,package_index_count_or_ordering_mismatch,true,true,0,0,0,false,false,false,false,true
package-index source/template SHA mismatch,package_index_source_and_template_sha_match=false,package_index_source_and_template_sha_match,false,package_index_source_or_template_SHA_mismatch,package_index_source_or_template_SHA_mismatch,true,true,0,0,0,false,false,false,false,true
partial materialization attempted,partial_materialization_attempted=true,partial_materialization_attempted,true,partial_materialization_attempted,partial_materialization_attempted,true,true,0,0,0,false,false,false,false,true
approval/gold/role/model/training readiness prematurely opened,downstream_readiness_closed=false,downstream_readiness_closed,false,downstream_readiness_prematurely_opened,downstream_readiness_prematurely_opened,true,true,0,0,0,false,false,false,false,true
execution boundary crossed,execution_boundary_crossed=true,execution_boundary_crossed,true,execution_boundary_crossed,execution_boundary_crossed,true,true,0,0,0,false,false,false,false,true
