sample_index_row_id,pdb_id,ligand_comp_id,parent_component_graph_authority_available,observed_atom_projection_exact,observed_projected_graph_available,parent_graph_valid,observed_graph_valid,pre_reaction_connectivity_available,pre_reaction_bond_order_available,observed_atom_count,projected_bond_count,observed_graph_sha256,reactive_ligand_atom_available,retained_local_index_contiguous,reaction_family_label_available,approved_warhead_rule_available,role_proposal_available,minimal_seed_proposal_available,human_gold_review_completed,ready_for_mask_materialization,ready_for_tensorization,ready_for_model_integration,ready_for_training,planned_covalent_model_module_count,integrated_covalent_model_module_count,blocking_reasons,verified
CYS_SG_SAMPLE_INDEX_000001,6BV6,JUG,true,true,true,true,true,true,true,13,14,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,true,true,false,false,false,false,false,false,false,false,false,5,0,reaction_family_labels_missing;approved_warhead_rules_missing;role_proposals_missing;minimal_seed_proposals_missing;current11_human_gold_review_missing,true
CYS_SG_SAMPLE_INDEX_000002,6BV8,JUG,true,true,true,true,true,true,true,13,14,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,true,true,false,false,false,false,false,false,false,false,false,5,0,reaction_family_labels_missing;approved_warhead_rules_missing;role_proposals_missing;minimal_seed_proposals_missing;current11_human_gold_review_missing,true
CYS_SG_SAMPLE_INDEX_000003,6BV5,JUG,true,true,true,true,true,true,true,13,14,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,true,true,false,false,false,false,false,false,false,false,false,5,0,reaction_family_labels_missing;approved_warhead_rules_missing;role_proposals_missing;minimal_seed_proposals_missing;current11_human_gold_review_missing,true
CYS_SG_SAMPLE_INDEX_000004,1AEC,E64,true,true,true,true,true,true,true,25,24,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,true,true,false,false,false,false,false,false,false,false,false,5,0,reaction_family_labels_missing;approved_warhead_rules_missing;role_proposals_missing;minimal_seed_proposals_missing;current11_human_gold_review_missing,true
CYS_SG_SAMPLE_INDEX_000005,1AIM,ZYA,true,true,true,true,true,true,true,28,29,9867361b0f4625bd935f4831115eb3fca234ccd0ed34635ac973d180e84ed212,true,true,false,false,false,false,false,false,false,false,false,5,0,reaction_family_labels_missing;approved_warhead_rules_missing;role_proposals_missing;minimal_seed_proposals_missing;current11_human_gold_review_missing,true
CYS_SG_SAMPLE_INDEX_000006,1AU3,PCM,true,true,true,true,true,true,true,43,45,242ed3f61168a2e8f38b179bc1e90b4131d75fba516aad185cd8a9c0010a91eb,true,true,false,false,false,false,false,false,false,false,false,5,0,reaction_family_labels_missing;approved_warhead_rules_missing;role_proposals_missing;minimal_seed_proposals_missing;current11_human_gold_review_missing,true
CYS_SG_SAMPLE_INDEX_000007,1AU4,INP,true,true,true,true,true,true,true,42,44,e3c89c1988101e5064c905158b2332adfcf833424957769fa36750d9e5bfdbb8,true,true,false,false,false,false,false,false,false,false,false,5,0,reaction_family_labels_missing;approved_warhead_rules_missing;role_proposals_missing;minimal_seed_proposals_missing;current11_human_gold_review_missing,true
CYS_SG_SAMPLE_INDEX_000008,1AYU,INA,true,true,true,true,true,true,true,42,43,9301ce1298133a5f1c3b22bee503288fd3f3b2492a048049d4e5419ef4a23788,true,true,false,false,false,false,false,false,false,false,false,5,0,reaction_family_labels_missing;approved_warhead_rules_missing;role_proposals_missing;minimal_seed_proposals_missing;current11_human_gold_review_missing,true
CYS_SG_SAMPLE_INDEX_000009,1AYV,IN6,true,true,true,true,true,true,true,43,45,5051c93e26f89216eeceffcc7d7fbf600cf26343910a46daca9f5a9453aab8d6,true,true,false,false,false,false,false,false,false,false,false,5,0,reaction_family_labels_missing;approved_warhead_rules_missing;role_proposals_missing;minimal_seed_proposals_missing;current11_human_gold_review_missing,true
CYS_SG_SAMPLE_INDEX_000010,1AYW,IN3,true,true,true,true,true,true,true,40,42,764e7b55f9a4fdb731d1417afbe4bea3908976fc4d075d017e535798dfa1b995,true,true,false,false,false,false,false,false,false,false,false,5,0,reaction_family_labels_missing;approved_warhead_rules_missing;role_proposals_missing;minimal_seed_proposals_missing;current11_human_gold_review_missing,true
CYS_SG_SAMPLE_INDEX_000011,1B02,UFP,true,true,true,true,true,true,true,21,22,0bbb2714019233cd9b1b5bb6b2090ba91604048b1c2141e45fd481601edf1b43,true,true,false,false,false,false,false,false,false,false,false,5,0,reaction_family_labels_missing;approved_warhead_rules_missing;role_proposals_missing;minimal_seed_proposals_missing;current11_human_gold_review_missing,true
