sample_index_row_id,pdb_id,ligand_comp_id,descriptor_graph_support_present,atom_named_graph_authority_present,atom_named_parent_graph_available,parent_bond_order_authority_available,observed_atom_projection_exact,leaving_group_projection_valid,parent_graph_valid,observed_graph_valid,pre_reaction_connectivity_available,pre_reaction_bond_order_available,reaction_family_label_available,approved_warhead_rule_available,role_proposal_generation_ready,minimal_seed_proposal_generation_ready,human_gold_review_completed,ready_for_mask_materialization,ready_for_tensorization,ready_for_model_integration,ready_for_training,blocking_reasons,verified
CYS_SG_SAMPLE_INDEX_000001,6BV6,JUG,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,BASE_tracked_atom_named_CCD_source_missing:JUG;parent_atom_authority_unavailable;parent_bond_order_authority_unavailable;observed_to_parent_exact_projection_unavailable,true
CYS_SG_SAMPLE_INDEX_000002,6BV8,JUG,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,BASE_tracked_atom_named_CCD_source_missing:JUG;parent_atom_authority_unavailable;parent_bond_order_authority_unavailable;observed_to_parent_exact_projection_unavailable,true
CYS_SG_SAMPLE_INDEX_000003,6BV5,JUG,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,BASE_tracked_atom_named_CCD_source_missing:JUG;parent_atom_authority_unavailable;parent_bond_order_authority_unavailable;observed_to_parent_exact_projection_unavailable,true
CYS_SG_SAMPLE_INDEX_000004,1AEC,E64,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,BASE_tracked_atom_named_CCD_source_missing:E64;parent_atom_authority_unavailable;parent_bond_order_authority_unavailable;observed_to_parent_exact_projection_unavailable,true
CYS_SG_SAMPLE_INDEX_000005,1AIM,ZYA,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,BASE_tracked_atom_named_CCD_source_missing:ZYA;parent_atom_authority_unavailable;parent_bond_order_authority_unavailable;observed_to_parent_exact_projection_unavailable;ZYA_F1_support_present_but_parent_CM_F1_bond_not_BASE_authority,true
CYS_SG_SAMPLE_INDEX_000006,1AU3,PCM,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,BASE_tracked_atom_named_CCD_source_missing:PCM;parent_atom_authority_unavailable;parent_bond_order_authority_unavailable;observed_to_parent_exact_projection_unavailable,true
CYS_SG_SAMPLE_INDEX_000007,1AU4,INP,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,BASE_tracked_atom_named_CCD_source_missing:INP;parent_atom_authority_unavailable;parent_bond_order_authority_unavailable;observed_to_parent_exact_projection_unavailable,true
CYS_SG_SAMPLE_INDEX_000008,1AYU,INA,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,BASE_tracked_atom_named_CCD_source_missing:INA;parent_atom_authority_unavailable;parent_bond_order_authority_unavailable;observed_to_parent_exact_projection_unavailable,true
CYS_SG_SAMPLE_INDEX_000009,1AYV,IN6,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,BASE_tracked_atom_named_CCD_source_missing:IN6;parent_atom_authority_unavailable;parent_bond_order_authority_unavailable;observed_to_parent_exact_projection_unavailable,true
CYS_SG_SAMPLE_INDEX_000010,1AYW,IN3,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,BASE_tracked_atom_named_CCD_source_missing:IN3;parent_atom_authority_unavailable;parent_bond_order_authority_unavailable;observed_to_parent_exact_projection_unavailable,true
CYS_SG_SAMPLE_INDEX_000011,1B02,UFP,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,BASE_tracked_atom_named_CCD_source_missing:UFP;parent_atom_authority_unavailable;parent_bond_order_authority_unavailable;observed_to_parent_exact_projection_unavailable,true
