case_id,failure_case,mutation_signature,validator_target,test_node_id,expected_error,fails_closed,verified
X01,current11_row_count_not_11,matrix_row_deleted,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X01],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X02,duplicate_sample,sample_identity_duplicated,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X02],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X03,family_candidate_missing,candidate_family_id_empty,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X03],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X04,rule_candidate_missing,candidate_rule_id_empty,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X04],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X05,multiple_family_candidates,family_candidate_count=2,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X05],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X06,multiple_rule_candidates,rule_candidate_count=2,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X06],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X07,family_effective_boundary_mismatch,effective_family_id_mismatch,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X07],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X08,rule_effective_boundary_mismatch,effective_rule_id_mismatch,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X08],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X09,family_rule_mapping_mismatch,registry_family_id_mismatch,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X09],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X10,rule_reactive_ligand_atom_mismatch,reactive_atom_match=false,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X10],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X11,rule_target_cys_sg_mismatch,target_atom=NZ,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X11],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X12,graph_sha_mismatch,graph_sha_match=false,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X12],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X13,reaction_delta_mismatch,reaction_delta_match=false,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X13],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X14,leaving_group_disposition_mismatch,leaving_group_match=false,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X14],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X15,warhead_atom_set_mismatch,warhead_atom_set_match=false,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X15],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X16,attachment_boundary_mismatch,attachment_boundary_match=false,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X16],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X17,boundary_review_impersonates_family_approval,family_attested=true_without_schema,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X17],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X18,selected_candidate_impersonates_full_rule_approval,full_rule_attested=true_without_schema,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X18],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X19,family_attestation_schema_invented,schema_family_attestation_field=true,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X19],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X20,rule_attestation_schema_invented,schema_rule_attestation_field=true,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X20],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X21,approved_false_renamed_approved,registry_approved=true,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X21],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X22,human_review_false_ignored,registry_human_review_completed=true,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X22],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X23,approved_smarts_missing_but_complete,smarts_complete_claim=true,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X23],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X24,graph_signature_impersonates_approved_smarts,graph_equivalence_contract=true,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X24],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X25,rule_version_missing_ignored,rule_version_complete_claim=true,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X25],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X26,family_version_missing_ignored,family_version_complete_claim=true,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X26],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X27,expected_bond_orders_missing_ignored,bond_orders_complete_claim=true,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X27],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X28,formal_charge_policy_missing_ignored,charge_complete_claim=true,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X28],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X29,allowed_match_count_missing_ignored,match_count_complete_claim=true,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X29],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X30,priority_tie_policy_missing_ignored,priority_complete_claim=true,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X30],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X31,conflicted_repeated_rule_definition,repeated_rule_consistent=false,binding_state,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X31],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X32,role_seed_readiness_opened_early,role_proposal_readiness=true,response,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X32],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X33,materialization_or_training_opened_early,ready_for_training=true,response,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X33],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X34,recommended_next_mismatches_blocker,recommended_next=wrong,response,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X34],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X35,response_tampering_with_recomputed_digest,bound_count=1_rehashed,response,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X35],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X36,lifecycle_not_commit_survivable,formal_parent_mismatch,lifecycle,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X36],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X37,index_hides_actual_worktree_drift,actual_blob_differs_from_index,lifecycle,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X37],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X38,valid_looking_external_witness_substitution,origin_sha_substituted,response,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X38],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X39,legacy_submission_ingestion_transport_mismatch,legacy_submission_filesystem_sha_substituted,review_lineage,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X39],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
X40,multi_submission_ingestion_transport_mismatch,multi_submission_filesystem_sha_substituted,review_lineage,tests/test_covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1.py::test_failure_matrix_case_fails_closed[X40],COVAPIE_CURRENT11_FAMILY_RULE_AUTHORITY_BINDING_INVALID,true,true
