evidence_id,source_namespace,source_commit_or_direct_producer,source_path,source_sha256,lineage_note,verified
B01,git_object,2e07b7b094e2dccc69eaf29b5f51db0f9af2e81b,data/derived/covalent_small/covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1/covapie_current11_family_rule_authority_binding_matrix.csv,7064c1d0153ba1399bfdae8affcf21ead3f27e8a933987cd025ba5101a92bb61,formal_binding_matrix,true
B02,git_object,2e07b7b094e2dccc69eaf29b5f51db0f9af2e81b,data/derived/covalent_small/covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1/covapie_family_and_warhead_rule_authority_registry.csv,4899d4664acf45d5ee90283e7977d62385b3a70fe41e082f4d060388be7e106b,formal_binding_registry,true
B03,git_object,2e07b7b094e2dccc69eaf29b5f51db0f9af2e81b,data/derived/covalent_small/covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1/covapie_family_rule_binding_source_inventory.csv,9e1533d8135d253b3360954b218f0219c56bc21aee424b4fce7ba8bc2672eae7,binding_source_lineage,true
B04,git_object,2e07b7b094e2dccc69eaf29b5f51db0f9af2e81b,data/derived/covalent_small/covapie_current11_reaction_family_and_approved_warhead_rule_authority_binding_v1/covapie_family_rule_authority_binding_manifest.json,0a6f6228e6397d3ccaef87a93a8c45dcab5e3c505cf0091a08c2bec335712dcc,binding_conclusion,true
C01,git_object,0c8d1d10260a028360357b8c309f22676fc81645,data/derived/covalent_small/covapie_current11_cys_sg_reaction_family_and_warhead_rule_assignments_v1/covapie_current11_cys_sg_candidate_assignment_authority.csv,bc49e2f1ca112ceae30c91fa492386f6012c9005fc5137b40d3daec2343ef5d9,candidate_sample_assignments,true
C02,git_object,dc1222503dcec83220a28df2abdae898a0855864,data/derived/covalent_small/covapie_cys_sg_reaction_family_and_warhead_rule_registry_design_v1/covapie_cys_sg_warhead_rule_registry.csv,3311aaca925e29036b702822bd85fbaf4e2c3a02c9b7882d255956c65cd02309,candidate_local_graph_rules,true
S01,sha_bound_formal_state,51810f19e0bbb96171a7dd3aebd72ef08eda0200,state://manual-review/covapie_current11_unified_effective_authority_view_v1.json,f4178987f3c3eed0e248f6d3d5f22cb8bce1839d39ab08aff0bff9d2ef9f3774,unified_effective_authority;transitive_binder=1cdbca345483022ece967b24de37013b77349cd4;direct_producer=51810f19e0bbb96171a7dd3aebd72ef08eda0200,true
S02,sha_bound_formal_state,b917bf16ae4e08f35c20074300142e3c7cedbabf,state://manual-review/covapie_current11_real_human_review_submission_bundle_v1.json,b40c7fad5eedfd5208dd3bc8919cf0aedfe4c22887c27e49475c29a9fcd2b0f3,legacy_submission;transitive_binder=1cdbca345483022ece967b24de37013b77349cd4,true
S03,sha_bound_formal_state,7bf2d25bfcef55b8de2a064d6b20d9206b1e5298,state://manual-review/covapie_current11_real_human_review_ingestion_execution_bundle_v1.json,e7099dd28ba51c6935aa4b534815abd1a9f6f46f60be3553d1bb54f1dd4d8dfb,legacy_ingestion;directly_consumes=S02;transitive_binder=1cdbca345483022ece967b24de37013b77349cd4,true
S04,sha_bound_formal_state,433e4c3e95a13a02e8cfefbecd28d79d62df37c1,state://manual-review/covapie_current11_multi_boundary_human_review_submission_bundle_v1.json,1e59537e6802d5500f4adce418a481a5b730968f4ecdfa73b8c90c7946e2ee24,multi_boundary_submission;directly_consumes=S02|S03;transitive_binder=1cdbca345483022ece967b24de37013b77349cd4,true
S05,sha_bound_formal_state,ab7eff978e97823d3205f919584893dc87c544f2,state://manual-review/covapie_current11_multi_boundary_human_review_ingestion_execution_bundle_v1.json,d837ee22f9fa39fcc9f70ebd1a639e4abd899af4b2c4fd5995c436ceefe7b018,multi_boundary_ingestion;directly_consumes=S03|S04;transitive_binder=1cdbca345483022ece967b24de37013b77349cd4,true
S06,sha_bound_formal_state,ddf3852519cac5eb0d0e50ef919c15ca36fc127a,state://manual-review/covapie_current11_multi_boundary_authority_bundle_v1.json,631f134390abd29311a5a8a5ff20b42e4ddd73fd0c37b5f2b9b5f899d055ea41,multi_boundary_authority;directly_consumes=S03|S05;transitive_binder=1cdbca345483022ece967b24de37013b77349cd4,true
