package_option_version,package_item_order_0based,option_order_within_sample_0based,sample_index_row_id,pdb_id,ligand_comp_id,warhead_type_candidate_class_index_0based,warhead_type_candidate_class_id,reaction_family_id,warhead_rule_id,source_proposal_record_sha256,source_candidate_set_sha256,source_bridge_candidate_index_0based,source_bridge_candidate_record_sha256,boundary_bond_id,warhead_attachment_atom_id,nonwarhead_boundary_atom_id,boundary_bond_order,warhead_side_atom_ids,warhead_extra_atom_ids_beyond_local_center,local_reaction_center_atom_ids,required_leaving_group_atom_ids,warhead_side_atom_count,nonwarhead_side_atom_count,candidate_admitted,review_eligible,blocking_reasons,package_option_record_sha256
covapie_current11_warhead_atom_set_and_attachment_boundary_review_option_v1,0,0,CYS_SG_SAMPLE_INDEX_000001,6BV6,JUG,3,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0,COVAPIE_CYS_SG_REACTION_FAMILY_6A5C7B2B614B5F52,COVAPIE_CYS_SG_WARHEAD_RULE_8B640E1A031138F0,ae49a06e1da0a33c01912207dfd53d9d1a1d9d62b7a3a449f9976e9a456557c4,d7dc4b8d14698755321877629f2ae0a8533b24120c723d0d2ed8132903cc4c2b,0,5374c4e9b6368ba70b272050cdde5167f8a11eff8a9c5d999cdc29adcb7f6231,CAI|OAC|single,CAI,OAC,single,"[""CAD"",""CAE"",""CAF"",""CAG"",""CAH"",""CAI"",""CAJ"",""CAK"",""CAL"",""CAM"",""OAA"",""OAB""]","[""CAD"",""CAE"",""CAH"",""CAI"",""CAJ"",""CAL"",""CAM"",""OAA"",""OAB""]","[""CAF"",""CAG"",""CAK""]",[],12,1,true,true,,c16fe1d45e1f8052122f1b3f5a64477bd20126fb6847edfc2094eca19370f529
covapie_current11_warhead_atom_set_and_attachment_boundary_review_option_v1,1,1,CYS_SG_SAMPLE_INDEX_000001,6BV6,JUG,3,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0,COVAPIE_CYS_SG_REACTION_FAMILY_6A5C7B2B614B5F52,COVAPIE_CYS_SG_WARHEAD_RULE_8B640E1A031138F0,ae49a06e1da0a33c01912207dfd53d9d1a1d9d62b7a3a449f9976e9a456557c4,d7dc4b8d14698755321877629f2ae0a8533b24120c723d0d2ed8132903cc4c2b,1,453aca6d5e4d90be1fdc0e7aa48e94fe9b73b25cc245df781ef6d31ba25f7918,CAJ|OAA|double,CAJ,OAA,double,"[""CAD"",""CAE"",""CAF"",""CAG"",""CAH"",""CAI"",""CAJ"",""CAK"",""CAL"",""CAM"",""OAB"",""OAC""]","[""CAD"",""CAE"",""CAH"",""CAI"",""CAJ"",""CAL"",""CAM"",""OAB"",""OAC""]","[""CAF"",""CAG"",""CAK""]",[],12,1,true,true,,9cb4d3b5e424e88796dee97bbcebc8694858812dd286836c42c7666df2e4fe67
covapie_current11_warhead_atom_set_and_attachment_boundary_review_option_v1,2,2,CYS_SG_SAMPLE_INDEX_000001,6BV6,JUG,3,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0,COVAPIE_CYS_SG_REACTION_FAMILY_6A5C7B2B614B5F52,COVAPIE_CYS_SG_WARHEAD_RULE_8B640E1A031138F0,ae49a06e1da0a33c01912207dfd53d9d1a1d9d62b7a3a449f9976e9a456557c4,d7dc4b8d14698755321877629f2ae0a8533b24120c723d0d2ed8132903cc4c2b,2,b6d13b001c608cbb5a44351f5a3911e6f75b2ef55294a91cfc54f7a6b1576f83,CAK|OAB|double,CAK,OAB,double,"[""CAD"",""CAE"",""CAF"",""CAG"",""CAH"",""CAI"",""CAJ"",""CAK"",""CAL"",""CAM"",""OAA"",""OAC""]","[""CAD"",""CAE"",""CAH"",""CAI"",""CAJ"",""CAL"",""CAM"",""OAA"",""OAC""]","[""CAF"",""CAG"",""CAK""]",[],12,1,true,true,,e1545c190842d41efe9dff25e4e3efa632046d4c38938397c8c7b3e31fe3ebb3
covapie_current11_warhead_atom_set_and_attachment_boundary_review_option_v1,3,0,CYS_SG_SAMPLE_INDEX_000002,6BV8,JUG,3,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0,COVAPIE_CYS_SG_REACTION_FAMILY_6A5C7B2B614B5F52,COVAPIE_CYS_SG_WARHEAD_RULE_8B640E1A031138F0,0f9b05a0a6594d1c7469e3de39e510f79158e1b3247f5398628e8fd07236efae,d96b434437f35b70cce4c9b1af33cf7ceb060335b3611ef684a47fc7f0272953,0,5fb586642820cc324c082408245f6ba1f63bd06181e4d5a09dd1eca871c331ce,CAI|OAC|single,CAI,OAC,single,"[""CAD"",""CAE"",""CAF"",""CAG"",""CAH"",""CAI"",""CAJ"",""CAK"",""CAL"",""CAM"",""OAA"",""OAB""]","[""CAD"",""CAE"",""CAH"",""CAI"",""CAJ"",""CAL"",""CAM"",""OAA"",""OAB""]","[""CAF"",""CAG"",""CAK""]",[],12,1,true,true,,da91928039befb4093567cbf61fd525870c329324303d5f8ac66b388256fcb0f
covapie_current11_warhead_atom_set_and_attachment_boundary_review_option_v1,4,1,CYS_SG_SAMPLE_INDEX_000002,6BV8,JUG,3,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0,COVAPIE_CYS_SG_REACTION_FAMILY_6A5C7B2B614B5F52,COVAPIE_CYS_SG_WARHEAD_RULE_8B640E1A031138F0,0f9b05a0a6594d1c7469e3de39e510f79158e1b3247f5398628e8fd07236efae,d96b434437f35b70cce4c9b1af33cf7ceb060335b3611ef684a47fc7f0272953,1,6184bcbe71b7825344349f5541a5f79475d1adee36b1fe3bd416b93b3927cebb,CAJ|OAA|double,CAJ,OAA,double,"[""CAD"",""CAE"",""CAF"",""CAG"",""CAH"",""CAI"",""CAJ"",""CAK"",""CAL"",""CAM"",""OAB"",""OAC""]","[""CAD"",""CAE"",""CAH"",""CAI"",""CAJ"",""CAL"",""CAM"",""OAB"",""OAC""]","[""CAF"",""CAG"",""CAK""]",[],12,1,true,true,,3cdc4a6d83f0897ec5ac04be29cba8cadbe29147e13c1a72a2b7565a5dc40892
covapie_current11_warhead_atom_set_and_attachment_boundary_review_option_v1,5,2,CYS_SG_SAMPLE_INDEX_000002,6BV8,JUG,3,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0,COVAPIE_CYS_SG_REACTION_FAMILY_6A5C7B2B614B5F52,COVAPIE_CYS_SG_WARHEAD_RULE_8B640E1A031138F0,0f9b05a0a6594d1c7469e3de39e510f79158e1b3247f5398628e8fd07236efae,d96b434437f35b70cce4c9b1af33cf7ceb060335b3611ef684a47fc7f0272953,2,e1404c579badf2dfa7bbbb944d115f24eb5374d5dcd1687925288dc14180cfee,CAK|OAB|double,CAK,OAB,double,"[""CAD"",""CAE"",""CAF"",""CAG"",""CAH"",""CAI"",""CAJ"",""CAK"",""CAL"",""CAM"",""OAA"",""OAC""]","[""CAD"",""CAE"",""CAH"",""CAI"",""CAJ"",""CAL"",""CAM"",""OAA"",""OAC""]","[""CAF"",""CAG"",""CAK""]",[],12,1,true,true,,8e200142952bf3107ba36d1a9ea8e5ebccc8d8fe7776d23537e0d28893ddb9c1
covapie_current11_warhead_atom_set_and_attachment_boundary_review_option_v1,6,0,CYS_SG_SAMPLE_INDEX_000003,6BV5,JUG,3,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0,COVAPIE_CYS_SG_REACTION_FAMILY_6A5C7B2B614B5F52,COVAPIE_CYS_SG_WARHEAD_RULE_8B640E1A031138F0,a39932ff7a571d4f52eaccdc5699e72afd9366e3c7f99aa9c550c5e999f34643,26ceea8de967d586c64cb07de970a16d00caa8344abc5fde449323992b550ef7,0,73d8e74d321e4f5d37ed609b8b345e944e5f6a6fa6323f90e1648af064d37aeb,CAI|OAC|single,CAI,OAC,single,"[""CAD"",""CAE"",""CAF"",""CAG"",""CAH"",""CAI"",""CAJ"",""CAK"",""CAL"",""CAM"",""OAA"",""OAB""]","[""CAD"",""CAE"",""CAH"",""CAI"",""CAJ"",""CAL"",""CAM"",""OAA"",""OAB""]","[""CAF"",""CAG"",""CAK""]",[],12,1,true,true,,0a1e97e479c82252745b6e0d6adc480491c332e7644fc107890f112973c3cd85
covapie_current11_warhead_atom_set_and_attachment_boundary_review_option_v1,7,1,CYS_SG_SAMPLE_INDEX_000003,6BV5,JUG,3,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0,COVAPIE_CYS_SG_REACTION_FAMILY_6A5C7B2B614B5F52,COVAPIE_CYS_SG_WARHEAD_RULE_8B640E1A031138F0,a39932ff7a571d4f52eaccdc5699e72afd9366e3c7f99aa9c550c5e999f34643,26ceea8de967d586c64cb07de970a16d00caa8344abc5fde449323992b550ef7,1,81eddb6bb0f9721d7daa210fdd9ad3097eb1fd648cf80d6d88db05797c86a674,CAJ|OAA|double,CAJ,OAA,double,"[""CAD"",""CAE"",""CAF"",""CAG"",""CAH"",""CAI"",""CAJ"",""CAK"",""CAL"",""CAM"",""OAB"",""OAC""]","[""CAD"",""CAE"",""CAH"",""CAI"",""CAJ"",""CAL"",""CAM"",""OAB"",""OAC""]","[""CAF"",""CAG"",""CAK""]",[],12,1,true,true,,382287a8dcf24982dab5b3aa0f78a6f21168942feaab1589678afa81c2be16ae
covapie_current11_warhead_atom_set_and_attachment_boundary_review_option_v1,8,2,CYS_SG_SAMPLE_INDEX_000003,6BV5,JUG,3,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0,COVAPIE_CYS_SG_REACTION_FAMILY_6A5C7B2B614B5F52,COVAPIE_CYS_SG_WARHEAD_RULE_8B640E1A031138F0,a39932ff7a571d4f52eaccdc5699e72afd9366e3c7f99aa9c550c5e999f34643,26ceea8de967d586c64cb07de970a16d00caa8344abc5fde449323992b550ef7,2,03b350cca5cefa8c11966138a54d8410c54fc4468b15ed9e3acdc3a95b4ed726,CAK|OAB|double,CAK,OAB,double,"[""CAD"",""CAE"",""CAF"",""CAG"",""CAH"",""CAI"",""CAJ"",""CAK"",""CAL"",""CAM"",""OAA"",""OAC""]","[""CAD"",""CAE"",""CAH"",""CAI"",""CAJ"",""CAL"",""CAM"",""OAA"",""OAC""]","[""CAF"",""CAG"",""CAK""]",[],12,1,true,true,,546cc8876140b07727b44b8d0a61ed788e771549a8d4970be7de75b5e7712444
covapie_current11_warhead_atom_set_and_attachment_boundary_review_option_v1,9,0,CYS_SG_SAMPLE_INDEX_000004,1AEC,E64,2,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_3B7FB1395768B690,COVAPIE_CYS_SG_REACTION_FAMILY_4C9251579704AD85,COVAPIE_CYS_SG_WARHEAD_RULE_3B7FB1395768B690,0f4d743da32b4d0ac1deb909249a118d13bbb6bc590d6022a1b4f85e43ea6a68,ea03b17a07622fb807038e6f7970b2d29ea72a2b69809c34e9df843209ce95e5,0,8b04d7bb1935ce8c82a1ba49653451afe08dcf7d5c7c94905bffabb4b8df0b03,C10|C8|single,C8,C10,single,"[""C1"",""C11"",""C12"",""C13"",""C14"",""C15"",""C16"",""C2"",""C3"",""C4"",""C6"",""C7"",""C8"",""C9"",""N1"",""N2"",""N3"",""N4"",""N5"",""O1"",""O2"",""O3"",""O4"",""O5""]","[""C11"",""C12"",""C13"",""C14"",""C15"",""C16"",""C4"",""C6"",""C7"",""C8"",""C9"",""N1"",""N2"",""N3"",""N4"",""N5"",""O1"",""O2"",""O3"",""O4"",""O5""]","[""C1"",""C2"",""C3""]",[],24,1,true,true,,7a3b8b9a91f3ad5008f713759da84fdb84a72d9e5205f5f9a3370c3adca8d4fa
