review_record_version,review_unit_type,sample_index_row_id,pdb_id,ligand_comp_id,warhead_type_candidate_class_index_0based,warhead_type_candidate_class_id,reaction_family_id,warhead_rule_id,source_proposal_record_sha256,source_assignment_record_sha256,source_candidate_set_sha256,total_candidate_count,admitted_candidate_count,review_decision,selected_bridge_candidate_index_0based,selected_bridge_candidate_record_sha256,reviewed_warhead_atom_ids,reviewed_warhead_attachment_atom_id,reviewed_nonwarhead_boundary_atom_id,reviewed_attachment_boundary_bond_order,reviewed_boundary_bond_id,reviewer_id,review_rationale,review_notes,review_record_sha256
covapie_current11_warhead_atom_set_and_attachment_boundary_human_review_record_v1,sample_warhead_atom_set_and_attachment_boundary,CYS_SG_SAMPLE_INDEX_000001,6BV6,JUG,3,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0,COVAPIE_CYS_SG_REACTION_FAMILY_6A5C7B2B614B5F52,COVAPIE_CYS_SG_WARHEAD_RULE_8B640E1A031138F0,ae49a06e1da0a33c01912207dfd53d9d1a1d9d62b7a3a449f9976e9a456557c4,981df333b0699a4924525fbed9f62c7c306f72a0cffcf1086299311e7a27650b,d7dc4b8d14698755321877629f2ae0a8533b24120c723d0d2ed8132903cc4c2b,3,3,not_reviewed,,,[],,,,,,,,
covapie_current11_warhead_atom_set_and_attachment_boundary_human_review_record_v1,sample_warhead_atom_set_and_attachment_boundary,CYS_SG_SAMPLE_INDEX_000002,6BV8,JUG,3,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0,COVAPIE_CYS_SG_REACTION_FAMILY_6A5C7B2B614B5F52,COVAPIE_CYS_SG_WARHEAD_RULE_8B640E1A031138F0,0f9b05a0a6594d1c7469e3de39e510f79158e1b3247f5398628e8fd07236efae,df69c5543863b0fbf1df7877baa35e15f8f58b6d72ab3eecfe0a5101c3a4802d,d96b434437f35b70cce4c9b1af33cf7ceb060335b3611ef684a47fc7f0272953,3,3,not_reviewed,,,[],,,,,,,,
covapie_current11_warhead_atom_set_and_attachment_boundary_human_review_record_v1,sample_warhead_atom_set_and_attachment_boundary,CYS_SG_SAMPLE_INDEX_000003,6BV5,JUG,3,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_8B640E1A031138F0,COVAPIE_CYS_SG_REACTION_FAMILY_6A5C7B2B614B5F52,COVAPIE_CYS_SG_WARHEAD_RULE_8B640E1A031138F0,a39932ff7a571d4f52eaccdc5699e72afd9366e3c7f99aa9c550c5e999f34643,9d72fbcbe8ea89e94eeda5538f1a04796f1c91bf55786d6e1e4414b3eb6c08f9,26ceea8de967d586c64cb07de970a16d00caa8344abc5fde449323992b550ef7,3,3,not_reviewed,,,[],,,,,,,,
covapie_current11_warhead_atom_set_and_attachment_boundary_human_review_record_v1,sample_warhead_atom_set_and_attachment_boundary,CYS_SG_SAMPLE_INDEX_000004,1AEC,E64,2,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_3B7FB1395768B690,COVAPIE_CYS_SG_REACTION_FAMILY_4C9251579704AD85,COVAPIE_CYS_SG_WARHEAD_RULE_3B7FB1395768B690,0f4d743da32b4d0ac1deb909249a118d13bbb6bc590d6022a1b4f85e43ea6a68,d44433600b5b59f34f5d1ade429edb53ea92f48704f2bca63ff3af417e889de5,ea03b17a07622fb807038e6f7970b2d29ea72a2b69809c34e9df843209ce95e5,24,22,not_reviewed,,,[],,,,,,,,
covapie_current11_warhead_atom_set_and_attachment_boundary_human_review_record_v1,sample_warhead_atom_set_and_attachment_boundary,CYS_SG_SAMPLE_INDEX_000005,1AIM,ZYA,6,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_EE022EB419200D14,COVAPIE_CYS_SG_REACTION_FAMILY_DC230CD72B1283D2,COVAPIE_CYS_SG_WARHEAD_RULE_EE022EB419200D14,b05ec87dc03b0b4015ceaf90f55efa9156bdc9d3ff275ec5392064bfff133216,6937aeb83807b98d70c5fbac0dfc3b35b45b37623bc9d98bf931798fc50e94b2,44ebfe25817c4946b67c11c78997a3daa9d124a399a325207f9581ccad7ac263,18,16,not_reviewed,,,[],,,,,,,,
covapie_current11_warhead_atom_set_and_attachment_boundary_human_review_record_v1,sample_warhead_atom_set_and_attachment_boundary,CYS_SG_SAMPLE_INDEX_000006,1AU3,PCM,1,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_1D1D9C797859191F,COVAPIE_CYS_SG_REACTION_FAMILY_E02CDE030B1009B1,COVAPIE_CYS_SG_WARHEAD_RULE_1D1D9C797859191F,d84615f2e92fdf5a12f76da74c6d9dba2c01e529169bc1005720d893c779414b,1fd0447be512594190408c25246efd9780955ef5ff9223967a26dfc0e9eb6fbd,25572f5d3129695b7760af5cfc946128a83f7fc589aa001f1b64db1d9ecc1681,28,27,not_reviewed,,,[],,,,,,,,
covapie_current11_warhead_atom_set_and_attachment_boundary_human_review_record_v1,sample_warhead_atom_set_and_attachment_boundary,CYS_SG_SAMPLE_INDEX_000007,1AU4,INP,1,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_1D1D9C797859191F,COVAPIE_CYS_SG_REACTION_FAMILY_E02CDE030B1009B1,COVAPIE_CYS_SG_WARHEAD_RULE_1D1D9C797859191F,45befa3c1a48637e94e8d050a7e74e163c709badfb9ca413bfa2f513696984f1,d2c66d96c8b2ec5be413cb8bd0a612a49ba42345c7f78d050f44afa16c01e2d1,0dea0d6b34b9166b98e033ab3f92c96e7004ef4fdb186702e90d20a826d5f16f,27,26,not_reviewed,,,[],,,,,,,,
covapie_current11_warhead_atom_set_and_attachment_boundary_human_review_record_v1,sample_warhead_atom_set_and_attachment_boundary,CYS_SG_SAMPLE_INDEX_000008,1AYU,INA,0,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_106441A31FA4F951,COVAPIE_CYS_SG_REACTION_FAMILY_11AA213C661B48E3,COVAPIE_CYS_SG_WARHEAD_RULE_106441A31FA4F951,621ef4df29b12a62399e50557af72d59a4198fd5ae44559002f349f81e8dbd36,82cb64369ad96f246f5c428efe21a89585d4e70d50d4a59ed853525df53dd0cc,d60d881c05012aae57e325d1677276fea201daecb6844700076725bec535f8f3,31,28,not_reviewed,,,[],,,,,,,,
covapie_current11_warhead_atom_set_and_attachment_boundary_human_review_record_v1,sample_warhead_atom_set_and_attachment_boundary,CYS_SG_SAMPLE_INDEX_000009,1AYV,IN6,5,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_DF48FCEE8872B92A,COVAPIE_CYS_SG_REACTION_FAMILY_888A8E40AB92B0F8,COVAPIE_CYS_SG_WARHEAD_RULE_DF48FCEE8872B92A,d6ab01a666da79dfec546538f8d028bc0e4c6f1a1ba827e169b82feac1782fa0,f1812c89389dc83c7c69f6557df388c07c4cf246d054b925a22d6ee9e44c8eed,148dea3b4329514191dabb720622026e5fd1bfcc205636a97eb36ac20b137612,28,25,not_reviewed,,,[],,,,,,,,
covapie_current11_warhead_atom_set_and_attachment_boundary_human_review_record_v1,sample_warhead_atom_set_and_attachment_boundary,CYS_SG_SAMPLE_INDEX_000010,1AYW,IN3,0,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_106441A31FA4F951,COVAPIE_CYS_SG_REACTION_FAMILY_11AA213C661B48E3,COVAPIE_CYS_SG_WARHEAD_RULE_106441A31FA4F951,e1f491c7d4b9e68dd9fb6a76a7e34792f72ff0afdf84f374660731b644682731,e02fc64e2b1880ecad83fa4400a9c19cb04055bb8a4054abd9b5d55b370d1d6c,e9e24e75e00cdb6b7ec64870f107c9de22b4ed3486ce59b1d70875df24f1558c,24,21,not_reviewed,,,[],,,,,,,,
covapie_current11_warhead_atom_set_and_attachment_boundary_human_review_record_v1,sample_warhead_atom_set_and_attachment_boundary,CYS_SG_SAMPLE_INDEX_000011,1B02,UFP,4,COVAPIE_CYS_SG_WARHEAD_TYPE_CLASS_CEAC766EEE61D251,COVAPIE_CYS_SG_REACTION_FAMILY_9869A5B1C585A27C,COVAPIE_CYS_SG_WARHEAD_RULE_CEAC766EEE61D251,275242e79db14d653eb5e2829b8f5d0ba8021a43436d2dc364cbdeba2d477187,0c507e1fc8d1fe0820eae6eacc0aa8fdca0bba3b3db59e2aba3e6f380fea9e3e,f2fdec02896dbb8ae730003e038ec720734be56b03398f5f7663ec81d704d1cd,11,11,not_reviewed,,,[],,,,,,,,
