failure_case,mutation_signature,mutated_field,mutated_value_json,expected_reason,observed_reasons,expected_reason_verified,fails_closed,option_row_count,template_row_count,package_index_row_count,human_review_completed,complete_warhead_atom_set_authority_available,exact_one_attachment_boundary_authority_available,SMARTS_ready,role_ready,mask_ready,model_ready,training_ready,verified
BASE source missing,326fae3362dcbb94fceea7804d6fd21282e9540c739e47d7e8417c1025e91195,base_source_present,false,BASE_source_missing,BASE_source_missing,true,true,0,0,0,false,false,false,false,false,false,false,false,true
BASE source SHA mismatch,e8f06be185e4b8868c3f6c9d3b676ddc92e6419cbf419f1624c87880509f1f1e,base_source_sha_matches,false,BASE_source_SHA_mismatch,BASE_source_SHA_mismatch,true,true,0,0,0,false,false,false,false,false,false,false,false,true
predecessor transaction not succeeded,a9147c9c09d599609049d19b348f8e708734df225233270586aadf405f5ffe6c,predecessor_transaction_succeeded,false,predecessor_transaction_not_succeeded,predecessor_transaction_not_succeeded,true,true,0,0,0,false,false,false,false,false,false,false,false,true
proposal count not 11,159efea840bf5426f8e780fa3f6f3496302d98fadfb31a32d0e2f43c8a21d55a,proposal_count,10,proposal_count_not_11,proposal_count_not_11,true,true,0,0,0,false,false,false,false,false,false,false,false,true
enumeration count not 200,15ead2ba194817cfcf01db37d353b05cc820b02ee9bd31ccf3d8cf3652afe09f,enumeration_count,199,enumeration_count_not_200,enumeration_count_not_200,true,true,0,0,0,false,false,false,false,false,false,false,false,true
readiness count not 11,ed389b3b691abf393378831debda2cf0754e22779ef4b50eaea5917a7dcaecbc,readiness_count,10,readiness_count_not_11,readiness_count_not_11,true,true,0,0,0,false,false,false,false,false,false,false,false,true
duplicate sample identity,f37861c53dca257966ab9652d2486d91a30c87082625e52433f4020be56cca78,duplicate_sample_identity,true,duplicate_sample_identity,duplicate_sample_identity,true,true,0,0,0,false,false,false,false,false,false,false,false,true
proposal record SHA mismatch,734fa7c4257601f8873843883b7acee1d86c807b71b3937ab9f43787d6f603af,proposal_record_sha_matches,false,proposal_record_SHA_mismatch,proposal_record_SHA_mismatch,true,true,0,0,0,false,false,false,false,false,false,false,false,true
bridge candidate record SHA mismatch,ad8e764a7b5e7d45a2d1268dc1211deb49ce3aafb22d42b97c4cf92619a9b7ae,bridge_candidate_record_sha_matches,false,bridge_candidate_record_SHA_mismatch,bridge_candidate_record_SHA_mismatch,true,true,0,0,0,false,false,false,false,false,false,false,false,true
source proposal status not ambiguous,32eca2ad49c7654b2beeceaf46b9b09b238a72d07adfd08aac281dd707d8752c,source_proposal_status_ambiguous,false,source_proposal_status_not_ambiguous,source_proposal_status_not_ambiguous,true,true,0,0,0,false,false,false,false,false,false,false,false,true
