manual_review_candidate_id,candidate_source_stage,source_candidate_id,pdb_id,ligand_identifier_if_available,suggested_ligand_comp_id,ccd_ligand_name,ccd_formula,ccd_type,covpdb_reaction_name,covpdb_residue_name,covpdb_residue_index,covpdb_chain_id,covpdb_warhead_name,covpdb_sasa,covpdb_pka,covpdb_uniprot,complex_card_url,struct_conn_evidence_status,suggested_residue_atom_name,suggested_ligand_atom_name,suggested_covalent_bond_atom_pair,rcsb_struct_conn_type,event_identity_status_current_step,manual_review_status,ready_candidate_current_step,ready_for_training_current_step,inventory_row_passed,qa_comment
CYS_SG_MANUAL_REVIEW_000001,step14l_targeted_annotation_acquisition,CYS_SG_ACQ_ANNOT_000001,1AEC,COVPDB739,E64,N-[N-[1-HYDROXYCARBOXYETHYL-CARBONYL]LEUCYLAMINO-BUTYL]-GUANIDINE,C15 H30 N5 O5,non-polymer,Epoxide Opening,CYS,25,A,Epoxide,18.81,14.97,,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1078,available_from_step14j_struct_conn,SG,C2,SG--C2,covale,not_event_identity_until_manual_review,pending_manual_review,False,False,True,
CYS_SG_MANUAL_REVIEW_000002,step14l_targeted_annotation_acquisition,CYS_SG_ACQ_ANNOT_000002,1AIM,COVPDB1512,ZYA,BENZOYL-TYROSINE-ALANINE-FLUORO-METHYL KETONE,C21 H23 F N2 O5,peptide-like,Nucleophilic Aliphatic Subsititution,CYS,25,A,Halomethyl Carbonyl,20.41,12.32,,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2301,available_from_step14j_struct_conn,SG,CM,SG--CM,covale,not_event_identity_until_manual_review,pending_manual_review,False,False,True,
CYS_SG_MANUAL_REVIEW_000003,step14l_targeted_annotation_acquisition,CYS_SG_ACQ_ANNOT_000003,1ATK,COVPDB739,E64,N-[N-[1-HYDROXYCARBOXYETHYL-CARBONYL]LEUCYLAMINO-BUTYL]-GUANIDINE,C15 H30 N5 O5,non-polymer,Epoxide Opening,CYS,25,A,Epoxide,19.1,14.76,,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1076,available_from_step14j_struct_conn,SG,C2,SG--C2,covale,not_event_identity_until_manual_review,pending_manual_review,False,False,True,
CYS_SG_MANUAL_REVIEW_000004,step14l_targeted_annotation_acquisition,CYS_SG_ACQ_ANNOT_000004,1AU3,COVPDB1218,PCM,1-[N[(PHENYLMETHOXY)CARBONYL]-L-LEUCYL-4-[[N/N-[(PHENYLMETHOXY)CARBONYL]-/NL-LEUCYL]AMINO]-3-PYRROLIDINONE/N,C32 H42 N4 O7,non-polymer,Hemi(thio)acetalization,CYS,25,A,Ketone,17.32,13.97,,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1852,available_from_step14j_struct_conn,SG,C22,SG--C22,covale,not_event_identity_until_manual_review,pending_manual_review,False,False,True,
CYS_SG_MANUAL_REVIEW_000005,step14l_targeted_annotation_acquisition,CYS_SG_ACQ_ANNOT_000005,1AU4,COVPDB956,INP,4-[[N-[(PHENYLMETHOXY)CARBONYL]-/NL/N-LEUCYL]AMINO]-1[(2S)-2-[[[4-(PYRIDINYLMETHOXY)CARBONYL]AMINO]-4-METHYLPENT/NYL]-3-PYRROLIDINONE/N,C31 H43 N5 O6,non-polymer,Hemi(thio)acetalization,CYS,25,A,Ketone,18.63,12.68,,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1422,available_from_step14j_struct_conn,SG,C17,SG--C17,covale,not_event_identity_until_manual_review,pending_manual_review,False,False,True,
CYS_SG_MANUAL_REVIEW_000006,step14l_targeted_annotation_acquisition,CYS_SG_ACQ_ANNOT_000006,1AYU,COVPDB953,INA,"1,5-BIS(N-BENZYLOXYCARBONYL-L-LEUCINYL)CARBOHYDRAZIDE",C29 H40 N6 O7,non-polymer,Nucleophilic Addition to a Double Bond,CYS,25,A,Hydrazide,15.93,12.71,,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1419,available_from_step14j_struct_conn,SG,C21,SG--C21,covale,not_event_identity_until_manual_review,pending_manual_review,False,False,True,
CYS_SG_MANUAL_REVIEW_000007,step14l_targeted_annotation_acquisition,CYS_SG_ACQ_ANNOT_000007,1AYV,COVPDB952,IN6,N-[2-[1-(N-BENZYLOXYCARBONYLAMINO)-3-METHYLBUTYL]THIAZOL-4-YLCARBONYL]-N'-(BENZYLOXYCARBONYL-L-LEUCINYL)HYDRAZIDE,C31 H39 N5 O6 S,non-polymer,Nucleophilic Addition to a Double Bond,CYS,25,A,Hydrazide,17.21,12.44,,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1418,available_from_step14j_struct_conn,SG,C21,SG--C21,covale,not_event_identity_until_manual_review,pending_manual_review,False,False,True,
CYS_SG_MANUAL_REVIEW_000008,step14l_targeted_annotation_acquisition,CYS_SG_ACQ_ANNOT_000008,1AYW,COVPDB951,IN3,1-(N-BENZYLOXYCARBONYL-L-LEUCINYL)-5-(3-BENZYLOXY BENZOYL)CARBOHYDRAZIDE,C29 H33 N5 O6,non-polymer,Nucleophilic Addition to a Double Bond,CYS,25,A,Hydrazide,15.18,12.97,,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1417,available_from_step14j_struct_conn,SG,C21,SG--C21,covale,not_event_identity_until_manual_review,pending_manual_review,False,False,True,
CYS_SG_MANUAL_REVIEW_000009,step14l_targeted_annotation_acquisition,CYS_SG_ACQ_ANNOT_000009,1B02,COVPDB1415,UFP,5-FLUORO-2'-DEOXYURIDINE-5'-MONOPHOSPHATE,C9 H12 F N2 O8 P,DNA linking,Nucleophilic Aromatic Substitution,CYS,161,A,Aryl Halide,38.99,14.66,,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2157,available_from_step14j_struct_conn,SG,C6,SG--C6,covale,not_event_identity_until_manual_review,pending_manual_review,False,False,True,
CYS_SG_MANUAL_REVIEW_000010,step14n_next_batch_metadata_acquisition,CYS_SG_NEXT_ACQ_ANNOT_000001,1A54,COVPDB1089,MDC,N-[2-(1-MALEIMIDYL)ETHYL]-7-DIETHYLAMINOCOUMARIN-3-CARBOXAMIDE,C20 H21 N3 O5,non-polymer,Michael Addition,CYS,197,A,Vinyl Carbonyl,18.46,17.18,P0AG82 (PSTS_ECOLI),https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1614,pending_future_raw_mmcif_struct_conn_crosscheck,,,,,not_event_identity_until_manual_review,pending_manual_review,False,False,True,
