precondition_item,artifact_or_check,expected_status,observed_status,precondition_passed,blocking_reasons
step14f_manifest_exists,data/derived/covalent_small/covapie_manual_event_identity_support_evidence_acquisition_gate_v0/covapie_support_evidence_acquisition_gate_manifest.json,exists,True,True,
step14f_stage,data/derived/covalent_small/covapie_manual_event_identity_support_evidence_acquisition_gate_v0/covapie_support_evidence_acquisition_gate_manifest.json,covapie_manual_event_identity_support_evidence_acquisition_gate_v0,covapie_manual_event_identity_support_evidence_acquisition_gate_v0,True,
step14f_all_checks_passed,data/derived/covalent_small/covapie_manual_event_identity_support_evidence_acquisition_gate_v0/covapie_support_evidence_acquisition_gate_manifest.json,true,True,True,
step14f_support_proposal_count_zero,data/derived/covalent_small/covapie_manual_event_identity_support_evidence_acquisition_gate_v0/covapie_support_evidence_acquisition_gate_manifest.json,0,0,True,
step14f_cys_sg_candidate_count_zero,data/derived/covalent_small/covapie_manual_event_identity_support_evidence_acquisition_gate_v0/covapie_support_evidence_acquisition_gate_manifest.json,0,0,True,
step14f_local_raw_read_count,data/derived/covalent_small/covapie_manual_event_identity_support_evidence_acquisition_gate_v0/covapie_support_evidence_acquisition_gate_manifest.json,5,5,True,
step14f_ready_for_training_false,data/derived/covalent_small/covapie_manual_event_identity_support_evidence_acquisition_gate_v0/covapie_support_evidence_acquisition_gate_manifest.json,false,False,True,
step14e_template_exists,data/derived/covalent_small/covapie_small_pilot_manual_event_identity_curation_gate_v0/covapie_manual_event_identity_curation_candidate_template.csv,exists,True,True,
step14e_template_row_count,data/derived/covalent_small/covapie_small_pilot_manual_event_identity_curation_gate_v0/covapie_manual_event_identity_curation_candidate_template.csv,25,25,True,
step14e_all_pending_manual_review,data/derived/covalent_small/covapie_small_pilot_manual_event_identity_curation_gate_v0/covapie_manual_event_identity_curation_candidate_template.csv,true,True,True,
metadata_csv_exists,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,exists,True,True,
metadata_csv_hash_unchanged,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,True,
raw_files_untracked,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0,false,False,True,
raw_files_unstaged,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0,false,False,True,
protected_source_diff_empty,equivariant_diffusion/ lightning_modules.py,empty,False,True,
original_dataloader_diff_empty,dataset.py data/prepare_crossdocked.py,empty,False,True,
canonical_mask_count,data/derived/covalent_small/covapie_manual_event_identity_support_evidence_acquisition_gate_v0/covapie_support_evidence_acquisition_gate_manifest.json,5,5,True,
b3_scaffold_only_included,data/derived/covalent_small/covapie_manual_event_identity_support_evidence_acquisition_gate_v0/covapie_support_evidence_acquisition_gate_manifest.json,true,True,True,
no_extra_mask_tasks_added,data/derived/covalent_small/covapie_manual_event_identity_support_evidence_acquisition_gate_v0/covapie_support_evidence_acquisition_gate_manifest.json,true,True,True,
