discovery_manifest_row_id,pdb_id,raw_output_path,download_url,existing_before_download,download_attempted,download_status,http_status_or_error,retry_count_used,raw_file_exists_after_download,raw_file_size_bytes,raw_file_sha256,temp_file_cleaned,raw_file_tracked_by_git,raw_file_staged_by_git,execution_audit_passed,qa_comment
CYS_SG_DISC_MAN_000001,1A3B,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1A3B.cif,https://files.rcsb.org/download/1A3B.cif,True,False,existing_reused,,0,True,320846,1281cfcfc35430949274aa248a269df38ce17d2b674f81347d2fa6e39736d72d,True,False,False,True,Raw CIF available for struct_conn discovery.
CYS_SG_DISC_MAN_000002,1A3E,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1A3E.cif,https://files.rcsb.org/download/1A3E.cif,True,False,existing_reused,,0,True,317985,3e674ccdbc72692b534c8a69f4ac1a8bdee3f8e5829695a59e244630270c0875,True,False,False,True,Raw CIF available for struct_conn discovery.
CYS_SG_DISC_MAN_000003,1A46,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1A46.cif,https://files.rcsb.org/download/1A46.cif,True,False,existing_reused,,0,True,322382,f174e2402372f0ce27f83e276417fd3a2ba099e5f6cb91245c1bf8073da42a31,True,False,False,True,Raw CIF available for struct_conn discovery.
CYS_SG_DISC_MAN_000004,1A54,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1A54.cif,https://files.rcsb.org/download/1A54.cif,True,False,existing_reused,,0,True,334153,72027fd8250ab981a082a8081f7624ca81f2cc78dfeaba8ea124a3ead1543d11,True,False,False,True,Raw CIF available for struct_conn discovery.
CYS_SG_DISC_MAN_000005,1A5G,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1A5G.cif,https://files.rcsb.org/download/1A5G.cif,True,False,existing_reused,,0,True,323136,bd27e5b0c3aa8780f4eac79cc35d8f7f100b81dd254adb4c37c4a212308afb5e,True,False,False,True,Raw CIF available for struct_conn discovery.
CYS_SG_DISC_MAN_000006,1A61,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1A61.cif,https://files.rcsb.org/download/1A61.cif,True,False,existing_reused,,0,True,327148,99a9cd9a9855434e2ab616c6998d6dcc4769fc134b0353ae2b13871d9ff05041,True,False,False,True,Raw CIF available for struct_conn discovery.
CYS_SG_DISC_MAN_000007,1AD8,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AD8.cif,https://files.rcsb.org/download/1AD8.cif,True,False,existing_reused,,0,True,335742,e35cd02847f4f9113399f573a9631259c278e2fca78aea0bdff9f1d3d18fc494,True,False,False,True,Raw CIF available for struct_conn discovery.
CYS_SG_DISC_MAN_000008,1AEC,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AEC.cif,https://files.rcsb.org/download/1AEC.cif,True,False,existing_reused,,0,True,283760,cfaf7e2b3fb2ba4ad7fa7667d6bb826fb45303db0c881bcdb280cb7a7da968ea,True,False,False,True,Raw CIF available for struct_conn discovery.
CYS_SG_DISC_MAN_000009,1AHT,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AHT.cif,https://files.rcsb.org/download/1AHT.cif,True,False,existing_reused,,0,True,320751,60e1f8e6a994fe264ae1b3559b233443b8e335ef4eb40656a0213aae03576555,True,False,False,True,Raw CIF available for struct_conn discovery.
CYS_SG_DISC_MAN_000010,1AI8,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AI8.cif,https://files.rcsb.org/download/1AI8.cif,True,False,existing_reused,,0,True,334364,bc49913ff9842c1ba89bf58dd6ccb0f67fcf3467f2c10bbe2e7cb950394b152d,True,False,False,True,Raw CIF available for struct_conn discovery.
CYS_SG_DISC_MAN_000011,1AIM,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1AIM.cif,https://files.rcsb.org/download/1AIM.cif,True,False,existing_reused,,0,True,268208,28c952563def4bfbbd33aa486d57f2e5e8efb169ebc93ec8f99a98e07663b8b8,True,False,False,True,Raw CIF available for struct_conn discovery.
CYS_SG_DISC_MAN_000012,1ARC,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0/1ARC.cif,https://files.rcsb.org/download/1ARC.cif,True,False,existing_reused,,0,True,255679,e0f52c5ff65aaf923c79060a9b23977bbbf7c14dd01d936b2f7054761fd9e553,True,False,False,True,Raw CIF available for struct_conn discovery.
