precondition_item,artifact_or_check,expected_status,observed_status,precondition_passed,blocking_reasons
step14g_manifest_exists,data/derived/covalent_small/covapie_cys_sg_discovery_download_manifest_gate_v0/covapie_cys_sg_discovery_download_manifest_gate_manifest.json,exists,True,True,
step14g_stage,data/derived/covalent_small/covapie_cys_sg_discovery_download_manifest_gate_v0/covapie_cys_sg_discovery_download_manifest_gate_manifest.json,covapie_cys_sg_discovery_download_manifest_gate_v0,covapie_cys_sg_discovery_download_manifest_gate_v0,True,
step14g_all_checks_passed,data/derived/covalent_small/covapie_cys_sg_discovery_download_manifest_gate_v0/covapie_cys_sg_discovery_download_manifest_gate_manifest.json,true,True,True,
step14g_discovery_manifest_row_count,data/derived/covalent_small/covapie_cys_sg_discovery_download_manifest_gate_v0/covapie_cys_sg_discovery_download_manifest_gate_manifest.json,25,25,True,
step14g_ready_for_discovery_download_smoke,data/derived/covalent_small/covapie_cys_sg_discovery_download_manifest_gate_v0/covapie_cys_sg_discovery_download_manifest_gate_manifest.json,true,True,True,
step14g_small_pilot_download_smoke_false,data/derived/covalent_small/covapie_cys_sg_discovery_download_manifest_gate_v0/covapie_cys_sg_discovery_download_manifest_gate_manifest.json,false,False,True,
step14g_ready_for_training_false,data/derived/covalent_small/covapie_cys_sg_discovery_download_manifest_gate_v0/covapie_cys_sg_discovery_download_manifest_gate_manifest.json,false,False,True,
discovery_manifest_csv_exists,data/derived/covalent_small/covapie_cys_sg_discovery_download_manifest_gate_v0/covapie_cys_sg_discovery_download_manifest.csv,exists,True,True,
discovery_manifest_json_exists,data/derived/covalent_small/covapie_cys_sg_discovery_download_manifest_gate_v0/covapie_cys_sg_discovery_download_manifest.json,exists,True,True,
discovery_manifest_purpose,data/derived/covalent_small/covapie_cys_sg_discovery_download_manifest_gate_v0/covapie_cys_sg_discovery_download_manifest.csv,evidence_discovery_only,"[""evidence_discovery_only""]",True,
pdb_id_for_raw_evidence_discovery_allowed,data/derived/covalent_small/covapie_cys_sg_discovery_download_manifest_gate_v0/covapie_cys_sg_discovery_download_manifest_gate_manifest.json,true,True,True,
pdb_id_for_event_identity_allowed,data/derived/covalent_small/covapie_cys_sg_discovery_download_manifest_gate_v0/covapie_cys_sg_discovery_download_manifest_gate_manifest.json,false,False,True,
metadata_csv_hash_unchanged_before_run,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,True,
raw_reference_root_not_tracked,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0,false,False,True,
raw_output_root_not_tracked,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0,false,False,True,
protected_source_diff_empty,equivariant_diffusion/ lightning_modules.py,empty,False,True,
original_dataloader_diff_empty,dataset.py data/prepare_crossdocked.py,empty,False,True,
canonical_mask_count,data/derived/covalent_small/covapie_cys_sg_discovery_download_manifest_gate_v0/covapie_cys_sg_discovery_download_manifest_gate_manifest.json,5,5,True,
b3_scaffold_only_included,data/derived/covalent_small/covapie_cys_sg_discovery_download_manifest_gate_v0/covapie_cys_sg_discovery_download_manifest_gate_manifest.json,true,True,True,
no_extra_mask_tasks_added,data/derived/covalent_small/covapie_cys_sg_discovery_download_manifest_gate_v0/covapie_cys_sg_discovery_download_manifest_gate_manifest.json,true,True,True,
