request_index,canonical_candidate_id,pdb_id,expected_ligand_component_id,b0_worklist_item_id,b0_worklist_sha256,source_authority_id,authorization_origin,source_policy_id,structure_format,source_request_identity,destination_identity,candidate_maximum_request_count,authorization_decision,historical_raw_sha256_provenance_or_NONE,preknown_remote_payload_sha256_required,primary_reason
1,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000001,1A54,MDC,CYS_SG_STAGE_B0_WORK_000001,77c8a447a5c6098b1b834837ee345e03db6ea6b00c7af8a886fa9668585d22f4,COVAPIE_STEP14S_CONTROLLED_RCSB_MMCIF_AUTHORITY_V0,INHERITED_PUBLISHED_BOUNDED_AUTHORITY,RCSB_FILES_HTTPS_EXACT_PDB_MMCIF_V0,MMCIF,https://files.rcsb.org/download/1A54.cif,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/1a54.cif,1,INHERITED_AUTHORIZED_EXACT_TARGET,72027fd8250ab981a082a8081f7624ca81f2cc78dfeaba8ea124a3ead1543d11,false,PRESERVE_PUBLISHED_1A54_BOUNDED_REACQUISITION_AUTHORITY
2,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000002,2DJF,1ZB,CYS_SG_STAGE_B0_WORK_000002,77c8a447a5c6098b1b834837ee345e03db6ea6b00c7af8a886fa9668585d22f4,COVAPIE_STEP14S_CONTROLLED_RCSB_MMCIF_AUTHORITY_V0,NEW_EXACT12_SUCCESSOR_AUTHORITY,RCSB_FILES_HTTPS_EXACT_PDB_MMCIF_V0,MMCIF,https://files.rcsb.org/download/2DJF.cif,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/2djf.cif,1,AUTHORIZED_EXACT_TARGET,NONE,false,AUTHORIZE_EXACT_PUBLISHED_B0_MISSING_RAW_STRUCTURE_IDENTITY
3,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000007,6VWE,JY1,CYS_SG_STAGE_B0_WORK_000003,77c8a447a5c6098b1b834837ee345e03db6ea6b00c7af8a886fa9668585d22f4,COVAPIE_STEP14S_CONTROLLED_RCSB_MMCIF_AUTHORITY_V0,NEW_EXACT12_SUCCESSOR_AUTHORITY,RCSB_FILES_HTTPS_EXACT_PDB_MMCIF_V0,MMCIF,https://files.rcsb.org/download/6VWE.cif,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6vwe.cif,1,AUTHORIZED_EXACT_TARGET,NONE,false,AUTHORIZE_EXACT_PUBLISHED_B0_MISSING_RAW_STRUCTURE_IDENTITY
4,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000008,2R9F,K2Z,CYS_SG_STAGE_B0_WORK_000004,77c8a447a5c6098b1b834837ee345e03db6ea6b00c7af8a886fa9668585d22f4,COVAPIE_STEP14S_CONTROLLED_RCSB_MMCIF_AUTHORITY_V0,NEW_EXACT12_SUCCESSOR_AUTHORITY,RCSB_FILES_HTTPS_EXACT_PDB_MMCIF_V0,MMCIF,https://files.rcsb.org/download/2R9F.cif,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/2r9f.cif,1,AUTHORIZED_EXACT_TARGET,NONE,false,AUTHORIZE_EXACT_PUBLISHED_B0_MISSING_RAW_STRUCTURE_IDENTITY
5,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000009,4DCD,K36,CYS_SG_STAGE_B0_WORK_000005,77c8a447a5c6098b1b834837ee345e03db6ea6b00c7af8a886fa9668585d22f4,COVAPIE_STEP14S_CONTROLLED_RCSB_MMCIF_AUTHORITY_V0,NEW_EXACT12_SUCCESSOR_AUTHORITY,RCSB_FILES_HTTPS_EXACT_PDB_MMCIF_V0,MMCIF,https://files.rcsb.org/download/4DCD.cif,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/4dcd.cif,1,AUTHORIZED_EXACT_TARGET,NONE,false,AUTHORIZE_EXACT_PUBLISHED_B0_MISSING_RAW_STRUCTURE_IDENTITY
6,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000010,6WTT,K36,CYS_SG_STAGE_B0_WORK_000006,77c8a447a5c6098b1b834837ee345e03db6ea6b00c7af8a886fa9668585d22f4,COVAPIE_STEP14S_CONTROLLED_RCSB_MMCIF_AUTHORITY_V0,NEW_EXACT12_SUCCESSOR_AUTHORITY,RCSB_FILES_HTTPS_EXACT_PDB_MMCIF_V0,MMCIF,https://files.rcsb.org/download/6WTT.cif,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6wtt.cif,1,AUTHORIZED_EXACT_TARGET,NONE,false,AUTHORIZE_EXACT_PUBLISHED_B0_MISSING_RAW_STRUCTURE_IDENTITY
7,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000011,4F49,K36,CYS_SG_STAGE_B0_WORK_000007,77c8a447a5c6098b1b834837ee345e03db6ea6b00c7af8a886fa9668585d22f4,COVAPIE_STEP14S_CONTROLLED_RCSB_MMCIF_AUTHORITY_V0,NEW_EXACT12_SUCCESSOR_AUTHORITY,RCSB_FILES_HTTPS_EXACT_PDB_MMCIF_V0,MMCIF,https://files.rcsb.org/download/4F49.cif,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/4f49.cif,1,AUTHORIZED_EXACT_TARGET,NONE,false,AUTHORIZE_EXACT_PUBLISHED_B0_MISSING_RAW_STRUCTURE_IDENTITY
8,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000012,6L70,K36,CYS_SG_STAGE_B0_WORK_000008,77c8a447a5c6098b1b834837ee345e03db6ea6b00c7af8a886fa9668585d22f4,COVAPIE_STEP14S_CONTROLLED_RCSB_MMCIF_AUTHORITY_V0,NEW_EXACT12_SUCCESSOR_AUTHORITY,RCSB_FILES_HTTPS_EXACT_PDB_MMCIF_V0,MMCIF,https://files.rcsb.org/download/6L70.cif,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6l70.cif,1,AUTHORIZED_EXACT_TARGET,NONE,false,AUTHORIZE_EXACT_PUBLISHED_B0_MISSING_RAW_STRUCTURE_IDENTITY
9,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000013,6WTJ,K36,CYS_SG_STAGE_B0_WORK_000009,77c8a447a5c6098b1b834837ee345e03db6ea6b00c7af8a886fa9668585d22f4,COVAPIE_STEP14S_CONTROLLED_RCSB_MMCIF_AUTHORITY_V0,NEW_EXACT12_SUCCESSOR_AUTHORITY,RCSB_FILES_HTTPS_EXACT_PDB_MMCIF_V0,MMCIF,https://files.rcsb.org/download/6WTJ.cif,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/6wtj.cif,1,AUTHORIZED_EXACT_TARGET,NONE,false,AUTHORIZE_EXACT_PUBLISHED_B0_MISSING_RAW_STRUCTURE_IDENTITY
10,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000014,7C8U,K36,CYS_SG_STAGE_B0_WORK_000010,77c8a447a5c6098b1b834837ee345e03db6ea6b00c7af8a886fa9668585d22f4,COVAPIE_STEP14S_CONTROLLED_RCSB_MMCIF_AUTHORITY_V0,NEW_EXACT12_SUCCESSOR_AUTHORITY,RCSB_FILES_HTTPS_EXACT_PDB_MMCIF_V0,MMCIF,https://files.rcsb.org/download/7C8U.cif,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0/7c8u.cif,1,AUTHORIZED_EXACT_TARGET,NONE,false,AUTHORIZE_EXACT_PUBLISHED_B0_MISSING_RAW_STRUCTURE_IDENTITY
