precondition_item,artifact_or_check,expected_status,observed_status,precondition_passed,blocking_reasons
step14q_manifest_exists,data/derived/covalent_small/covapie_cys_sg_manual_review_decision_application_gate_v0/covapie_cys_sg_manual_review_decision_application_gate_manifest.json,exists,True,True,
step14q_stage,data/derived/covalent_small/covapie_cys_sg_manual_review_decision_application_gate_v0/covapie_cys_sg_manual_review_decision_application_gate_manifest.json,covapie_cys_sg_manual_review_decision_application_gate_v0,covapie_cys_sg_manual_review_decision_application_gate_v0,True,
step14q_all_checks_passed,data/derived/covalent_small/covapie_cys_sg_manual_review_decision_application_gate_v0/covapie_cys_sg_manual_review_decision_application_gate_manifest.json,true,True,True,
step14q_future_struct_conn_crosscheck_input_count,data/derived/covalent_small/covapie_cys_sg_manual_review_decision_application_gate_v0/covapie_cys_sg_manual_review_decision_application_gate_manifest.json,5,5,True,
step14q_ready_for_future_struct_conn_crosscheck_gate,data/derived/covalent_small/covapie_cys_sg_manual_review_decision_application_gate_v0/covapie_cys_sg_manual_review_decision_application_gate_manifest.json,true,True,True,
step14q_ready_for_training_false,data/derived/covalent_small/covapie_cys_sg_manual_review_decision_application_gate_v0/covapie_cys_sg_manual_review_decision_application_gate_manifest.json,false,False,True,
step14q_input_csv_json_consistent,data/derived/covalent_small/covapie_cys_sg_manual_review_decision_application_gate_v0/covapie_cys_sg_future_struct_conn_crosscheck_input_manifest.json,true,True,True,
accepted_pdb_het_pairs_match,data/derived/covalent_small/covapie_cys_sg_manual_review_decision_application_gate_v0/covapie_cys_sg_future_struct_conn_crosscheck_input_manifest.csv,"['1A54/MDC', '6BV6/JUG', '6BV9/JUG', '6BV8/JUG', '6BV5/JUG']","[""1A54/MDC"", ""6BV6/JUG"", ""6BV9/JUG"", ""6BV8/JUG"", ""6BV5/JUG""]",True,
metadata_csv_hash_unchanged,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,True,
raw_roots_not_tracked,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0,false,False,True,
raw_roots_not_staged,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0,false,False,True,
protected_source_diff_empty,equivariant_diffusion/ lightning_modules.py,empty,False,True,
original_dataloader_diff_empty,dataset.py data/prepare_crossdocked.py,empty,False,True,
canonical_mask_count,canonical masks,5,5,True,
b3_scaffold_only_included,canonical masks,true,True,True,
no_extra_mask_tasks,canonical masks,true,"[""warhead_only"", ""linker_plus_warhead"", ""scaffold_plus_warhead"", ""scaffold_only"", ""scaffold_plus_linker_plus_warhead""]",True,
