safety_item,required_status,observed_status,safety_passed,blocking_reasons
no_network_access_current_step,passed,passed,True,
no_download_current_step,passed,passed,True,
no_raw_mmcif_read_current_step,passed,passed,True,
no_data_raw_write_current_step,passed,passed,True,
no_html_saved_current_step,passed,passed,True,
raw_files_untracked,passed,passed,True,
raw_files_unstaged,passed,passed,True,
metadata_csv_unchanged,passed,passed,True,
step14q_artifacts_unchanged,passed,passed,True,
step14p_artifacts_unchanged,passed,passed,True,
step14o_artifacts_unchanged,passed,passed,True,
protected_source_diff_empty,passed,passed,True,
original_dataloader_diff_empty,passed,passed,True,
no_sample_final_split_leakage_training_artifacts,passed,passed,True,
no_forbidden_raw_binary_or_html_suffix,passed,passed,True,
no_torch_numpy_rdkit_biopdb_gemmi_gzip_requests_urllib_selenium_playwright_bs4_imports,passed,passed,True,
no_ready_candidates_created,passed,passed,True,
