precondition_item,artifact_or_check,expected_status,observed_status,precondition_passed,blocking_reasons
step14i_manifest_exists,data/derived/covalent_small/covapie_cys_sg_discovery_support_review_gate_v0/covapie_cys_sg_support_review_gate_manifest.json,exists,True,True,
step14i_stage,data/derived/covalent_small/covapie_cys_sg_discovery_support_review_gate_v0/covapie_cys_sg_support_review_gate_manifest.json,covapie_cys_sg_discovery_support_review_gate_v0,covapie_cys_sg_discovery_support_review_gate_v0,True,
step14i_all_checks_passed,data/derived/covalent_small/covapie_cys_sg_discovery_support_review_gate_v0/covapie_cys_sg_support_review_gate_manifest.json,true,True,True,
step14i_ligand_covale_candidate_count,data/derived/covalent_small/covapie_cys_sg_discovery_support_review_gate_v0/covapie_cys_sg_support_review_gate_manifest.json,9,9,True,
step14i_ready_for_annotation_alignment,data/derived/covalent_small/covapie_cys_sg_discovery_support_review_gate_v0/covapie_cys_sg_support_review_gate_manifest.json,true,True,True,
step14i_ready_for_training,data/derived/covalent_small/covapie_cys_sg_discovery_support_review_gate_v0/covapie_cys_sg_support_review_gate_manifest.json,false,False,True,
candidate_csv_exists,data/derived/covalent_small/covapie_cys_sg_discovery_support_review_gate_v0/covapie_cys_sg_ligand_covale_candidates.csv,exists,True,True,
candidate_json_exists,data/derived/covalent_small/covapie_cys_sg_discovery_support_review_gate_v0/covapie_cys_sg_ligand_covale_candidates.json,exists,True,True,
candidate_csv_json_consistent,data/derived/covalent_small/covapie_cys_sg_discovery_support_review_gate_v0/covapie_cys_sg_ligand_covale_candidates.json,true,True,True,
all_candidates_pending_manual_review,data/derived/covalent_small/covapie_cys_sg_discovery_support_review_gate_v0/covapie_cys_sg_ligand_covale_candidates.csv,true,True,True,
metadata_csv_exists,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,exists,True,True,
metadata_csv_hash_unchanged,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,True,
metadata_has_pdb_id,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,pdb_id,True,True,
metadata_has_ligand_identifier_field,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,one ligand identifier field,True,True,
raw_roots_not_tracked,data/raw/covalent_sources/covpdb/cys_sg_discovery_raw_v0,false,False,True,
protected_source_diff_empty,equivariant_diffusion/ lightning_modules.py,empty,False,True,
original_dataloader_diff_empty,dataset.py data/prepare_crossdocked.py,empty,False,True,
canonical_mask_count,canonical masks,5,5,True,
b3_scaffold_only_included,canonical masks,true,True,True,
no_extra_mask_tasks,canonical masks,true,"[""warhead_only"", ""linker_plus_warhead"", ""scaffold_plus_warhead"", ""scaffold_only"", ""scaffold_plus_linker_plus_warhead""]",True,
