metadata_field_name,field_present,mapped_semantic_role,required_for_current_alignment,schema_audit_passed,qa_comment
pdb_id,True,pdb_context_key,True,True,
covpdb_ligand_id,True,covpdb_ligand_identifier,True,True,
ligand_identifier,False,candidate_ligand_identifier,True,True,covered_by_alternate_ligand_identifier_field
het_code,True,ligand_het_code,True,True,
ligand_id,False,ligand_identifier,True,True,covered_by_alternate_ligand_identifier_field
ligand_name,True,ligand_name_context,True,True,
residue_name,False,event_residue_name,False,True,optional_event_annotation_gap_recorded
residue_atom_name,False,event_residue_atom,False,True,optional_event_annotation_gap_recorded
residue_index,False,event_residue_index,False,True,optional_event_annotation_gap_recorded
chain_id,False,event_chain_id,False,True,optional_event_annotation_gap_recorded
warhead,False,warhead_context,False,True,optional_event_annotation_gap_recorded
mechanism,False,mechanism_context,False,True,optional_event_annotation_gap_recorded
source_database,False,source_database,False,True,optional_event_annotation_gap_recorded
source_profile,False,source_profile,False,True,optional_event_annotation_gap_recorded
