safety_item,required_status,observed_status,safety_passed,blocking_reasons
no_network_access_current_step,passed,passed,True,
no_download_current_step,passed,passed,True,
no_raw_file_content_read_current_step,passed,passed,True,
no_raw_files_written_current_step,passed,passed,True,
no_html_files_written_current_step,passed,passed,True,
raw_files_untracked,passed,passed,True,
raw_files_unstaged,passed,passed,True,
metadata_csv_unchanged,passed,passed,True,
step14o_artifacts_unchanged,passed,passed,True,
step14n_artifacts_unchanged,passed,passed,True,
protected_source_diff_empty,passed,passed,True,
original_dataloader_diff_empty,passed,passed,True,
no_sample_download_manifest_written,passed,passed,True,
no_actual_dataloader_artifacts,passed,passed,True,
no_training_artifacts,passed,passed,True,
no_final_dataset_written,passed,passed,True,
no_sample_index_written,passed,passed,True,
no_split_assignments_written,passed,passed,True,
no_leakage_matrix_written,passed,passed,True,
no_torch_numpy_rdkit_biopdb_gemmi_gzip_requests_urllib_selenium_playwright_bs4_imports,passed,passed,True,
derived_output_no_forbidden_binary_raw_or_html_suffix,passed,passed,True,
no_ready_candidates_created,passed,passed,True,
