failure_case,mutation_signature,mutated_fields,expected_reasons,observed_reasons,expected_reasons_verified,fails_closed,reaction_family_registry_row_count,warhead_rule_registry_row_count,current11_design_matrix_row_count,warhead_type_model_head_integrated,warhead_type_loss_integrated,ready_for_mask_materialization,ready_for_model_integration,ready_for_training,verified
BASE source missing,"{""dataclass"":""DesignScenario"",""field"":""base_source_present"",""typed_value"":{""type"":""bool"",""value"":false}}",base_source_present,BASE_source_missing,BASE_source_missing,true,true,0,0,0,false,false,false,false,false,true
BASE source SHA mismatch,"{""dataclass"":""DesignScenario"",""field"":""base_source_sha_matches"",""typed_value"":{""type"":""bool"",""value"":false}}",base_source_sha_matches,BASE_source_SHA_mismatch,BASE_source_SHA_mismatch,true,true,0,0,0,false,false,false,false,false,true
Current11 sample coverage incomplete,"{""dataclass"":""DesignScenario"",""field"":""current11_sample_coverage"",""typed_value"":{""type"":""int"",""value"":10}}",current11_sample_coverage,Current11_sample_coverage_incomplete,Current11_sample_coverage_incomplete,true,true,0,0,0,false,false,false,false,false,true
target residue not CYS,"{""dataclass"":""DesignScenario"",""field"":""target_residue_name"",""typed_value"":{""type"":""str"",""value"":""SER""}}",target_residue_name,target_residue_not_CYS,target_residue_not_CYS,true,true,0,0,0,false,false,false,false,false,true
target residue atom not SG,"{""dataclass"":""DesignScenario"",""field"":""target_residue_atom_name"",""typed_value"":{""type"":""str"",""value"":""OG""}}",target_residue_atom_name,target_residue_atom_not_SG,target_residue_atom_not_SG,true,true,0,0,0,false,false,false,false,false,true
reactive ligand atom missing,"{""dataclass"":""DesignScenario"",""field"":""reactive_ligand_atom_count"",""typed_value"":{""type"":""int"",""value"":0}}",reactive_ligand_atom_count,reactive_ligand_atom_missing,reactive_ligand_atom_missing,true,true,0,0,0,false,false,false,false,false,true
reactive ligand atom duplicated,"{""dataclass"":""DesignScenario"",""field"":""reactive_ligand_atom_count"",""typed_value"":{""type"":""int"",""value"":2}}",reactive_ligand_atom_count,reactive_ligand_atom_duplicated,reactive_ligand_atom_duplicated,true,true,0,0,0,false,false,false,false,false,true
reactive parent atom missing,"{""dataclass"":""DesignScenario"",""field"":""reactive_parent_atom_present"",""typed_value"":{""type"":""bool"",""value"":false}}",reactive_parent_atom_present,reactive_parent_atom_missing,reactive_parent_atom_missing,true,true,0,0,0,false,false,false,false,false,true
parent graph SHA mismatch,"{""dataclass"":""DesignScenario"",""field"":""parent_graph_sha_matches"",""typed_value"":{""type"":""bool"",""value"":false}}",parent_graph_sha_matches,parent_graph_SHA_mismatch,parent_graph_SHA_mismatch,true,true,0,0,0,false,false,false,false,false,true
observed graph SHA mismatch,"{""dataclass"":""DesignScenario"",""field"":""observed_graph_sha_matches"",""typed_value"":{""type"":""bool"",""value"":false}}",observed_graph_sha_matches,observed_graph_SHA_mismatch,observed_graph_SHA_mismatch,true,true,0,0,0,false,false,false,false,false,true
local graph disconnected,"{""dataclass"":""DesignScenario"",""field"":""local_graph_connected"",""typed_value"":{""type"":""bool"",""value"":false}}",local_graph_connected,local_graph_disconnected,local_graph_disconnected,true,true,0,0,0,false,false,false,false,false,true
unsupported bond order,"{""dataclass"":""DesignScenario"",""field"":""bond_order_supported"",""typed_value"":{""type"":""bool"",""value"":false}}",bond_order_supported,unsupported_bond_order,unsupported_bond_order,true,true,0,0,0,false,false,false,false,false,true
radius signature nondeterministic,"{""dataclass"":""DesignScenario"",""field"":""radius_signature_deterministic"",""typed_value"":{""type"":""bool"",""value"":false}}",radius_signature_deterministic,radius_signature_nondeterministic,radius_signature_nondeterministic,true,true,0,0,0,false,false,false,false,false,true
duplicate family ID,"{""dataclass"":""DesignScenario"",""field"":""duplicate_family_id"",""typed_value"":{""type"":""bool"",""value"":true}}",duplicate_family_id,duplicate_reaction_family_id,duplicate_reaction_family_id,true,true,0,0,0,false,false,false,false,false,true
duplicate rule ID,"{""dataclass"":""DesignScenario"",""field"":""duplicate_rule_id"",""typed_value"":{""type"":""bool"",""value"":true}}",duplicate_rule_id,duplicate_warhead_rule_id,duplicate_warhead_rule_id,true,true,0,0,0,false,false,false,false,false,true
family candidate absent,"{""dataclass"":""DesignScenario"",""field"":""family_candidate_count"",""typed_value"":{""type"":""int"",""value"":0}}",family_candidate_count,family_candidate_absent,family_candidate_absent,true,true,0,0,0,false,false,false,false,false,true
family candidate ambiguous,"{""dataclass"":""DesignScenario"",""field"":""family_candidate_count"",""typed_value"":{""type"":""int"",""value"":2}}",family_candidate_count,family_candidate_ambiguous,family_candidate_ambiguous,true,true,0,0,0,false,false,false,false,false,true
