worklist_item_id,canonical_candidate_id,pdb_id,ligand_component_id,worklist_category,required_missing_artifact_or_evidence,existing_project_acquisition_authorization_status,authorization_evidence_authority,bulk_download_authorization_status,next_manual_or_acquisition_action,canonical_sample_authority_created
CYS_SG_STAGE_B0_WORK_000001,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000001,1A54,MDC,TARGETED_EXTERNAL_ACQUISITION_REQUIRED,RAW_MMCIF_REACQUISITION_FOR_REPRODUCIBLE_REVIEW_PLUS_INDEPENDENT_EXPLICIT_COVALENT_CONNECTION_AUTHORITY,BOUNDED_TARGETED_ACQUISITION_AUTHORIZED_FOR_IDENTITY_BY_PUBLISHED_RUNTIME_OWNER_NO_EXECUTION_THIS_TASK,data/derived/covalent_small/covapie_cys_sg_future_struct_conn_crosscheck_controlled_raw_acquisition_gate_v0/covapie_cys_sg_future_struct_conn_controlled_raw_acquisition_gate_manifest.json,BULK_DOWNLOAD_NOT_AUTHORIZED,EXECUTE_ONLY_UNDER_SEPARATELY_AUTHORIZED_BOUNDED_TARGETED_ACQUISITION_STAGE,false
CYS_SG_STAGE_B0_WORK_000002,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000002,2DJF,1ZB,TARGETED_EXTERNAL_ACQUISITION_REQUIRED,RAW_MMCIF_WITH_STRUCT_CONN_AND_ATOM_SITE_PLUS_COMPONENT_TOPOLOGY_EVIDENCE,NOT_AUTHORIZED_BY_EXISTING_PUBLISHED_BOUNDED_OWNER_NEW_BOUNDED_AUTHORIZATION_REQUIRED,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_contract_manifest.json,BULK_DOWNLOAD_NOT_AUTHORIZED,EXECUTE_ONLY_UNDER_SEPARATELY_AUTHORIZED_BOUNDED_TARGETED_ACQUISITION_STAGE,false
CYS_SG_STAGE_B0_WORK_000003,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000007,6VWE,JY1,TARGETED_EXTERNAL_ACQUISITION_REQUIRED,RAW_MMCIF_WITH_STRUCT_CONN_AND_ATOM_SITE_PLUS_COMPONENT_TOPOLOGY_EVIDENCE,NOT_AUTHORIZED_BY_EXISTING_PUBLISHED_BOUNDED_OWNER_NEW_BOUNDED_AUTHORIZATION_REQUIRED,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_contract_manifest.json,BULK_DOWNLOAD_NOT_AUTHORIZED,EXECUTE_ONLY_UNDER_SEPARATELY_AUTHORIZED_BOUNDED_TARGETED_ACQUISITION_STAGE,false
CYS_SG_STAGE_B0_WORK_000004,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000008,2R9F,K2Z,TARGETED_EXTERNAL_ACQUISITION_REQUIRED,RAW_MMCIF_WITH_STRUCT_CONN_AND_ATOM_SITE_PLUS_COMPONENT_TOPOLOGY_EVIDENCE,NOT_AUTHORIZED_BY_EXISTING_PUBLISHED_BOUNDED_OWNER_NEW_BOUNDED_AUTHORIZATION_REQUIRED,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_contract_manifest.json,BULK_DOWNLOAD_NOT_AUTHORIZED,EXECUTE_ONLY_UNDER_SEPARATELY_AUTHORIZED_BOUNDED_TARGETED_ACQUISITION_STAGE,false
CYS_SG_STAGE_B0_WORK_000005,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000009,4DCD,K36,TARGETED_EXTERNAL_ACQUISITION_REQUIRED,RAW_MMCIF_WITH_STRUCT_CONN_AND_ATOM_SITE_PLUS_COMPONENT_TOPOLOGY_EVIDENCE,NOT_AUTHORIZED_BY_EXISTING_PUBLISHED_BOUNDED_OWNER_NEW_BOUNDED_AUTHORIZATION_REQUIRED,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_contract_manifest.json,BULK_DOWNLOAD_NOT_AUTHORIZED,EXECUTE_ONLY_UNDER_SEPARATELY_AUTHORIZED_BOUNDED_TARGETED_ACQUISITION_STAGE,false
CYS_SG_STAGE_B0_WORK_000006,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000010,6WTT,K36,TARGETED_EXTERNAL_ACQUISITION_REQUIRED,RAW_MMCIF_WITH_STRUCT_CONN_AND_ATOM_SITE_PLUS_COMPONENT_TOPOLOGY_EVIDENCE,NOT_AUTHORIZED_BY_EXISTING_PUBLISHED_BOUNDED_OWNER_NEW_BOUNDED_AUTHORIZATION_REQUIRED,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_contract_manifest.json,BULK_DOWNLOAD_NOT_AUTHORIZED,EXECUTE_ONLY_UNDER_SEPARATELY_AUTHORIZED_BOUNDED_TARGETED_ACQUISITION_STAGE,false
CYS_SG_STAGE_B0_WORK_000007,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000011,4F49,K36,TARGETED_EXTERNAL_ACQUISITION_REQUIRED,RAW_MMCIF_WITH_STRUCT_CONN_AND_ATOM_SITE_PLUS_COMPONENT_TOPOLOGY_EVIDENCE,NOT_AUTHORIZED_BY_EXISTING_PUBLISHED_BOUNDED_OWNER_NEW_BOUNDED_AUTHORIZATION_REQUIRED,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_contract_manifest.json,BULK_DOWNLOAD_NOT_AUTHORIZED,EXECUTE_ONLY_UNDER_SEPARATELY_AUTHORIZED_BOUNDED_TARGETED_ACQUISITION_STAGE,false
CYS_SG_STAGE_B0_WORK_000008,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000012,6L70,K36,TARGETED_EXTERNAL_ACQUISITION_REQUIRED,RAW_MMCIF_WITH_STRUCT_CONN_AND_ATOM_SITE_PLUS_COMPONENT_TOPOLOGY_EVIDENCE,NOT_AUTHORIZED_BY_EXISTING_PUBLISHED_BOUNDED_OWNER_NEW_BOUNDED_AUTHORIZATION_REQUIRED,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_contract_manifest.json,BULK_DOWNLOAD_NOT_AUTHORIZED,EXECUTE_ONLY_UNDER_SEPARATELY_AUTHORIZED_BOUNDED_TARGETED_ACQUISITION_STAGE,false
CYS_SG_STAGE_B0_WORK_000009,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000013,6WTJ,K36,TARGETED_EXTERNAL_ACQUISITION_REQUIRED,RAW_MMCIF_WITH_STRUCT_CONN_AND_ATOM_SITE_PLUS_COMPONENT_TOPOLOGY_EVIDENCE,NOT_AUTHORIZED_BY_EXISTING_PUBLISHED_BOUNDED_OWNER_NEW_BOUNDED_AUTHORIZATION_REQUIRED,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_contract_manifest.json,BULK_DOWNLOAD_NOT_AUTHORIZED,EXECUTE_ONLY_UNDER_SEPARATELY_AUTHORIZED_BOUNDED_TARGETED_ACQUISITION_STAGE,false
CYS_SG_STAGE_B0_WORK_000010,COVAPIE_CYS_SG_CANDIDATE_V1_COVPDB_CYS_SG_NEXT_ACQ_ANNOT_000014,7C8U,K36,TARGETED_EXTERNAL_ACQUISITION_REQUIRED,RAW_MMCIF_WITH_STRUCT_CONN_AND_ATOM_SITE_PLUS_COMPONENT_TOPOLOGY_EVIDENCE,NOT_AUTHORIZED_BY_EXISTING_PUBLISHED_BOUNDED_OWNER_NEW_BOUNDED_AUTHORIZATION_REQUIRED,data/derived/covalent_small/covapie_bulk_download_admission_admit_014_download_authorization_contract_v1/covapie_admit_014_download_authorization_contract_manifest.json,BULK_DOWNLOAD_NOT_AUTHORIZED,EXECUTE_ONLY_UNDER_SEPARATELY_AUTHORIZED_BOUNDED_TARGETED_ACQUISITION_STAGE,false
