acquisition_manifest_row_id,source_registry_id,source_name,source_type,query_key_type,query_key_value,attempted_current_step,fetch_url_or_resolution_strategy,network_status,http_status_or_error,retry_count_used,response_text_sha256,parsed_current_step,parsed_field_count,acquisition_execution_status,execution_audit_passed,qa_comment
CYS_SG_TARGET_ACQ_000001,covpdb_complex_card_for_seed_candidates,CovPDB complex card,covpdb_complex_page,pdb_id+covpdb_ligand_identifier,1AEC|COVPDB739,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1078,fetched,,,,True,12,complex_card_event_annotation_parsed,True,
CYS_SG_TARGET_ACQ_000002,covpdb_ligand_pages_for_seed_candidates,CovPDB ligand pages,covpdb_ligand_page,covpdb_ligand_identifier,COVPDB739,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/ligand_card/ligand_id%3DCOVPDB739,fetched,200,0,f44e8b827111602076f131dace7ce21d969867e0f300edb711c2876677ecf5cc,True,18,ligand_card_parsed,True,
CYS_SG_TARGET_ACQ_000003,rcsb_chemical_component_dictionary_crosscheck,RCSB Chemical Component Dictionary,rcsb_ccd_metadata,het_code,E64,True,https://data.rcsb.org/rest/v1/core/chemcomp/E64,fetched,200,0,e4209ececd88f9ebc983480d6d476ad5b78dd0106eaa0564a859ec905c505c2a,True,7,rcsb_ccd_json_parsed,True,
CYS_SG_TARGET_ACQ_000004,covpdb_complex_card_for_seed_candidates,CovPDB complex card,covpdb_complex_page,pdb_id+covpdb_ligand_identifier,1AIM|COVPDB1512,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2301,fetched,,,,True,12,complex_card_event_annotation_parsed,True,
CYS_SG_TARGET_ACQ_000005,covpdb_ligand_pages_for_seed_candidates,CovPDB ligand pages,covpdb_ligand_page,covpdb_ligand_identifier,COVPDB1512,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/ligand_card/ligand_id%3DCOVPDB1512,fetched,200,0,abece3fb73af205d31d0c456cf2d039f2edc2905f8da6c44ae66b1895317b51a,True,7,ligand_card_parsed,True,
CYS_SG_TARGET_ACQ_000006,rcsb_chemical_component_dictionary_crosscheck,RCSB Chemical Component Dictionary,rcsb_ccd_metadata,het_code,ZYA,True,https://data.rcsb.org/rest/v1/core/chemcomp/ZYA,fetched,200,0,871db9063213222418cd9d51aaf9ea1cec56dbf0c57c17c33e2ef0762d9d55b4,True,7,rcsb_ccd_json_parsed,True,
CYS_SG_TARGET_ACQ_000007,covpdb_complex_card_for_seed_candidates,CovPDB complex card,covpdb_complex_page,pdb_id+covpdb_ligand_identifier,1ATK|COVPDB739,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1076,fetched,,,,True,12,complex_card_event_annotation_parsed,True,
CYS_SG_TARGET_ACQ_000008,covpdb_ligand_pages_for_seed_candidates,CovPDB ligand pages,covpdb_ligand_page,covpdb_ligand_identifier,COVPDB739,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/ligand_card/ligand_id%3DCOVPDB739,fetched,200,0,f44e8b827111602076f131dace7ce21d969867e0f300edb711c2876677ecf5cc,True,18,ligand_card_parsed,True,
CYS_SG_TARGET_ACQ_000009,rcsb_chemical_component_dictionary_crosscheck,RCSB Chemical Component Dictionary,rcsb_ccd_metadata,het_code,E64,True,https://data.rcsb.org/rest/v1/core/chemcomp/E64,fetched,200,0,e4209ececd88f9ebc983480d6d476ad5b78dd0106eaa0564a859ec905c505c2a,True,7,rcsb_ccd_json_parsed,True,
CYS_SG_TARGET_ACQ_000010,covpdb_complex_card_for_seed_candidates,CovPDB complex card,covpdb_complex_page,pdb_id+covpdb_ligand_identifier,1AU3|COVPDB1218,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1852,fetched,,,,True,12,complex_card_event_annotation_parsed,True,
CYS_SG_TARGET_ACQ_000011,covpdb_ligand_pages_for_seed_candidates,CovPDB ligand pages,covpdb_ligand_page,covpdb_ligand_identifier,COVPDB1218,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/ligand_card/ligand_id%3DCOVPDB1218,fetched,200,0,4582aac7310a6dfdbed3ad2559c947590cd63585b017a5c0b31b82c10fe401b3,True,7,ligand_card_parsed,True,
CYS_SG_TARGET_ACQ_000012,rcsb_chemical_component_dictionary_crosscheck,RCSB Chemical Component Dictionary,rcsb_ccd_metadata,het_code,PCM,True,https://data.rcsb.org/rest/v1/core/chemcomp/PCM,fetched,200,0,e43c442f9406e55985a759b0a050e93bf35d1c42e15af26502901dffa3356413,True,7,rcsb_ccd_json_parsed,True,
CYS_SG_TARGET_ACQ_000013,covpdb_complex_card_for_seed_candidates,CovPDB complex card,covpdb_complex_page,pdb_id+covpdb_ligand_identifier,1AU4|COVPDB956,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1422,fetched,,,,True,12,complex_card_event_annotation_parsed,True,
CYS_SG_TARGET_ACQ_000014,covpdb_ligand_pages_for_seed_candidates,CovPDB ligand pages,covpdb_ligand_page,covpdb_ligand_identifier,COVPDB956,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/ligand_card/ligand_id%3DCOVPDB956,fetched,200,0,1113321f095181fe29005495f010d6282c805ddcad35ef55a25be402d1cde99b,True,7,ligand_card_parsed,True,
CYS_SG_TARGET_ACQ_000015,rcsb_chemical_component_dictionary_crosscheck,RCSB Chemical Component Dictionary,rcsb_ccd_metadata,het_code,INP,True,https://data.rcsb.org/rest/v1/core/chemcomp/INP,fetched,200,0,64c1a13581c05c4cec4a66efeabc0fc7485b44a4d8f19861b8c52c037fe6a9ff,True,7,rcsb_ccd_json_parsed,True,
CYS_SG_TARGET_ACQ_000016,covpdb_complex_card_for_seed_candidates,CovPDB complex card,covpdb_complex_page,pdb_id+covpdb_ligand_identifier,1AYU|COVPDB953,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1419,fetched,,,,True,12,complex_card_event_annotation_parsed,True,
CYS_SG_TARGET_ACQ_000017,covpdb_ligand_pages_for_seed_candidates,CovPDB ligand pages,covpdb_ligand_page,covpdb_ligand_identifier,COVPDB953,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/ligand_card/ligand_id%3DCOVPDB953,fetched,200,0,7011ed3846fc695423f511267c74b21a447ff7e3a43b5c33f1c93b552199da4b,True,7,ligand_card_parsed,True,
CYS_SG_TARGET_ACQ_000018,rcsb_chemical_component_dictionary_crosscheck,RCSB Chemical Component Dictionary,rcsb_ccd_metadata,het_code,INA,True,https://data.rcsb.org/rest/v1/core/chemcomp/INA,fetched,200,0,917f755e8976af6a5d2444a5401ee1638080d4e18b61867a8c3bc399e15705ee,True,7,rcsb_ccd_json_parsed,True,
CYS_SG_TARGET_ACQ_000019,covpdb_complex_card_for_seed_candidates,CovPDB complex card,covpdb_complex_page,pdb_id+covpdb_ligand_identifier,1AYV|COVPDB952,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1418,fetched,,,,True,12,complex_card_event_annotation_parsed,True,
CYS_SG_TARGET_ACQ_000020,covpdb_ligand_pages_for_seed_candidates,CovPDB ligand pages,covpdb_ligand_page,covpdb_ligand_identifier,COVPDB952,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/ligand_card/ligand_id%3DCOVPDB952,fetched,200,0,cf26074cf10ce53bc6e10735c0ccfd8b13e0e429a8751031ee6ff2ab6fe072dd,True,7,ligand_card_parsed,True,
CYS_SG_TARGET_ACQ_000021,rcsb_chemical_component_dictionary_crosscheck,RCSB Chemical Component Dictionary,rcsb_ccd_metadata,het_code,IN6,True,https://data.rcsb.org/rest/v1/core/chemcomp/IN6,fetched,200,0,cc2e5115528d1e075702d5977247f62877f5a7572d129109c12ea81161801bb1,True,7,rcsb_ccd_json_parsed,True,
CYS_SG_TARGET_ACQ_000022,covpdb_complex_card_for_seed_candidates,CovPDB complex card,covpdb_complex_page,pdb_id+covpdb_ligand_identifier,1AYW|COVPDB951,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1417,fetched,,,,True,12,complex_card_event_annotation_parsed,True,
CYS_SG_TARGET_ACQ_000023,covpdb_ligand_pages_for_seed_candidates,CovPDB ligand pages,covpdb_ligand_page,covpdb_ligand_identifier,COVPDB951,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/ligand_card/ligand_id%3DCOVPDB951,fetched,200,0,52e230450a92c0f5e46b9a7e27193f2653e8f5c2274400126ccc94b775687dbf,True,7,ligand_card_parsed,True,
CYS_SG_TARGET_ACQ_000024,rcsb_chemical_component_dictionary_crosscheck,RCSB Chemical Component Dictionary,rcsb_ccd_metadata,het_code,IN3,True,https://data.rcsb.org/rest/v1/core/chemcomp/IN3,fetched,200,0,223d63eeee0e9af78dab103c744280113689deabaad38d4c74b258b6e42c89a9,True,7,rcsb_ccd_json_parsed,True,
CYS_SG_TARGET_ACQ_000025,covpdb_complex_card_for_seed_candidates,CovPDB complex card,covpdb_complex_page,pdb_id+covpdb_ligand_identifier,1B02|COVPDB1415,True,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2157,fetched,,,,True,12,complex_card_event_annotation_parsed,True,
