event_field,primary_source,secondary_source,source_role,can_be_auto_filled_current_step,requires_future_acquisition,requires_manual_review_before_ready,field_source_contract_passed,qa_comment
chain_id,RCSB mmCIF _struct_conn,CovPDB annotation,event structural atom-pair evidence,False,True,True,True,
residue_name,RCSB mmCIF _struct_conn,CovPDB targetable residue annotation,event structural atom-pair evidence,False,True,True,True,
residue_index,RCSB mmCIF _struct_conn,CovPDB annotation,event structural atom-pair evidence,False,True,True,True,
residue_atom_name,RCSB mmCIF _struct_conn,CovPDB annotation,event structural atom-pair evidence,False,True,True,True,
ligand_comp_id,RCSB mmCIF _struct_conn,RCSB Chemical Component Dictionary,ligand structural identity,False,True,True,True,
ligand_atom_name,RCSB mmCIF _struct_conn,RCSB Chemical Component Dictionary,ligand atom naming cross-check,False,True,True,True,
covalent_bond_atom_pair,RCSB mmCIF _struct_conn,manual review,event atom-pair identity,False,True,True,True,
struct_conn_type,RCSB mmCIF _struct_conn,manual review,structural covalent evidence,False,True,True,True,
covpdb_ligand_identifier,CovPDB annotation,manual review,CovPDB ligand context,False,True,True,True,
targetable_residue_class,CovPDB annotation,manual review,semantic residue evidence,False,True,True,True,
warhead_type,CovPDB annotation,CovPDB warhead tables,warhead semantic evidence,False,True,True,True,
covalent_mechanism,CovPDB annotation,CovPDB mechanism tables,mechanism semantic evidence,False,True,True,True,
ligand_het_code,PDB Chemical Component Dictionary / RCSB ligand context,CovPDB annotation,ligand context,False,True,True,True,
ligand_name,PDB Chemical Component Dictionary / RCSB ligand context,CovPDB annotation,ligand context,False,True,True,True,
source_database,CovPDB annotation,manual review,provenance context,False,True,True,True,
evidence_provenance,RCSB mmCIF _struct_conn,CovPDB annotation,evidence provenance,False,True,True,True,
manual_review_status,Manual review,CovaPIE curator notes,readiness control,False,False,True,True,
ready_candidate_status,Manual review,future QA gate,readiness control,False,False,True,True,
