git_safety_item,command_or_check,required_status,current_step_status,git_safety_audit_passed,blocking_reasons
raw_files_untracked,git ls-files data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0,empty,passed,True,
raw_files_unstaged,git diff --cached --name-only -- data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0,empty,passed,True,
raw_files_not_read_current_step,boundary manifest,true,passed,True,
derived_output_no_forbidden_binary_artifacts,data/derived/covalent_small/covapie_dataloader_interface_qa_gate_v0,true,passed,True,
no_interface_smoke_preview_rewritten_current_step,data/derived/covalent_small/covapie_dataloader_interface_qa_gate_v0,true,passed,True,
no_actual_dataloader_smoke_written,data/derived/covalent_small/covapie_dataloader_interface_qa_gate_v0,true,passed,True,
no_real_dataloader_written,data/derived/covalent_small/covapie_dataloader_interface_qa_gate_v0,true,passed,True,
no_original_dataloader_modified,dataset.py data/prepare_crossdocked.py,true,passed,True,
no_torch_tensor_checkpoint_training_artifacts,data/derived/covalent_small/covapie_dataloader_interface_qa_gate_v0,true,passed,True,
no_real_final_dataset_written,data/derived/covalent_small/covapie_dataloader_interface_qa_gate_v0,true,passed,True,
no_new_sample_index_written,data/derived/covalent_small/covapie_dataloader_interface_qa_gate_v0,true,passed,True,
no_split_assignments_written,data/derived/covalent_small/covapie_dataloader_interface_qa_gate_v0,true,passed,True,
no_leakage_matrix_written,data/derived/covalent_small/covapie_dataloader_interface_qa_gate_v0,true,passed,True,
metadata_csv_unchanged,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,unchanged,passed,True,
step13br_artifacts_unchanged,data/derived/covalent_small/covapie_dataloader_interface_smoke_v0,no_diff,passed,True,
step13bq_artifacts_unchanged,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0,no_diff,passed,True,
step13bp_artifacts_unchanged,data/derived/covalent_small/covapie_final_dataset_qa_gate_v0,no_diff,passed,True,
step13bo_artifacts_unchanged,data/derived/covalent_small/covapie_final_dataset_smoke_v0,no_diff,passed,True,
step13bn_artifacts_unchanged,data/derived/covalent_small/covapie_final_dataset_design_gate_v0,no_diff,passed,True,
step13bm_artifacts_unchanged,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0,no_diff,passed,True,
step13bl_artifacts_unchanged,data/derived/covalent_small/covapie_split_leakage_qa_gate_v0,no_diff,passed,True,
step13bk_artifacts_unchanged,data/derived/covalent_small/covapie_split_leakage_smoke_v0,no_diff,passed,True,
step13bj_artifacts_unchanged,data/derived/covalent_small/covapie_split_leakage_design_gate_v0,no_diff,passed,True,
step13bi_artifacts_unchanged,data/derived/covalent_small/covapie_sample_index_qa_gate_v0,no_diff,passed,True,
step13bh_artifacts_unchanged,data/derived/covalent_small/covapie_sample_index_smoke_v0,no_diff,passed,True,
step13bg_artifacts_unchanged,data/derived/covalent_small/covapie_sample_index_design_gate_v0,no_diff,passed,True,
step13bf_artifacts_unchanged,data/derived/covalent_small/covapie_extraction_qa_gate_v0,no_diff,passed,True,
step13be_artifacts_unchanged,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0,no_diff,passed,True,
step13ai_inventory_artifacts_unchanged,data/derived/covalent_small/covapie_metadata_source_inventory_gate_v0,no_diff,passed,True,
protected_source_diff_empty,equivariant_diffusion/ lightning_modules.py,no_diff,passed,True,
original_dataloader_diff_empty,dataset.py data/prepare_crossdocked.py,no_diff,passed,True,
