precondition_item,artifact_or_check,expected_status,observed_status,precondition_passed,blocking_reasons
step13br_manifest_exists,data/derived/covalent_small/covapie_dataloader_interface_smoke_v0/covapie_dataloader_interface_smoke_manifest.json,exists,True,True,
step13br_stage,data/derived/covalent_small/covapie_dataloader_interface_smoke_v0/covapie_dataloader_interface_smoke_manifest.json,covapie_dataloader_interface_smoke_v0,covapie_dataloader_interface_smoke_v0,True,
step13br_all_checks_passed,data/derived/covalent_small/covapie_dataloader_interface_smoke_v0/covapie_dataloader_interface_smoke_manifest.json,true,True,True,
step13br_ready_for_interface_qa_gate,data/derived/covalent_small/covapie_dataloader_interface_smoke_v0/covapie_dataloader_interface_smoke_manifest.json,true,True,True,
step13br_ready_for_dataloader_smoke,data/derived/covalent_small/covapie_dataloader_interface_smoke_v0/covapie_dataloader_interface_smoke_manifest.json,false,False,True,
step13br_ready_for_training,data/derived/covalent_small/covapie_dataloader_interface_smoke_v0/covapie_dataloader_interface_smoke_manifest.json,false,False,True,
step13br_ready_to_train_now,data/derived/covalent_small/covapie_dataloader_interface_smoke_v0/covapie_dataloader_interface_smoke_manifest.json,false,False,True,
step13br_preview_csv_shape,data/derived/covalent_small/covapie_dataloader_interface_smoke_v0/covapie_dataloader_interface_smoke_preview.csv,20x35,20x35,True,
step13br_preview_json_row_count,data/derived/covalent_small/covapie_dataloader_interface_smoke_v0/covapie_dataloader_interface_smoke_preview.json,20,20,True,
step13br_input_source_smoke_passed,data/derived/covalent_small/covapie_dataloader_interface_smoke_v0/covapie_dataloader_interface_input_source_smoke_audit.csv,true,True,True,
step13br_field_mapping_smoke_passed,data/derived/covalent_small/covapie_dataloader_interface_smoke_v0/covapie_dataloader_interface_field_mapping_smoke_audit.csv,true,True,True,
step13br_feature_batch_smoke_passed,data/derived/covalent_small/covapie_dataloader_interface_smoke_v0/covapie_dataloader_interface_feature_batch_smoke_audit.csv,true,True,True,
step13br_mask_interface_smoke_passed,data/derived/covalent_small/covapie_dataloader_interface_smoke_v0/covapie_dataloader_interface_mask_smoke_audit.csv,true,True,True,
step13br_checkpoint_compatibility_smoke_passed,data/derived/covalent_small/covapie_dataloader_interface_smoke_v0/covapie_dataloader_interface_checkpoint_compatibility_smoke_audit.csv,true,True,True,
step13bq_design_contracts_exist,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0,exists,True,True,
step13bq_input_source_contract_row_count,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_input_source_contract.csv,15,15,True,
step13bq_field_mapping_contract_row_count,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_field_mapping_contract.csv,45,45,True,
step13bq_feature_interface_contract_row_count,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_feature_interface_contract.csv,16,16,True,
step13bq_mask_interface_contract_row_count,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_mask_interface_contract.csv,8,8,True,
step13bq_batch_collate_contract_row_count,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_batch_collate_contract.csv,10,10,True,
step13bq_checkpoint_compatibility_contract_row_count,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_checkpoint_compatibility_contract.csv,8,8,True,
step13bo_preview_csv_shape,data/derived/covalent_small/covapie_final_dataset_smoke_v0/covapie_final_dataset_smoke_preview.csv,20x45,20x45,True,
step13bm_feature_semantics_audit_completed,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_feature_semantics_audit_gate_manifest.json,true,True,True,
step13bm_feature_semantics_known_for_training,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_feature_semantics_audit_gate_manifest.json,false,False,True,
step13bm_unknown_atom_policy_finalized,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_feature_semantics_audit_gate_manifest.json,false,False,True,
canonical_mask_count,data/derived/covalent_small/covapie_dataloader_interface_smoke_v0/covapie_dataloader_interface_smoke_preview.csv,5,5,True,
b3_scaffold_only_included,data/derived/covalent_small/covapie_dataloader_interface_smoke_v0/covapie_dataloader_interface_smoke_preview.csv,true,True,True,
no_extra_mask_tasks_added,data/derived/covalent_small/covapie_dataloader_interface_smoke_v0/covapie_dataloader_interface_smoke_preview.csv,true,"[""linker_plus_warhead"", ""scaffold_only"", ""scaffold_plus_linker_plus_warhead"", ""scaffold_plus_warhead"", ""warhead_only""]",True,
metadata_csv_hash_unchanged,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,True,
raw_files_untracked,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0,false,False,True,
raw_files_unstaged,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0,false,False,True,
protected_source_diff_empty,equivariant_diffusion/ lightning_modules.py,empty,False,True,
original_dataloader_diff_empty,dataset.py data/prepare_crossdocked.py,empty,False,True,
