boundary_item,current_step_status,boundary_safety_passed,qa_comment
dataloader_interface_smoke,executed_interface_smoke_preview_only,True,dataloader interface smoke boundary respected
read_step13bq_design_contracts,executed_derived_csv_json_read_only,True,dataloader interface smoke boundary respected
read_step13bp_final_dataset_qa_artifacts,executed_derived_csv_json_read_only,True,dataloader interface smoke boundary respected
read_step13bo_final_dataset_smoke_preview,executed_derived_csv_json_read_only,True,dataloader interface smoke boundary respected
read_step13bn_design_artifacts,executed_derived_csv_json_read_only,True,dataloader interface smoke boundary respected
read_step13bm_feature_semantics_artifacts,executed_derived_csv_json_read_only,True,dataloader interface smoke boundary respected
read_step13bk_split_unit_preview,executed_derived_csv_json_read_only,True,dataloader interface smoke boundary respected
read_step13be_extracted_tables,executed_derived_csv_json_read_only,True,dataloader interface smoke boundary respected
static_original_dataloader_source_read,executed_static_text_reference_only,True,dataloader interface smoke boundary respected
dataloader_interface_smoke_preview_write,executed_interface_smoke_preview_only,True,dataloader interface smoke boundary respected
actual_dataloader_smoke_write,blocked_current_step,True,dataloader interface smoke boundary respected
real_dataloader_write,blocked_current_step,True,dataloader interface smoke boundary respected
original_dataloader_modify,blocked_current_step,True,dataloader interface smoke boundary respected
torch_import,blocked_current_step,True,dataloader interface smoke boundary respected
tensor_creation,blocked_current_step,True,dataloader interface smoke boundary respected
checkpoint_load,blocked_current_step,True,dataloader interface smoke boundary respected
model_forward,blocked_current_step,True,dataloader interface smoke boundary respected
loss_backward_optimizer,blocked_current_step,True,dataloader interface smoke boundary respected
final_dataset_write,blocked_current_step,True,dataloader interface smoke boundary respected
new_sample_index_write,blocked_current_step,True,dataloader interface smoke boundary respected
split_assignment_write,blocked_current_step,True,dataloader interface smoke boundary respected
leakage_matrix_write,blocked_current_step,True,dataloader interface smoke boundary respected
training,blocked_current_step,True,dataloader interface smoke boundary respected
raw_file_content_read,not_executed_or_not_allowed,True,dataloader interface smoke boundary respected
raw_cif_mmcif_sdf_pdb_gzip_read,not_executed_or_not_allowed,True,dataloader interface smoke boundary respected
mmcif_parse,not_executed_or_not_allowed,True,dataloader interface smoke boundary respected
coordinate_extraction,not_executed_or_not_allowed,True,dataloader interface smoke boundary respected
network_access,not_executed_or_not_allowed,True,dataloader interface smoke boundary respected
raw_download,not_executed_or_not_allowed,True,dataloader interface smoke boundary respected
rdkit_biopdb_gemmi,not_executed_or_not_allowed,True,dataloader interface smoke boundary respected
