precondition_item,artifact_or_check,expected_status,observed_status,precondition_passed,blocking_reasons
step13bs_manifest_exists,data/derived/covalent_small/covapie_dataloader_interface_qa_gate_v0/covapie_dataloader_interface_qa_gate_manifest.json,exists,True,True,
step13bs_stage,data/derived/covalent_small/covapie_dataloader_interface_qa_gate_v0/covapie_dataloader_interface_qa_gate_manifest.json,covapie_dataloader_interface_qa_gate_v0,covapie_dataloader_interface_qa_gate_v0,True,
step13bs_all_checks_passed,data/derived/covalent_small/covapie_dataloader_interface_qa_gate_v0/covapie_dataloader_interface_qa_gate_manifest.json,true,True,True,
step13bs_ready_for_smoke_design_gate,data/derived/covalent_small/covapie_dataloader_interface_qa_gate_v0/covapie_dataloader_interface_qa_gate_manifest.json,true,True,True,
step13bs_ready_for_dataloader_smoke,data/derived/covalent_small/covapie_dataloader_interface_qa_gate_v0/covapie_dataloader_interface_qa_gate_manifest.json,false,False,True,
step13bs_ready_for_training,data/derived/covalent_small/covapie_dataloader_interface_qa_gate_v0/covapie_dataloader_interface_qa_gate_manifest.json,false,False,True,
step13bs_ready_to_train_now,data/derived/covalent_small/covapie_dataloader_interface_qa_gate_v0/covapie_dataloader_interface_qa_gate_manifest.json,false,False,True,
step13br_preview_csv_shape,data/derived/covalent_small/covapie_dataloader_interface_smoke_v0/covapie_dataloader_interface_smoke_preview.csv,20x35,20x35,True,
step13br_preview_json_row_count,data/derived/covalent_small/covapie_dataloader_interface_smoke_v0/covapie_dataloader_interface_smoke_preview.json,20,20,True,
step13br_preview_not_rewritten_by_step13bs,data/derived/covalent_small/covapie_dataloader_interface_qa_gate_v0/covapie_dataloader_interface_qa_gate_manifest.json,false,False,True,
step13bq_contracts_exist,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0,exists,True,True,
step13bq_field_mapping_contract_row_count,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_field_mapping_contract.csv,45,45,True,
step13bq_checkpoint_contract_row_count,data/derived/covalent_small/covapie_dataloader_interface_design_gate_v0/covapie_dataloader_checkpoint_compatibility_contract.csv,8,8,True,
step13bo_final_dataset_preview_shape,data/derived/covalent_small/covapie_final_dataset_smoke_v0/covapie_final_dataset_smoke_preview.csv,20x45,20x45,True,
step13bm_feature_semantics_audit_completed,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_feature_semantics_audit_gate_manifest.json,true,True,True,
step13bm_feature_semantics_known_for_training,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_feature_semantics_audit_gate_manifest.json,false,False,True,
step13bm_unknown_atom_policy_finalized,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_feature_semantics_audit_gate_manifest.json,false,False,True,
canonical_mask_count,data/derived/covalent_small/covapie_dataloader_interface_smoke_v0/covapie_dataloader_interface_smoke_preview.csv,5,5,True,
b3_scaffold_only_included,data/derived/covalent_small/covapie_dataloader_interface_smoke_v0/covapie_dataloader_interface_smoke_preview.csv,true,True,True,
no_extra_mask_tasks_added,data/derived/covalent_small/covapie_dataloader_interface_smoke_v0/covapie_dataloader_interface_smoke_preview.csv,true,"[""linker_plus_warhead"", ""scaffold_only"", ""scaffold_plus_linker_plus_warhead"", ""scaffold_plus_warhead"", ""warhead_only""]",True,
metadata_csv_hash_unchanged,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,True,
raw_files_untracked,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0,false,False,True,
raw_files_unstaged,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0,false,False,True,
protected_source_diff_empty,equivariant_diffusion/ lightning_modules.py,empty,False,True,
original_dataloader_diff_empty,dataset.py data/prepare_crossdocked.py,empty,False,True,
