ligand_comp_id,ccd_source_relative_path,ccd_source_sha256,parent_ccd_atom_id_1,parent_ccd_atom_id_2,source_value_order,source_aromatic_flag,normalized_bond_order,component_parent_graph_sha256,authority_class,verified
JUG,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/JUG.cif,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,CAD,CAE,SING,Y,aromatic,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,sha_attested_local_ccd_derived_authority,true
JUG,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/JUG.cif,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,CAD,CAH,DOUB,Y,aromatic,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,sha_attested_local_ccd_derived_authority,true
JUG,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/JUG.cif,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,CAE,CAI,DOUB,Y,aromatic,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,sha_attested_local_ccd_derived_authority,true
JUG,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/JUG.cif,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,CAF,CAG,DOUB,N,double,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,sha_attested_local_ccd_derived_authority,true
JUG,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/JUG.cif,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,CAF,CAJ,SING,N,single,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,sha_attested_local_ccd_derived_authority,true
JUG,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/JUG.cif,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,CAG,CAK,SING,N,single,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,sha_attested_local_ccd_derived_authority,true
JUG,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/JUG.cif,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,CAH,CAL,SING,Y,aromatic,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,sha_attested_local_ccd_derived_authority,true
JUG,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/JUG.cif,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,CAI,CAM,SING,Y,aromatic,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,sha_attested_local_ccd_derived_authority,true
JUG,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/JUG.cif,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,CAI,OAC,SING,N,single,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,sha_attested_local_ccd_derived_authority,true
JUG,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/JUG.cif,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,CAJ,CAL,SING,N,single,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,sha_attested_local_ccd_derived_authority,true
JUG,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/JUG.cif,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,CAJ,OAA,DOUB,N,double,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,sha_attested_local_ccd_derived_authority,true
JUG,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/JUG.cif,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,CAK,CAM,SING,N,single,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,sha_attested_local_ccd_derived_authority,true
JUG,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/JUG.cif,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,CAK,OAB,DOUB,N,double,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,sha_attested_local_ccd_derived_authority,true
JUG,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/JUG.cif,972c0753c75a01b663f52b2827a56318fb35ca425630c6f17d52a9ef54136c23,CAL,CAM,DOUB,Y,aromatic,96aad302f8a2d416f4e8165465ffdf5326715c26e96e61a2773644ff0df22d6a,sha_attested_local_ccd_derived_authority,true
E64,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/E64.cif,12d4fc7fb6940e31d2164a5915e696bcb2aa1294d3369845f4f75dd92291130d,C1,C2,SING,N,single,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,sha_attested_local_ccd_derived_authority,true
E64,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/E64.cif,12d4fc7fb6940e31d2164a5915e696bcb2aa1294d3369845f4f75dd92291130d,C1,O1,DOUB,N,double,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,sha_attested_local_ccd_derived_authority,true
E64,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/E64.cif,12d4fc7fb6940e31d2164a5915e696bcb2aa1294d3369845f4f75dd92291130d,C1,O2,SING,N,single,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,sha_attested_local_ccd_derived_authority,true
E64,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/E64.cif,12d4fc7fb6940e31d2164a5915e696bcb2aa1294d3369845f4f75dd92291130d,C10,C8,SING,N,single,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,sha_attested_local_ccd_derived_authority,true
E64,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/E64.cif,12d4fc7fb6940e31d2164a5915e696bcb2aa1294d3369845f4f75dd92291130d,C11,C6,SING,N,single,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,sha_attested_local_ccd_derived_authority,true
E64,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/E64.cif,12d4fc7fb6940e31d2164a5915e696bcb2aa1294d3369845f4f75dd92291130d,C11,N2,SING,N,single,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,sha_attested_local_ccd_derived_authority,true
E64,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/E64.cif,12d4fc7fb6940e31d2164a5915e696bcb2aa1294d3369845f4f75dd92291130d,C11,O5,DOUB,N,double,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,sha_attested_local_ccd_derived_authority,true
E64,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/E64.cif,12d4fc7fb6940e31d2164a5915e696bcb2aa1294d3369845f4f75dd92291130d,C12,C13,SING,N,single,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,sha_attested_local_ccd_derived_authority,true
E64,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/E64.cif,12d4fc7fb6940e31d2164a5915e696bcb2aa1294d3369845f4f75dd92291130d,C12,N2,SING,N,single,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,sha_attested_local_ccd_derived_authority,true
E64,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/E64.cif,12d4fc7fb6940e31d2164a5915e696bcb2aa1294d3369845f4f75dd92291130d,C13,C14,SING,N,single,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,sha_attested_local_ccd_derived_authority,true
E64,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/E64.cif,12d4fc7fb6940e31d2164a5915e696bcb2aa1294d3369845f4f75dd92291130d,C14,C15,SING,N,single,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,sha_attested_local_ccd_derived_authority,true
E64,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/E64.cif,12d4fc7fb6940e31d2164a5915e696bcb2aa1294d3369845f4f75dd92291130d,C15,N3,SING,N,single,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,sha_attested_local_ccd_derived_authority,true
E64,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/E64.cif,12d4fc7fb6940e31d2164a5915e696bcb2aa1294d3369845f4f75dd92291130d,C16,N3,SING,N,single,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,sha_attested_local_ccd_derived_authority,true
E64,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/E64.cif,12d4fc7fb6940e31d2164a5915e696bcb2aa1294d3369845f4f75dd92291130d,C16,N4,SING,N,single,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,sha_attested_local_ccd_derived_authority,true
E64,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/E64.cif,12d4fc7fb6940e31d2164a5915e696bcb2aa1294d3369845f4f75dd92291130d,C16,N5,DOUB,N,double,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,sha_attested_local_ccd_derived_authority,true
E64,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/E64.cif,12d4fc7fb6940e31d2164a5915e696bcb2aa1294d3369845f4f75dd92291130d,C2,C3,SING,N,single,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,sha_attested_local_ccd_derived_authority,true
E64,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/E64.cif,12d4fc7fb6940e31d2164a5915e696bcb2aa1294d3369845f4f75dd92291130d,C3,C4,SING,N,single,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,sha_attested_local_ccd_derived_authority,true
E64,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/E64.cif,12d4fc7fb6940e31d2164a5915e696bcb2aa1294d3369845f4f75dd92291130d,C3,O3,SING,N,single,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,sha_attested_local_ccd_derived_authority,true
E64,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/E64.cif,12d4fc7fb6940e31d2164a5915e696bcb2aa1294d3369845f4f75dd92291130d,C4,N1,SING,N,single,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,sha_attested_local_ccd_derived_authority,true
E64,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/E64.cif,12d4fc7fb6940e31d2164a5915e696bcb2aa1294d3369845f4f75dd92291130d,C4,O4,DOUB,N,double,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,sha_attested_local_ccd_derived_authority,true
E64,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/E64.cif,12d4fc7fb6940e31d2164a5915e696bcb2aa1294d3369845f4f75dd92291130d,C6,C7,SING,N,single,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,sha_attested_local_ccd_derived_authority,true
E64,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/E64.cif,12d4fc7fb6940e31d2164a5915e696bcb2aa1294d3369845f4f75dd92291130d,C6,N1,SING,N,single,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,sha_attested_local_ccd_derived_authority,true
E64,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/E64.cif,12d4fc7fb6940e31d2164a5915e696bcb2aa1294d3369845f4f75dd92291130d,C7,C8,SING,N,single,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,sha_attested_local_ccd_derived_authority,true
E64,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/E64.cif,12d4fc7fb6940e31d2164a5915e696bcb2aa1294d3369845f4f75dd92291130d,C8,C9,SING,N,single,1f220cbfcc2f98d0b6f2ca7d9779c67cfd6f0b622c789fc6fe3e9d81ea218e31,sha_attested_local_ccd_derived_authority,true
ZYA,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/ZYA.cif,d82b2131da907d325252506ad316a93b3b8c16d5979536c5f3dfbac89f45cc3e,C,CA1,SING,N,single,3aeb30f23baca71d3bc2be918814015ebc55ad159a2f2a00751f3d757fee23f9,sha_attested_local_ccd_derived_authority,true
ZYA,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/ZYA.cif,d82b2131da907d325252506ad316a93b3b8c16d5979536c5f3dfbac89f45cc3e,C,N2,SING,N,single,3aeb30f23baca71d3bc2be918814015ebc55ad159a2f2a00751f3d757fee23f9,sha_attested_local_ccd_derived_authority,true
ZYA,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/ZYA.cif,d82b2131da907d325252506ad316a93b3b8c16d5979536c5f3dfbac89f45cc3e,C,O,DOUB,N,double,3aeb30f23baca71d3bc2be918814015ebc55ad159a2f2a00751f3d757fee23f9,sha_attested_local_ccd_derived_authority,true
ZYA,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/ZYA.cif,d82b2131da907d325252506ad316a93b3b8c16d5979536c5f3dfbac89f45cc3e,C1,N1,SING,N,single,3aeb30f23baca71d3bc2be918814015ebc55ad159a2f2a00751f3d757fee23f9,sha_attested_local_ccd_derived_authority,true
ZYA,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/ZYA.cif,d82b2131da907d325252506ad316a93b3b8c16d5979536c5f3dfbac89f45cc3e,C1,O1,DOUB,N,double,3aeb30f23baca71d3bc2be918814015ebc55ad159a2f2a00751f3d757fee23f9,sha_attested_local_ccd_derived_authority,true
ZYA,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/ZYA.cif,d82b2131da907d325252506ad316a93b3b8c16d5979536c5f3dfbac89f45cc3e,C1,O2,SING,N,single,3aeb30f23baca71d3bc2be918814015ebc55ad159a2f2a00751f3d757fee23f9,sha_attested_local_ccd_derived_authority,true
ZYA,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/ZYA.cif,d82b2131da907d325252506ad316a93b3b8c16d5979536c5f3dfbac89f45cc3e,C2,C3,SING,N,single,3aeb30f23baca71d3bc2be918814015ebc55ad159a2f2a00751f3d757fee23f9,sha_attested_local_ccd_derived_authority,true
ZYA,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/ZYA.cif,d82b2131da907d325252506ad316a93b3b8c16d5979536c5f3dfbac89f45cc3e,C2,O2,SING,N,single,3aeb30f23baca71d3bc2be918814015ebc55ad159a2f2a00751f3d757fee23f9,sha_attested_local_ccd_derived_authority,true
ZYA,data/raw/covalent_sources/ccd/independence_evidence_batch_000001/ZYA.cif,d82b2131da907d325252506ad316a93b3b8c16d5979536c5f3dfbac89f45cc3e,C3,C4,DOUB,Y,aromatic,3aeb30f23baca71d3bc2be918814015ebc55ad159a2f2a00751f3d757fee23f9,sha_attested_local_ccd_derived_authority,true
