canonical_event_id,sample_identity,lineage_id,current_runtime_model_usable_before,current_runtime_model_usable_after,leakage_evidence_complete,leakage_classification,leakage_key,leakage_group_id_before,leakage_group_id_after,formal_split_authoritative_before,formal_split_before,formal_split_authoritative_after,formal_split_after,split_membership_count,split_closure_status,assignment_policy,training_admission_readiness,exclusion_reason
COVAPIE_CYS_SG_EVENT_V1:1AEC:A:CYS:25-:SG:B:E64:C2,CYS_SG_SAMPLE_INDEX_000004,EXACT16_CURRENT11_STRICT_LINKER_LINEAGE,true,true,true,FROZEN_EXISTING_AUTHORITATIVE_GROUP,COVAPIE_LEAKAGE_GROUP_000002,COVAPIE_LEAKAGE_GROUP_000002,COVAPIE_LEAKAGE_GROUP_000002,true,validation,true,validation,1,FROZEN_FORMAL_SPLIT_PRESERVED,FROZEN_EXISTING_ASSIGNMENT,FORMAL_NONTRAIN_SPLIT_MEMBER,
COVAPIE_CYS_SG_EVENT_V1:1AIM:A:CYS:25-:SG:B:ZYA:CM,CYS_SG_SAMPLE_INDEX_000005,EXACT16_CURRENT11_STRICT_LINKER_LINEAGE,true,true,true,FROZEN_EXISTING_AUTHORITATIVE_GROUP,COVAPIE_LEAKAGE_GROUP_000003,COVAPIE_LEAKAGE_GROUP_000003,COVAPIE_LEAKAGE_GROUP_000003,true,validation,true,validation,1,FROZEN_FORMAL_SPLIT_PRESERVED,FROZEN_EXISTING_ASSIGNMENT,FORMAL_NONTRAIN_SPLIT_MEMBER,
COVAPIE_CYS_SG_EVENT_V1:1AU3:A:CYS:25-:SG:B:PCM:C22,CYS_SG_SAMPLE_INDEX_000006,EXACT16_CURRENT11_STRICT_LINKER_LINEAGE,true,true,true,FROZEN_EXISTING_AUTHORITATIVE_GROUP,COVAPIE_LEAKAGE_GROUP_000004,COVAPIE_LEAKAGE_GROUP_000004,COVAPIE_LEAKAGE_GROUP_000004,true,train,true,train,1,FROZEN_FORMAL_SPLIT_PRESERVED,FROZEN_EXISTING_ASSIGNMENT,FORMAL_TRAIN_ADMITTED,
COVAPIE_CYS_SG_EVENT_V1:1AU4:A:CYS:25-:SG:B:INP:C17,CYS_SG_SAMPLE_INDEX_000007,EXACT16_CURRENT11_STRICT_LINKER_LINEAGE,true,true,true,FROZEN_EXISTING_AUTHORITATIVE_GROUP,COVAPIE_LEAKAGE_GROUP_000004,COVAPIE_LEAKAGE_GROUP_000004,COVAPIE_LEAKAGE_GROUP_000004,true,train,true,train,1,FROZEN_FORMAL_SPLIT_PRESERVED,FROZEN_EXISTING_ASSIGNMENT,FORMAL_TRAIN_ADMITTED,
COVAPIE_CYS_SG_EVENT_V1:1AYU:A:CYS:25-:SG:B:INA:C21,CYS_SG_SAMPLE_INDEX_000008,EXACT16_CURRENT11_STRICT_LINKER_LINEAGE,true,true,true,FROZEN_EXISTING_AUTHORITATIVE_GROUP,COVAPIE_LEAKAGE_GROUP_000004,COVAPIE_LEAKAGE_GROUP_000004,COVAPIE_LEAKAGE_GROUP_000004,true,train,true,train,1,FROZEN_FORMAL_SPLIT_PRESERVED,FROZEN_EXISTING_ASSIGNMENT,FORMAL_TRAIN_ADMITTED,
COVAPIE_CYS_SG_EVENT_V1:1AYV:A:CYS:25-:SG:B:IN6:C21,CYS_SG_SAMPLE_INDEX_000009,EXACT16_CURRENT11_STRICT_LINKER_LINEAGE,true,true,true,FROZEN_EXISTING_AUTHORITATIVE_GROUP,COVAPIE_LEAKAGE_GROUP_000004,COVAPIE_LEAKAGE_GROUP_000004,COVAPIE_LEAKAGE_GROUP_000004,true,train,true,train,1,FROZEN_FORMAL_SPLIT_PRESERVED,FROZEN_EXISTING_ASSIGNMENT,FORMAL_TRAIN_ADMITTED,
COVAPIE_CYS_SG_EVENT_V1:1AYW:A:CYS:25-:SG:B:IN3:C21,CYS_SG_SAMPLE_INDEX_000010,EXACT16_CURRENT11_STRICT_LINKER_LINEAGE,true,true,true,FROZEN_EXISTING_AUTHORITATIVE_GROUP,COVAPIE_LEAKAGE_GROUP_000004,COVAPIE_LEAKAGE_GROUP_000004,COVAPIE_LEAKAGE_GROUP_000004,true,train,true,train,1,FROZEN_FORMAL_SPLIT_PRESERVED,FROZEN_EXISTING_ASSIGNMENT,FORMAL_TRAIN_ADMITTED,
COVAPIE_CYS_SG_EVENT_V1:1B02:A:CYS:161-:SG:B:UFP:C6,CYS_SG_SAMPLE_INDEX_000011,EXACT16_CURRENT11_STRICT_LINKER_LINEAGE,true,true,true,FROZEN_EXISTING_AUTHORITATIVE_GROUP,COVAPIE_LEAKAGE_GROUP_000005,COVAPIE_LEAKAGE_GROUP_000005,COVAPIE_LEAKAGE_GROUP_000005,true,test,true,test,1,FROZEN_FORMAL_SPLIT_PRESERVED,FROZEN_EXISTING_ASSIGNMENT,FORMAL_NONTRAIN_SPLIT_MEMBER,
COVAPIE_CYS_SG_EVENT_V1:1BWC:A:CYS:58-:SG:D:AJ3:S5,COVAPIE_CYS_SG_EVENT_V1:1BWC:A:CYS:58-:SG:D:AJ3:S5,CUMULATIVE1000_OTHER_HUMAN_RELEVANT_EXACT5,false,false,false,RUNTIME_INCOMPLETE_NOT_SPLIT_ADMITTED,,COVAPIE_EXPANSION_LEAKAGE_GROUP_8B0FD459443D693D,COVAPIE_EXPANSION_LEAKAGE_GROUP_8B0FD459443D693D,false,,false,,0,FORMAL_SPLIT_NOT_AUTHORIZED,NO_ASSIGNMENT_RUNTIME_INCOMPLETE,RUNTIME_BINDING_INCOMPLETE,EVENT_TRAINING_USE_DECISION_INCOMPLETE|ROLE_AND_REACTIVE_PAIR_HUMAN_AUTHORITY_INCOMPLETE|CURRENT_RUNTIME_TENSORIZATION_AND_SUPERVISION_BINDING_NOT_PUBLISHED
COVAPIE_CYS_SG_EVENT_V1:1NFZ:A:CYS:67-:SG:E:EIP:C12,COVAPIE_CYS_SG_EVENT_V1:1NFZ:A:CYS:67-:SG:E:EIP:C12,CUMULATIVE1000_OTHER_HUMAN_RELEVANT_EXACT5,false,true,true,NEW_EXPANSION_COMPONENT,COVAPIE_BULK_READ_ONLY_COMPONENT_V1:e7a58d0f727515486502a1b7fa007dd981f5f00713865b172fd6c8e1912d9f74,COVAPIE_EXPANSION_LEAKAGE_GROUP_32E02A3645C2DE25,COVAPIE_EXPANSION_LEAKAGE_GROUP_E9D0DFDD004B6129,false,,true,test,1,FORMAL_SPLIT_CLOSED,PUBLISHED_GENERIC_ADDITIVE_COMPONENT_LEVEL_SPLIT_POLICY,FORMAL_NONTRAIN_SPLIT_MEMBER,
