stage,previous_stage,section,status,evidence,blocking_reasons,recommended_next_step
covapie_explicit_external_source_registry_config_smoke_v0,covapie_external_source_registry_configuration_gate_v0,step13al_precondition,passed,"{""rows"": 8}",,covapie_external_metadata_index_download_smoke
covapie_explicit_external_source_registry_config_smoke_v0,covapie_external_source_registry_configuration_gate_v0,source_config,passed,"{""rows"": 1, ""source_name"": ""CovPDB""}",,covapie_external_metadata_index_download_smoke
covapie_explicit_external_source_registry_config_smoke_v0,covapie_external_source_registry_configuration_gate_v0,schema_validation,passed,"{""rows"": 12}",,covapie_external_metadata_index_download_smoke
covapie_explicit_external_source_registry_config_smoke_v0,covapie_external_source_registry_configuration_gate_v0,value_validation,passed,"{""rows"": 12}",,covapie_external_metadata_index_download_smoke
covapie_explicit_external_source_registry_config_smoke_v0,covapie_external_source_registry_configuration_gate_v0,enabled_source,passed,"{""ready"": true, ""rows"": 8}",,covapie_external_metadata_index_download_smoke
covapie_explicit_external_source_registry_config_smoke_v0,covapie_external_source_registry_configuration_gate_v0,path_policy,passed,"{""path_opened"": false, ""rows"": 8}",,covapie_external_metadata_index_download_smoke
covapie_explicit_external_source_registry_config_smoke_v0,covapie_external_source_registry_configuration_gate_v0,execution_boundary,passed,"{""rows"": 24}",,covapie_external_metadata_index_download_smoke
covapie_explicit_external_source_registry_config_smoke_v0,covapie_external_source_registry_configuration_gate_v0,git_safety,passed,"{""rows"": 10}",,covapie_external_metadata_index_download_smoke
covapie_explicit_external_source_registry_config_smoke_v0,covapie_external_source_registry_configuration_gate_v0,mask_scope,passed,"{""rows"": 5}",,covapie_external_metadata_index_download_smoke
covapie_explicit_external_source_registry_config_smoke_v0,covapie_external_source_registry_configuration_gate_v0,feature_semantics,passed,"{""rows"": 12}",,covapie_external_metadata_index_download_smoke
covapie_explicit_external_source_registry_config_smoke_v0,covapie_external_source_registry_configuration_gate_v0,leakage_split,passed,"{""rows"": 12}",,covapie_external_metadata_index_download_smoke
covapie_explicit_external_source_registry_config_smoke_v0,covapie_external_source_registry_configuration_gate_v0,readiness_boundary,passed,"{""recommended_next_step"": ""covapie_external_metadata_index_download_smoke""}",,covapie_external_metadata_index_download_smoke
