boundary_item,current_step_status,execution_boundary_passed,blocking_reasons
explicit_external_source_registry_config_smoke,executed_config_smoke_only,True,
source_config_write,executed_config_only,True,
source_config_validation,executed_validation_only,True,
external_network_access,not_executed_or_not_allowed,True,
external_source_url_verification,not_executed_or_not_allowed,True,
external_metadata_download,not_executed_or_not_allowed,True,
metadata_index_file_open,not_executed_or_not_allowed,True,
raw_structure_download,not_executed_or_not_allowed,True,
raw_data_read,not_executed_or_not_allowed,True,
raw_file_copy,not_executed_or_not_allowed,True,
sdf_read,not_executed_or_not_allowed,True,
pdb_read,not_executed_or_not_allowed,True,
mmcif_read,not_executed_or_not_allowed,True,
gzip_open,not_executed_or_not_allowed,True,
rdkit_use,not_executed_or_not_allowed,True,
biopdb_use,not_executed_or_not_allowed,True,
gemmi_use,not_executed_or_not_allowed,True,
candidate_metadata_materialization,not_executed_or_not_allowed,True,
candidate_allowlist_materialization,not_executed_or_not_allowed,True,
sample_index_write,not_executed_or_not_allowed,True,
final_dataset_write,not_executed_or_not_allowed,True,
torch_import,not_executed_or_not_allowed,True,
model_forward,not_executed_or_not_allowed,True,
training_claim,not_executed_or_not_allowed,True,
