observed_column,observed_column_order,non_empty_count,unique_count,example_values_first_3,observed_schema_audit_passed,blocking_reasons
source_dataset_name,1,25,1,CovPDB;CovPDB;CovPDB,True,
source_dataset_version,2,25,1,covpdb_web_metadata_smoke_2026-07-06;covpdb_web_metadata_smoke_2026-07-06;covpdb_web_metadata_smoke_2026-07-06,True,
source_page_url,3,25,1,https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id;https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id;https://drug-discovery.vm.uni-freiburg.de/covpdb/complexes_list/initial=Allsortedby=protein_id,True,
source_record_url,4,25,25,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2037;https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2034;https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1,True,
covpdb_record_index,5,25,25,1;2;3,True,
pdb_id,6,25,25,1A3B;1A3E;1A46,True,
protein_name,7,25,11,Prothrombin;Prothrombin;Prothrombin,True,
organism,8,25,9,Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human),True,
uniprot_id,9,25,11,P00734;P00734;P00734,True,
uniprot_label,10,25,11,THRB_HUMAN;THRB_HUMAN;THRB_HUMAN,True,
ligand_name,11,25,24,"TRI166;BOROLOG2;(1S,7S)-7-amino-N-[(2R,3S)-7-amino-1-(cyclohexylamino)-2-keto-1-oxoheptan-3-yl]-7-benzyl-8-oxohexahydro-1H-pyrazolo[1,2-a]pyridazine-1-carboxamide",True,
het_code,12,25,24,T29;T16;00K,True,
covpdb_ligand_id,13,25,24,COVPDB1333;COVPDB1330;COVPDB1,True,
covpdb_complex_card_url,14,25,25,https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2037;https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=2034;https://drug-discovery.vm.uni-freiburg.de/covpdb/complex_card/pdb_ligand_id=1,True,
acquisition_method,15,25,1,urllib_html_metadata_only;urllib_html_metadata_only;urllib_html_metadata_only,True,
acquisition_timestamp_utc,16,25,1,2026-07-06T12:59:28+00:00;2026-07-06T12:59:28+00:00;2026-07-06T12:59:28+00:00,True,
raw_structure_downloaded,17,25,1,False;False;False,True,
raw_ligand_downloaded,18,25,1,False;False;False,True,
metadata_only_record,19,25,1,True;True;True,True,
