boundary_item,current_step_status,boundary_safety_passed,qa_comment
extraction_qa_gate,executed_qa_gate_only,True,boundary_respected
read_step13be_derived_tables,executed_derived_csv_json_read_only,True,boundary_respected
raw_file_content_read,not_executed_current_step,True,boundary_respected
mmcif_parse,not_executed_current_step,True,boundary_respected
atom_site_scan,not_executed_current_step,True,boundary_respected
struct_conn_scan,not_executed_current_step,True,boundary_respected
coordinate_extraction,not_executed_current_step,True,boundary_respected
extracted_event_table_write,not_executed_current_step_already_completed_previous_step,True,boundary_respected
extracted_atom_table_write,not_executed_current_step_already_completed_previous_step,True,boundary_respected
sample_index,blocked_current_step,True,boundary_respected
final_dataset,blocked_current_step,True,boundary_respected
split_assignments,blocked_current_step,True,boundary_respected
leakage_matrix,blocked_current_step,True,boundary_respected
training,blocked_current_step,True,boundary_respected
network_access,not_executed_or_not_allowed,True,boundary_respected
raw_download,not_executed_or_not_allowed,True,boundary_respected
rdkit_biopdb_gemmi,not_executed_or_not_allowed,True,boundary_respected
torch_model_training,not_executed_or_not_allowed,True,boundary_respected
