auxiliary_label_name,current_status,required_before_training,current_materialized,future_required_action,blocker_severity,auxiliary_label_semantics_passed
scaffold_linker_warhead_annotation,required_before_training_not_materialized,True,False,materialize and QA scaffold/linker/warhead atom labels,blocking,True
warhead_type_label,required_before_training_not_materialized,True,False,define and QA warhead type labels,blocking,True
ligand_residue_atom_pair_label,present_from_extraction_qa_feature_audit_required,True,True,audit atom pair semantics before training,blocking,True
pre_post_geometry_label,post_covalent_geometry_present_feature_audit_required,True,True,define pre/post geometry policy before training,blocking,True
covalent_reaction_type_label_future,future_required_not_materialized,True,False,design future reaction type labels,blocking,True
residue_class_label_future,future_required_not_materialized,True,False,design residue class labels,blocking,True
scaffold_identity_future,future_required_for_split_and_training,True,False,define scaffold identity label,blocking,True
linker_identity_future,future_required_for_split_and_training,True,False,define linker identity label,blocking,True
protein_sequence_cluster_future,future_required_for_leakage_control,True,False,define protein sequence clustering before training split,blocking,True
pocket_similarity_cluster_future,future_required_for_leakage_control,True,False,define pocket similarity clustering before training split,blocking,True
