geometry_feature_name,observed_source,current_semantics_status,coordinate_unit_or_policy,observed_count_or_range,training_readiness_status,blocker_before_training,geometry_semantics_audit_passed
covalent_bond_distance_angstrom,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_event_table.csv,post_covalent_distance_present,angstrom,1.572-1.821,not_training_ready,geometry_semantics_policy_required,True
protein_atom_xyz_coordinates,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,derived_table_coordinates_present_no_raw_current_step,angstrom_inherited_from_extraction,1071,not_training_ready,protein_feature_semantics_required,True
ligand_atom_xyz_coordinates,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_ligand_atom_table.csv,derived_table_coordinates_present_no_raw_current_step,angstrom_inherited_from_extraction,149,not_training_ready,ligand_feature_semantics_required,True
post_covalent_geometry_status,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_event_table.csv,post_covalent_geometry_present,post_covalent_structure_only,4,not_training_ready,pre_post_geometry_policy_required,True
pre_covalent_geometry_status,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_event_table.csv,pre_covalent_geometry_not_materialized_current_step,not_available_current_step,0,not_training_ready,pre_covalent_geometry_not_materialized,True
residue_atom_ligand_atom_pair,data/derived/covalent_small/covapie_sample_index_smoke_v0/covapie_sample_index_smoke.csv,explicit_pair_label_present,atom_name_pair_label,4,not_training_ready,atom_pair_label_semantics_required,True
pocket_radius_semantics,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_protein_pocket_atom_table.csv,derived_extraction_policy_reference_only,not_recomputed_current_step,source_extraction_smoke_policy,not_training_ready,pocket_definition_semantics_required,True
coordinate_frame_semantics,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_event_table.csv,structure_coordinate_frame_inherited_not_finalized,not_finalized_for_training_current_step,source_structure_frame,not_training_ready,coordinate_frame_audit_required,True
coordinate_unit_semantics,data/derived/covalent_small/covapie_batch_raw_read_extraction_smoke_v0/covapie_extracted_event_table.csv,angstrom_policy_documented,angstrom,source tables,not_training_ready,unit_policy_must_be_preserved_in_loader,True
geometry_training_readiness,current_gate,false,not_applicable,0 training-ready rows,false,ready_for_training_false,True
