precondition_item,artifact_or_check,expected_status,observed_status,precondition_passed,blocking_reasons
step13bx_manifest_exists,data/derived/covalent_small/covapie_feature_semantics_tensorization_audit_gate_v0/covapie_feature_semantics_tensorization_audit_gate_manifest.json,exists,True,True,
step13bx_stage,data/derived/covalent_small/covapie_feature_semantics_tensorization_audit_gate_v0/covapie_feature_semantics_tensorization_audit_gate_manifest.json,covapie_feature_semantics_tensorization_audit_gate_v0,covapie_feature_semantics_tensorization_audit_gate_v0,True,
step13bx_all_checks_passed,data/derived/covalent_small/covapie_feature_semantics_tensorization_audit_gate_v0/covapie_feature_semantics_tensorization_audit_gate_manifest.json,true,True,True,
step13bx_ready_for_feature_semantics_resolution_design_gate,data/derived/covalent_small/covapie_feature_semantics_tensorization_audit_gate_v0/covapie_feature_semantics_tensorization_audit_gate_manifest.json,true,True,True,
step13bx_ready_for_actual_dataloader_adapter_smoke,data/derived/covalent_small/covapie_feature_semantics_tensorization_audit_gate_v0/covapie_feature_semantics_tensorization_audit_gate_manifest.json,false,False,True,
step13bx_ready_for_actual_dataloader_smoke,data/derived/covalent_small/covapie_feature_semantics_tensorization_audit_gate_v0/covapie_feature_semantics_tensorization_audit_gate_manifest.json,false,False,True,
step13bx_ready_for_training,data/derived/covalent_small/covapie_feature_semantics_tensorization_audit_gate_v0/covapie_feature_semantics_tensorization_audit_gate_manifest.json,false,False,True,
step13bx_ready_to_train_now,data/derived/covalent_small/covapie_feature_semantics_tensorization_audit_gate_v0/covapie_feature_semantics_tensorization_audit_gate_manifest.json,false,False,True,
step13bx_feature_semantics_known_for_training,data/derived/covalent_small/covapie_feature_semantics_tensorization_audit_gate_v0/covapie_feature_semantics_tensorization_audit_gate_manifest.json,false,False,True,
step13bx_unknown_atom_policy_finalized,data/derived/covalent_small/covapie_feature_semantics_tensorization_audit_gate_v0/covapie_feature_semantics_tensorization_audit_gate_manifest.json,false,False,True,
step13bu_metadata_smoke_preview_shape,data/derived/covalent_small/covapie_metadata_dataloader_smoke_v0/covapie_metadata_dataloader_smoke_preview.csv,20x30,20x30,True,
step13bo_final_dataset_smoke_preview_shape,data/derived/covalent_small/covapie_final_dataset_smoke_v0/covapie_final_dataset_smoke_preview.csv,20x45,20x45,True,
step13bm_feature_semantics_audit_completed,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_feature_semantics_audit_gate_manifest.json,true,True,True,
canonical_mask_count,data/derived/covalent_small/covapie_metadata_dataloader_smoke_v0/covapie_metadata_dataloader_smoke_preview.csv,5,5,True,
b3_scaffold_only_included,data/derived/covalent_small/covapie_metadata_dataloader_smoke_v0/covapie_metadata_dataloader_smoke_preview.csv,true,True,True,
no_extra_mask_tasks_added,data/derived/covalent_small/covapie_metadata_dataloader_smoke_v0/covapie_metadata_dataloader_smoke_preview.csv,true,"[""linker_plus_warhead"", ""scaffold_only"", ""scaffold_plus_linker_plus_warhead"", ""scaffold_plus_warhead"", ""warhead_only""]",True,
metadata_csv_hash_unchanged,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,True,
raw_files_untracked,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0,false,False,True,
raw_files_unstaged,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0,false,False,True,
protected_source_diff_empty,equivariant_diffusion/ lightning_modules.py,empty,False,True,
original_dataloader_diff_empty,dataset.py data/prepare_crossdocked.py,empty,False,True,
