mapping_item,static_source_scope,observed_evidence_summary,proposed_resolution_policy,training_final_status,blocks_actual_tensor_dataloader_smoke,mapping_design_passed,qa_comment
original_dataset_py_feature_symbols,dataset.py,bytes=2693,map Dataset feature keys and collate expectations from static source only,not_training_final,True,True,static evidence only; no source modification; not final training semantics
original_prepare_crossdocked_feature_symbols,data/prepare_crossdocked.py,bytes=1896,map preprocessing feature symbols without reprocessing raw data,not_training_final,True,True,static evidence only; no source modification; not final training semantics
original_lightning_batch_key_symbols,lightning_modules.py,bytes=38178,record model batch-key expectations as checkpoint compatibility inputs,not_training_final,True,True,static evidence only; no source modification; not final training semantics
original_equivariant_diffusion_feature_symbols,equivariant_diffusion/,py_files=4;bytes=103798,record diffusion feature use as static compatibility evidence,not_training_final,True,True,static evidence only; no source modification; not final training semantics
original_atom_encoder_candidate_symbols,dataset.py;data/prepare_crossdocked.py;lightning_modules.py;equivariant_diffusion/;src/covalent_ext/,lightning_modules.py:88;equivariant_diffusion:45;src/covalent_ext:405,draft atom encoder mapping candidates only,not_training_final,True,True,static evidence only; no source modification; not final training semantics
original_atom_decoder_candidate_symbols,dataset.py;data/prepare_crossdocked.py;lightning_modules.py;equivariant_diffusion/;src/covalent_ext/,lightning_modules.py:31;equivariant_diffusion:11;src/covalent_ext:75,draft atom decoder mapping candidates only,not_training_final,True,True,static evidence only; no source modification; not final training semantics
original_residue_encoder_candidate_symbols,dataset.py;data/prepare_crossdocked.py;lightning_modules.py;equivariant_diffusion/;src/covalent_ext/,lightning_modules.py:25;equivariant_diffusion:48;src/covalent_ext:1166,draft residue encoder mapping candidates only,not_training_final,True,True,static evidence only; no source modification; not final training semantics
original_feature_dimension_candidate_symbols,dataset.py;data/prepare_crossdocked.py;lightning_modules.py;equivariant_diffusion/;src/covalent_ext/,lightning_modules.py:49;equivariant_diffusion:138;src/covalent_ext:27,draft feature dimension candidates only,not_training_final,True,True,static evidence only; no source modification; not final training semantics
original_one_hot_feature_candidate_symbols,dataset.py;data/prepare_crossdocked.py;lightning_modules.py;equivariant_diffusion/;src/covalent_ext/,lightning_modules.py:53;equivariant_diffusion:53;src/covalent_ext:365,draft one-hot feature policy candidates only,not_training_final,True,True,static evidence only; no source modification; not final training semantics
original_unknown_atom_candidate_symbols,dataset.py;data/prepare_crossdocked.py;lightning_modules.py;equivariant_diffusion/;src/covalent_ext/,equivariant_diffusion:18;src/covalent_ext:1525,link unknown atom evidence to a future policy contract,not_training_final,True,True,static evidence only; no source modification; not final training semantics
original_feature_schema_mapping_not_training_final,Step 13BX blocker audit,feature_semantics_known_for_training=false,keep all mapping policies non-final for training,not_training_final,True,True,static evidence only; no source modification; not final training semantics
original_checkpoint_compatibility_requires_static_mapping,Step 13BW/13BX blocker audit,checkpoint compatibility risk recorded,require a static mapping before any checkpoint or model runtime smoke,not_training_final,True,True,static evidence only; no source modification; not final training semantics
