safety_item,required_status,observed_status,safety_passed,blocking_reasons
network_access_used_current_step,False,False,True,
download_attempted_current_step,False,False,True,
raw_mmcif_read_current_step,False,False,True,
struct_conn_parsed_current_step,False,False,True,
atom_site_parsed_current_step,False,False,True,
data_raw_written_current_step,False,False,True,
existing_sample_index_read_current_step,True,True,True,
sample_index_modified_current_step,False,False,True,
sample_index_rewritten_current_step,False,False,True,
sample_index_files_unchanged,True,True,True,
metadata_csv_unchanged,True,True,True,
step14ae_artifacts_unchanged,True,True,True,
step14ad_artifacts_unchanged,True,True,True,
step14ac_artifacts_unchanged,True,True,True,
step14ab_artifacts_unchanged,True,True,True,
step14aa_artifacts_unchanged,True,True,True,
source_atom_event_tables_unchanged,True,True,True,
protected_source_diff_empty,True,True,True,
original_dataloader_diff_empty,True,True,True,
final_dataset_written,False,False,True,
split_assignments_written,False,False,True,
leakage_matrix_written,False,False,True,
actual_dataloader_smoke_written,False,False,True,
training_artifacts_written,False,False,True,
derived_output_no_forbidden_raw_binary_or_html_suffix,True,True,True,
torch_imported,False,False,True,
numpy_imported,False,False,True,
rdkit_used,False,False,True,
gemmi_used,False,False,True,
requests_used,False,False,True,
urllib_used,False,False,True,
selenium_used,False,False,True,
playwright_used,False,False,True,
bs4_used,False,False,True,
