mapping_id,final_dataset_field,primary_source_artifact,primary_source_field,fallback_source_artifact,fallback_source_field,transformation_rule,required_validation,mapping_status
CYS_SG_FINAL_DATASET_MAPPING_000001,final_dataset_row_id,design_policy,final_dataset_row_id,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000002,sample_index_row_id,sample_index,sample_index_row_id,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000003,sample_preparation_input_id,sample_index,sample_preparation_input_id,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000004,sample_execution_id,sample_index,sample_execution_id,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000005,sample_qa_id,sample_index,sample_qa_id,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000006,pdb_id,sample_index,pdb_id,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000007,expected_het_id,sample_index,expected_het_id,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000008,sample_artifact_root,sample_index,sample_artifact_root,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000009,protein_atom_table_path,sample_index,protein_atom_table_path,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
CYS_SG_FINAL_DATASET_MAPPING_000010,ligand_atom_table_path,sample_index,ligand_atom_table_path,,,planned string mapping,Step 14AE QA plus future leakage and feature semantics gates,planned_and_validated
