materialization_step,planned_action,allowed_inputs,allowed_outputs_future_step,blocked_outputs_current_step,required_preconditions,materialization_plan_passed
read_feature_semantics_audit_gate,read feature semantics audit gate,step13bm;step13bh;step13bk;step13be derived csv/json,final_dataset_smoke_preview_future_step_only,final_dataset.csv;final_dataset.json;split_assignments;leakage_matrix;dataloader_smoke;training,feature_semantics_audit_gate_passed;split_leakage_qa_passed,True
read_sample_index_smoke,read sample index smoke,step13bm;step13bh;step13bk;step13be derived csv/json,final_dataset_smoke_preview_future_step_only,final_dataset.csv;final_dataset.json;split_assignments;leakage_matrix;dataloader_smoke;training,feature_semantics_audit_gate_passed;split_leakage_qa_passed,True
read_split_unit_smoke_preview,read split unit smoke preview,step13bm;step13bh;step13bk;step13be derived csv/json,final_dataset_smoke_preview_future_step_only,final_dataset.csv;final_dataset.json;split_assignments;leakage_matrix;dataloader_smoke;training,feature_semantics_audit_gate_passed;split_leakage_qa_passed,True
join_sample_rows_to_split_units,join sample rows to split units,step13bm;step13bh;step13bk;step13be derived csv/json,final_dataset_smoke_preview_future_step_only,final_dataset.csv;final_dataset.json;split_assignments;leakage_matrix;dataloader_smoke;training,feature_semantics_audit_gate_passed;split_leakage_qa_passed,True
attach_atom_table_path_references,attach atom table path references,step13bm;step13bh;step13bk;step13be derived csv/json,final_dataset_smoke_preview_future_step_only,final_dataset.csv;final_dataset.json;split_assignments;leakage_matrix;dataloader_smoke;training,feature_semantics_audit_gate_passed;split_leakage_qa_passed,True
enforce_final_dataset_schema_contract,enforce final dataset schema contract,step13bm;step13bh;step13bk;step13be derived csv/json,final_dataset_smoke_preview_future_step_only,final_dataset.csv;final_dataset.json;split_assignments;leakage_matrix;dataloader_smoke;training,feature_semantics_audit_gate_passed;split_leakage_qa_passed,True
preserve_canonical_mask_semantics,preserve canonical mask semantics,step13bm;step13bh;step13bk;step13be derived csv/json,final_dataset_smoke_preview_future_step_only,final_dataset.csv;final_dataset.json;split_assignments;leakage_matrix;dataloader_smoke;training,feature_semantics_audit_gate_passed;split_leakage_qa_passed,True
preserve_feature_training_blockers,preserve feature training blockers,step13bm;step13bh;step13bk;step13be derived csv/json,final_dataset_smoke_preview_future_step_only,final_dataset.csv;final_dataset.json;split_assignments;leakage_matrix;dataloader_smoke;training,feature_semantics_audit_gate_passed;split_leakage_qa_passed,True
block_real_train_val_test_assignments,block real train val test assignments,step13bm;step13bh;step13bk;step13be derived csv/json,final_dataset_smoke_preview_future_step_only,final_dataset.csv;final_dataset.json;split_assignments;leakage_matrix;dataloader_smoke;training,feature_semantics_audit_gate_passed;split_leakage_qa_passed,True
write_final_dataset_smoke_preview_future_step,write final dataset smoke preview future step,step13bm;step13bh;step13bk;step13be derived csv/json,final_dataset_smoke_preview_future_step_only,final_dataset.csv;final_dataset.json;split_assignments;leakage_matrix;dataloader_smoke;training,feature_semantics_audit_gate_passed;split_leakage_qa_passed,True
final_dataset_qa_gate_future_step,final dataset qa gate future step,step13bm;step13bh;step13bk;step13be derived csv/json,final_dataset_smoke_preview_future_step_only,final_dataset.csv;final_dataset.json;split_assignments;leakage_matrix;dataloader_smoke;training,feature_semantics_audit_gate_passed;split_leakage_qa_passed,True
dataloader_smoke_blocked_until_final_dataset_qa,dataloader smoke blocked until final dataset qa,step13bm;step13bh;step13bk;step13be derived csv/json,final_dataset_smoke_preview_future_step_only,final_dataset.csv;final_dataset.json;split_assignments;leakage_matrix;dataloader_smoke;training,feature_semantics_audit_gate_passed;split_leakage_qa_passed,True
