split_policy_name,current_status,enforcement_level,current_step_write_status,future_required_action,split_policy_contract_passed
split_unit_id_required,required_in_final_dataset_schema,schema_contract,not_written_current_step,carry split_unit_id into smoke preview,True
no_random_row_level_split,forbidden,hard_blocker,not_written_current_step,enforce grouped split design,True
same_extracted_event_id_same_split_unit,enforced_by_step13bk_preview,hard_blocker,not_written_current_step,validate in final dataset smoke,True
same_candidate_metadata_id_same_split_unit,enforced_by_step13bk_preview,hard_blocker,not_written_current_step,validate in final dataset smoke,True
same_pdb_id_review_or_group,review_required_before_real_split,design_requirement,not_written_current_step,review PDB grouping in future larger dataset,True
real_split_assignment_not_written_current_step,not_written,hard_blocker,not_written_current_step,future split design gate with larger dataset,True
leakage_matrix_not_written_current_step,not_written,hard_blocker,not_written_current_step,future leakage matrix gate,True
smoke_size_too_small_for_real_train_val_test_split,blocks_real_split,hard_blocker,not_written_current_step,increase dataset size before real split,True
future_split_assignment_requires_larger_validated_dataset,required_before_training,future_gate,not_written_current_step,future split assignment materialization,True
final_dataset_smoke_not_training_split,smoke_only,hard_blocker,not_written_current_step,do not treat smoke as train/val/test split,True
