final_dataset_membership_id,sample_index_row_id,pdb_id,ligand_comp_id,canonical_row_order,assigned_split,assigned_split_rank,final_leakage_group_id,final_leakage_group_member_count,source_index_stage,source_split_sample_index_logical_name,source_sample_split_assignment_row_found,source_group_split_assignment_row_found,final_dataset_index_row_found,split_membership_consistent,group_membership_consistent,final_dataset_membership_passed,eligible_for_final_dataset_qa_gate_current_step,ready_for_training_current_step,feature_semantics_audit_required_before_training,blocking_reasons
COVAPIE_FINAL_DATASET_MEMBERSHIP_000001,CYS_SG_SAMPLE_INDEX_000001,6BV6,JUG,1,train,0,COVAPIE_LEAKAGE_GROUP_000001,3,pilot,train_sample_index,True,True,True,True,True,True,True,False,True,
COVAPIE_FINAL_DATASET_MEMBERSHIP_000002,CYS_SG_SAMPLE_INDEX_000002,6BV8,JUG,2,train,0,COVAPIE_LEAKAGE_GROUP_000001,3,pilot,train_sample_index,True,True,True,True,True,True,True,False,True,
COVAPIE_FINAL_DATASET_MEMBERSHIP_000003,CYS_SG_SAMPLE_INDEX_000003,6BV5,JUG,3,train,0,COVAPIE_LEAKAGE_GROUP_000001,3,pilot,train_sample_index,True,True,True,True,True,True,True,False,True,
COVAPIE_FINAL_DATASET_MEMBERSHIP_000004,CYS_SG_SAMPLE_INDEX_000004,1AEC,E64,4,validation,1,COVAPIE_LEAKAGE_GROUP_000002,1,expansion,validation_sample_index,True,True,True,True,True,True,True,False,True,
COVAPIE_FINAL_DATASET_MEMBERSHIP_000005,CYS_SG_SAMPLE_INDEX_000005,1AIM,ZYA,5,validation,1,COVAPIE_LEAKAGE_GROUP_000003,1,expansion,validation_sample_index,True,True,True,True,True,True,True,False,True,
COVAPIE_FINAL_DATASET_MEMBERSHIP_000006,CYS_SG_SAMPLE_INDEX_000006,1AU3,PCM,6,train,0,COVAPIE_LEAKAGE_GROUP_000004,5,expansion,train_sample_index,True,True,True,True,True,True,True,False,True,
COVAPIE_FINAL_DATASET_MEMBERSHIP_000007,CYS_SG_SAMPLE_INDEX_000007,1AU4,INP,7,train,0,COVAPIE_LEAKAGE_GROUP_000004,5,expansion,train_sample_index,True,True,True,True,True,True,True,False,True,
COVAPIE_FINAL_DATASET_MEMBERSHIP_000008,CYS_SG_SAMPLE_INDEX_000008,1AYU,INA,8,train,0,COVAPIE_LEAKAGE_GROUP_000004,5,expansion,train_sample_index,True,True,True,True,True,True,True,False,True,
COVAPIE_FINAL_DATASET_MEMBERSHIP_000009,CYS_SG_SAMPLE_INDEX_000009,1AYV,IN6,9,train,0,COVAPIE_LEAKAGE_GROUP_000004,5,expansion,train_sample_index,True,True,True,True,True,True,True,False,True,
COVAPIE_FINAL_DATASET_MEMBERSHIP_000010,CYS_SG_SAMPLE_INDEX_000010,1AYW,IN3,10,train,0,COVAPIE_LEAKAGE_GROUP_000004,5,expansion,train_sample_index,True,True,True,True,True,True,True,False,True,
COVAPIE_FINAL_DATASET_MEMBERSHIP_000011,CYS_SG_SAMPLE_INDEX_000011,1B02,UFP,11,test,2,COVAPIE_LEAKAGE_GROUP_000005,1,expansion,test_sample_index,True,True,True,True,True,True,True,False,True,
