source_role,source_path,source_sha256,committed_in_base,source_kind,selector_or_symbol,referenced_feature_count,referenced_sample_count,verified
conditional_config,configs/crossdock_fullatom_cond.yml,41428bcb548c4dc541f945ef4e52f8830fb1c64dd149fbce86aae98d73fcf519,True,yaml,dataset/pocket_representation/normalize_factors,0,0,True
atom_vocabulary,constants.py,dba13f16d831d48d1b9bb1b427207d0603a48c8687273d68ee7b599fe57afec9,True,python,dataset_params crossdock/crossdock_full,0,0,True
atom_pair_validation_manifest,data/derived/covalent_small/covapie_covalent_bond_atom_pair_encoding_contract_current_canonical_evidence_validation_v1/covapie_covalent_bond_atom_pair_encoding_contract_current_canonical_evidence_validation_manifest.json,229f5430feb3b5c147edce6c80dce684703b614e3764c7c18afd8344c25c3152,True,json,canonical masks and metadata boundary,0,11,True
feature_semantics_v0,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_auxiliary_label_semantics_audit.csv,929ba18ec36122d2941fd4a4bbd8623b7cb37dd0a12d9f9618a00a4eced3ca42,True,csv,dynamic tree match,0,0,True
feature_semantics_v0,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_coordinate_geometry_semantics_audit.csv,3a6312cc3a1d13a5f39c46a35c3f47c8e26ed26f1c4e6a278b1000409de0c7dc,True,csv,dynamic tree match,0,0,True
feature_semantics_v0,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_feature_semantics_audit_gate_manifest.json,a625335dd670ceb53f1515237a676c25d156b510eb80113ea8c4073e1ae1879d,True,json,dynamic tree match,0,0,True
feature_semantics_v0,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_feature_semantics_boundary_safety.csv,2ce31038a2321b1579fd91c8abc07ee13c0bd72d55639775760c13bdd44f15d3,True,csv,dynamic tree match,0,0,True
feature_semantics_v0,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_feature_semantics_contract.csv,15d69dd777cfcf62691b35a257e48798066f0668a0bbc170e8ad9192574109b0,True,csv,dynamic tree match,0,0,True
feature_semantics_v0,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_feature_semantics_git_safety.csv,cd93ad84b99f3b16f0a117310a3620d7042c8dc3e3193bb58c9795bdee913888,True,csv,dynamic tree match,0,0,True
feature_semantics_v0,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_feature_semantics_precondition_audit.csv,864615ac1538cf07599386240d5f36ba2a548c41a3e690273735b2eebe688498,True,csv,dynamic tree match,0,0,True
feature_semantics_v0,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_feature_semantics_training_blockers.csv,99af8f844b43ee6731f20b25ea4abc968e5eb7a12923f3797b3b2c6384d019d8,True,csv,dynamic tree match,0,0,True
feature_semantics_v0,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_feature_source_inventory_audit.csv,28363a39f1284f6330f5fe4bfa58e098eaedad84cd9143d2518a2e60a75afd09,True,csv,dynamic tree match,0,0,True
feature_semantics_v0,data/derived/covalent_small/covapie_feature_semantics_audit_gate_v0/covapie_mask_conditioning_semantics_audit.csv,898806983b773d99248e639dee5b43dfc4b7a7aae125860ca12c392219fa7257,True,csv,dynamic tree match,0,0,True
feature_tensorization_audit_v0,data/derived/covalent_small/covapie_feature_semantics_tensorization_audit_gate_v0/covapie_atom_feature_semantics_audit.csv,f7070feb2a04771aab793f136f6ca584a171a531d024e436b22ac4667790037f,True,csv,dynamic tree match,0,0,True
feature_tensorization_audit_v0,data/derived/covalent_small/covapie_feature_semantics_tensorization_audit_gate_v0/covapie_coordinate_tensorization_semantics_audit.csv,bd2e3060d6a292f3a388a53b313b6ae92a2d61798e9638cfa3634efaf1136dcf,True,csv,dynamic tree match,0,0,True
feature_tensorization_audit_v0,data/derived/covalent_small/covapie_feature_semantics_tensorization_audit_gate_v0/covapie_feature_semantics_resolution_plan.csv,5cb518dbe5ce4eccd8bd9b25cf5ef1ff93af35fdc7e063bdb4c67085906a21ac,True,csv,dynamic tree match,0,0,True
feature_tensorization_audit_v0,data/derived/covalent_small/covapie_feature_semantics_tensorization_audit_gate_v0/covapie_feature_semantics_tensorization_audit_gate_manifest.json,c89ebb3981be29c4180d477838d7eb3c9fbf3bc93aa52f4d07b9360c77d9bd91,True,json,dynamic tree match,0,0,True
feature_tensorization_audit_v0,data/derived/covalent_small/covapie_feature_semantics_tensorization_audit_gate_v0/covapie_feature_semantics_tensorization_precondition_audit.csv,60ecb78e392b691996fcc24080474b77a0e402c6c33aee179705a5e33149b095,True,csv,dynamic tree match,0,0,True
feature_tensorization_audit_v0,data/derived/covalent_small/covapie_feature_semantics_tensorization_audit_gate_v0/covapie_feature_semantics_tensorization_safety_audit.csv,f4ce631bb13a7dfa5cd1517d30b4205bdc6739adad35ad8470c02ac8bf7c6053,True,csv,dynamic tree match,0,0,True
feature_tensorization_audit_v0,data/derived/covalent_small/covapie_feature_semantics_tensorization_audit_gate_v0/covapie_label_tensorization_blocker_audit.csv,ce1ab5c8024b360ef72c95718898e4c052a5fd0c8a3d07c76bf92f50db64ae0a,True,csv,dynamic tree match,0,0,True
feature_tensorization_audit_v0,data/derived/covalent_small/covapie_feature_semantics_tensorization_audit_gate_v0/covapie_original_feature_source_static_audit.csv,df03c0e5a81c64bb3230877260d808ee7b7450b257ea36c32fc3846c94868129,True,csv,dynamic tree match,0,0,True
feature_tensorization_audit_v0,data/derived/covalent_small/covapie_feature_semantics_tensorization_audit_gate_v0/covapie_tensorization_readiness_decision_contract.csv,d3bf83d82e192ea8b2e7e22e11bc70d5b45eadec5e08d6efb46ef6c50ebfe19e,True,csv,dynamic tree match,0,0,True
feature_tensorization_audit_v0,data/derived/covalent_small/covapie_feature_semantics_tensorization_audit_gate_v0/covapie_unknown_atom_policy_audit.csv,3aaaab83d4696cebb1ef577ab2be574e4bf8ceeb4bec2dce2e6bff30b6dad934,True,csv,dynamic tree match,0,0,True
final_dataset_index,data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,c4c31888cb0f7c148b00656ccf22ab68fab842fcdafdee049b2f420eddc1302d,True,csv,11 canonical samples,0,11,True
ligand_atom_table,data/derived/covalent_small/covapie_independent_group_expansion_batch_sample_preparation_execution_smoke_v0/samples/1AEC_E64/ligand_atom_table.csv,02f4f7157da8318076290de0b36d21c2e40233e45e315264a67209dd2b4dc0cf,True,csv,type_symbol/x/y/z,0,1,True
