group_type,group_id,group_key,member_count,member_sample_index_row_ids,group_inventory_passed
protein_exact_sequence,COVAPIE_PROTEIN_EXACT_SEQUENCE_GROUP_000001,13321caa4faf35b2e1365239fdeb950565b323e195293a338445d1094adec0e8,1,CYS_SG_SAMPLE_INDEX_000011,True
protein_exact_sequence,COVAPIE_PROTEIN_EXACT_SEQUENCE_GROUP_000002,300f52a08e0185022926f5eaef5388f497b094b0f035d4a261a924ddc94545d8,1,CYS_SG_SAMPLE_INDEX_000005,True
protein_exact_sequence,COVAPIE_PROTEIN_EXACT_SEQUENCE_GROUP_000003,7925b9bd86f8b5b59669ff661fc710251796c627faa8b62c8a49e85e9c25c283,3,CYS_SG_SAMPLE_INDEX_000001;CYS_SG_SAMPLE_INDEX_000002;CYS_SG_SAMPLE_INDEX_000003,True
protein_exact_sequence,COVAPIE_PROTEIN_EXACT_SEQUENCE_GROUP_000004,7f8434e026a3be4c8eefc08d7581b922da1ea073cdc8e6aa79a78db9e845f9d1,1,CYS_SG_SAMPLE_INDEX_000004,True
protein_exact_sequence,COVAPIE_PROTEIN_EXACT_SEQUENCE_GROUP_000005,8db21c027375db3f037402864ce6c22e552b22b8a23f2e6414f447b2e7913295,5,CYS_SG_SAMPLE_INDEX_000006;CYS_SG_SAMPLE_INDEX_000007;CYS_SG_SAMPLE_INDEX_000008;CYS_SG_SAMPLE_INDEX_000009;CYS_SG_SAMPLE_INDEX_000010,True
protein_sequence_cluster_90,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_90_000001,sequence_identity_threshold_0.90|members:CYS_SG_SAMPLE_INDEX_000001;CYS_SG_SAMPLE_INDEX_000002;CYS_SG_SAMPLE_INDEX_000003,3,CYS_SG_SAMPLE_INDEX_000001;CYS_SG_SAMPLE_INDEX_000002;CYS_SG_SAMPLE_INDEX_000003,True
protein_sequence_cluster_90,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_90_000002,sequence_identity_threshold_0.90|members:CYS_SG_SAMPLE_INDEX_000004,1,CYS_SG_SAMPLE_INDEX_000004,True
protein_sequence_cluster_90,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_90_000003,sequence_identity_threshold_0.90|members:CYS_SG_SAMPLE_INDEX_000005,1,CYS_SG_SAMPLE_INDEX_000005,True
protein_sequence_cluster_90,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_90_000004,sequence_identity_threshold_0.90|members:CYS_SG_SAMPLE_INDEX_000006;CYS_SG_SAMPLE_INDEX_000007;CYS_SG_SAMPLE_INDEX_000008;CYS_SG_SAMPLE_INDEX_000009;CYS_SG_SAMPLE_INDEX_000010,5,CYS_SG_SAMPLE_INDEX_000006;CYS_SG_SAMPLE_INDEX_000007;CYS_SG_SAMPLE_INDEX_000008;CYS_SG_SAMPLE_INDEX_000009;CYS_SG_SAMPLE_INDEX_000010,True
protein_sequence_cluster_90,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_90_000005,sequence_identity_threshold_0.90|members:CYS_SG_SAMPLE_INDEX_000011,1,CYS_SG_SAMPLE_INDEX_000011,True
protein_sequence_cluster_50,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_50_000001,sequence_identity_threshold_0.50|members:CYS_SG_SAMPLE_INDEX_000001;CYS_SG_SAMPLE_INDEX_000002;CYS_SG_SAMPLE_INDEX_000003,3,CYS_SG_SAMPLE_INDEX_000001;CYS_SG_SAMPLE_INDEX_000002;CYS_SG_SAMPLE_INDEX_000003,True
protein_sequence_cluster_50,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_50_000002,sequence_identity_threshold_0.50|members:CYS_SG_SAMPLE_INDEX_000004,1,CYS_SG_SAMPLE_INDEX_000004,True
protein_sequence_cluster_50,COVAPIE_PROTEIN_SEQUENCE_CLUSTER_50_000003,sequence_identity_threshold_0.50|members:CYS_SG_SAMPLE_INDEX_000005,1,CYS_SG_SAMPLE_INDEX_000005,True
