safety_item,required_status,observed_status,safety_passed,blocking_reasons
network_access_used_current_step,False,False,True,
download_attempted_current_step,False,False,True,
raw_mmcif_read_current_step,True,True,True,
struct_conn_parsed_current_step,True,True,True,
atom_site_parsed_current_step,True,True,True,
raw_files_modified,False,False,True,
raw_files_tracked,False,False,True,
raw_files_staged,False,False,True,
part_or_tmp_files_remaining,False,False,True,
historical_sample_preparation_module_modified,False,False,True,
metadata_csv_unchanged,True,True,True,
sample_index_files_unchanged,True,True,True,
step14al_artifacts_unchanged,True,True,True,
step14ak_artifacts_unchanged,True,True,True,
historical_artifacts_unchanged,True,True,True,
protected_source_diff_empty,True,True,True,
original_dataloader_diff_empty,True,True,True,
per_sample_tables_written,True,True,True,
existing_sample_index_written,False,False,True,
split_assignments_written,False,False,True,
leakage_matrix_written,False,False,True,
final_dataset_written,False,False,True,
actual_dataloader_artifacts_written,False,False,True,
training_artifacts_written,False,False,True,
torch_imported,False,False,True,
numpy_imported,False,False,True,
rdkit_used,False,False,True,
biopython_used,False,False,True,
gemmi_used,False,False,True,
requests_used,False,False,True,
