audit_item,expected_status,observed_status,audit_passed,blocking_reasons
raw_fingerprint_verified,true,True,True,
raw_file_resolved,true,True,True,
atom_site_loop_parsed,true,True,True,
selected_struct_conn_event_revalidated,true,True,True,
residue_cys_sg_atom_unique,true,True,True,
ligand_instance_nonempty,true,True,True,
ligand_covalent_atom_unique,true,True,True,
protein_atom_table_nonempty,true,True,True,
ligand_atom_table_nonempty,true,True,True,
pocket_atom_table_nonempty,true,True,True,
covalent_event_table_single_row,true,True,True,
ligand_residue_atom_pair_single_row,true,True,True,
atom_site_struct_conn_distance_consistent,true,True,True,
