precondition_item,artifact_or_check,expected_status,observed_status,precondition_passed,blocking_reasons
step14af_stage,data/derived/covalent_small/covapie_final_dataset_design_gate_v0/covapie_final_dataset_design_gate_manifest.json,covapie_final_dataset_design_gate_v0,covapie_final_dataset_design_gate_v0,True,
step14af_all_checks_passed,data/derived/covalent_small/covapie_final_dataset_design_gate_v0/covapie_final_dataset_design_gate_manifest.json,True,True,True,
source_inventory_count,data/derived/covalent_small/covapie_final_dataset_design_gate_v0/covapie_final_dataset_design_gate_manifest.json,3,3,True,
schema_mapping_projection_counts,data/derived/covalent_small/covapie_final_dataset_design_gate_v0/covapie_final_dataset_design_gate_manifest.json,46/46/3,46/46/3,True,
auxiliary_readiness_count,data/derived/covalent_small/covapie_final_dataset_design_gate_v0/covapie_final_dataset_design_gate_manifest.json,9,9,True,
leakage_eligible_count,data/derived/covalent_small/covapie_final_dataset_design_gate_v0/covapie_final_dataset_design_gate_manifest.json,3,3,True,
final_materialization_eligible_count,data/derived/covalent_small/covapie_final_dataset_design_gate_v0/covapie_final_dataset_design_gate_manifest.json,0,0,True,
leakage_design_ready,data/derived/covalent_small/covapie_final_dataset_design_gate_v0/covapie_final_dataset_design_gate_manifest.json,True,True,True,
training_not_ready,data/derived/covalent_small/covapie_final_dataset_design_gate_v0/covapie_final_dataset_design_gate_manifest.json,False,False,True,
feature_semantics_unknown,data/derived/covalent_small/covapie_final_dataset_design_gate_v0/covapie_final_dataset_design_gate_manifest.json,False,False,True,
source_inventory_csv_json_consistent,data/derived/covalent_small/covapie_final_dataset_design_gate_v0/covapie_final_dataset_source_inventory.csv,3/3,3/3,True,
projection_plan_boundary,data/derived/covalent_small/covapie_final_dataset_design_gate_v0/covapie_final_dataset_row_projection_plan.csv,3 pending rows,3,True,
sample_index_rows,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0/sample_index.csv,3/3,3/3,True,
sample_index_csv_hash,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0/sample_index.csv,2733991775edf5e075b461a9ba1872c7e2fe7f61f5d9614a2704b814c3f0e2c5,2733991775edf5e075b461a9ba1872c7e2fe7f61f5d9614a2704b814c3f0e2c5,True,
sample_index_json_hash,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0/sample_index.json,8d740458e30cc77bbaa568c615dd10f5df334cd0c46f21433c570c16391b8b38,8d740458e30cc77bbaa568c615dd10f5df334cd0c46f21433c570c16391b8b38,True,
metadata_hash,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,True,
raw_untracked,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0,False,False,True,
raw_unstaged,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0,False,False,True,
step14af_unchanged,data/derived/covalent_small/covapie_final_dataset_design_gate_v0,False,False,True,
step14ae_unchanged,data/derived/covalent_small/covapie_sample_index_qa_gate_v0,False,False,True,
step14ad_unchanged,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0,False,False,True,
step14ac_unchanged,data/derived/covalent_small/covapie_sample_index_design_gate_v0,False,False,True,
step14aa_unchanged,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0,False,False,True,
protected_source_diff_empty,equivariant_diffusion/ lightning_modules.py,False,False,True,
original_dataloader_diff_empty,dataset.py data/prepare_crossdocked.py,False,False,True,
canonical_masks,canonical masks,5,5,True,
