precondition_item,artifact_or_check,expected_status,observed_status,precondition_passed,blocking_reasons
stage,data/derived/covalent_small/covapie_leakage_split_design_gate_v0/covapie_leakage_split_design_gate_manifest.json,covapie_leakage_split_design_gate_v0,covapie_leakage_split_design_gate_v0,True,
all_checks,data/derived/covalent_small/covapie_leakage_split_design_gate_v0/covapie_leakage_split_design_gate_manifest.json,True,True,True,
design_counts,data/derived/covalent_small/covapie_leakage_split_design_gate_v0/covapie_leakage_split_design_gate_manifest.json,3/3/1/10,3/3/1/10,True,
design_boundary,data/derived/covalent_small/covapie_leakage_split_design_gate_v0/covapie_leakage_split_design_gate_manifest.json,True,True,True,
review_ready,data/derived/covalent_small/covapie_leakage_split_design_gate_v0/covapie_leakage_split_design_gate_manifest.json,True,True,True,
source_json_consistent,data/derived/covalent_small/covapie_leakage_split_design_gate_v0/covapie_leakage_source_inventory.csv,3/3,3/3,True,
pairwise_unique,data/derived/covalent_small/covapie_leakage_split_design_gate_v0/covapie_leakage_pairwise_evidence.csv,3,3,True,
single_group_unassigned,data/derived/covalent_small/covapie_leakage_split_design_gate_v0/covapie_proposed_leakage_group_plan.csv,True,{'CYS_SG_LEAKAGE_GROUP_000001'},True,
feasibility,data/derived/covalent_small/covapie_leakage_split_design_gate_v0/covapie_split_feasibility_assessment.csv,1,1,True,
rules,data/derived/covalent_small/covapie_leakage_split_design_gate_v0/covapie_leakage_rule_contract.csv,10,10,True,
hash_csv,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0/sample_index.csv,2733991775edf5e075b461a9ba1872c7e2fe7f61f5d9614a2704b814c3f0e2c5,2733991775edf5e075b461a9ba1872c7e2fe7f61f5d9614a2704b814c3f0e2c5,True,
hash_json,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0/sample_index.json,8d740458e30cc77bbaa568c615dd10f5df334cd0c46f21433c570c16391b8b38,8d740458e30cc77bbaa568c615dd10f5df334cd0c46f21433c570c16391b8b38,True,
metadata,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,True,
raw_untracked,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0,False,False,True,
raw_unstaged,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0,False,False,True,
historical_clean,upstream,False,False,True,
protected,core,False,False,True,
masks,canonical,5,5,True,
