source_path,sha256,source_role,evidence_class,provides_actual_current11_value,schema_only,scope_note,verified
src/covalent_ext/covapie_tensor_label_and_loss_mask_contract_design_v1.py,3d2d03cda56dfb4a54370444f255f9bb0ab433aaeb837901e769098272ff51ac,predecessor_contract_implementation,authoritative,false,false,Exact5 and current11 role-authority blocker,true
docs/covapie_tensor_label_and_loss_mask_contract_design_v1_summary.md,87b32f37c0514ab86067ffb3c07f5a3e6f4991a05797a93eb1ece3dbb2c437b6,predecessor_summary,supporting,false,false,human-readable predecessor boundary,true
data/derived/covalent_small/covapie_tensor_label_and_loss_mask_contract_design_v1/covapie_tensor_label_and_loss_mask_contract_design_manifest.json,c0611d39074321744156c7ac3a527c54d4a84bd76c798a74fdbc1260b1bc6bcc,predecessor_decision,authoritative,true,false,current11 role and minimal-seed authority absent,true
data/derived/covalent_small/covapie_tensor_label_and_loss_mask_contract_design_v1/covapie_tensor_label_loss_mask_contract_registry.csv,dde4a96d1b38f1aa095fb8285616ff2877f91b2274be8bbf7a2e53e1250ec933,predecessor_tensor_registry,authoritative,true,false,Exact5 tensor prerequisites and blockers,true
data/derived/covalent_small/covapie_tensor_label_and_loss_mask_contract_design_v1/covapie_tensor_label_loss_mask_issue_readiness_inventory.csv,5a9dfcf4e9ebeba82adda99e72f956f16420424169ffbc8f6c3e85834e6ceaf8,predecessor_open_issue_lineage,authoritative,true,false,condition/task-mask blocker remains open,true
src/covalent_ext/masking.py,48bfba93c95222da4d889a9e9e788826ca3577b9126aa9260e26e0e948bb59c5,existing_mask_semantics,authoritative,false,false,read-only Exact5 implementation,true
src/covalent_ext/schema.py,71d05490e558c8618c13ca2c23d31d4b5c31789e476920fbaeb8344ac007a9b1,schema_field_declarations,gap_evidence,false,true,field existence is not current11 value evidence,true
docs/covalent_data_schema.md,d0f11a805ef314273ab9291d68dc9a8260a1885efdb8a89a168edab628983f1f,schema_documentation,gap_evidence,false,true,pre-reaction graph documented but not current11 materialized,true
data/derived/covalent_small/b3_scaffold_only_mask_design_v0/b3_scaffold_only_mask_protocol.json,21023f93a15204c2c3cd377af9d2e81fcde9f90fc5442e59b5d883e842985175,b3_nonempty_mask_contract,authoritative,false,false,B3 target scaffold; context linker plus warhead,true
data/derived/covalent_small/covapie_final_dataset_materialization_smoke_v0/final_dataset_index.csv,c4c31888cb0f7c148b00656ccf22ab68fab842fcdafdee049b2f420eddc1302d,current11_sample_identity_and_reactive_atoms,authoritative,true,false,11 canonical rows and reactive atom names,true
data/derived/covalent_small/covapie_covalent_bond_atom_pair_encoding_contract_current_canonical_evidence_validation_v1/covapie_atom_pair_atom_table_mapping_validation_matrix.csv,9f26b25ed11d186a02a1f859de10a105605ce3af13805ac5a4be1ad73199df45,current11_reactive_atom_mapping,authoritative,true,false,exact-one ligand and residue atom-table mappings,true
data/derived/covalent_small/covapie_training_feature_semantics_and_unknown_atom_policy_resolution_v1/covapie_heavy_atom_disposition_and_index_projection_matrix.csv,b53f438edffab32f78d07df839b8c8437ec4223e31bd8a8885deedf32497b4be,retained_heavy_projection_rows,authoritative,true,false,source-to-retained-heavy disposition evidence,true
data/derived/covalent_small/covapie_training_feature_semantics_and_unknown_atom_policy_resolution_v1/covapie_sample_heavy_atom_projection_validation_matrix.csv,63f1df49d9a6f4e0efbee6c8bb474deabaedea9cef91f27d2cf49f7caeee6f96,current11_retained_heavy_projection,authoritative,true,false,11 sample-level heavy-atom projection validations,true
data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0/ligand_topology_restoration_policy_design_gate_report.csv,e10301238d5da3e81820a091381c3d105a4544dea1c481bb1cfda134efc7138f,historical_topology_restoration_design,supporting,false,false,three-candidate design only; no topology table written,true
docs/real_covalent_confirmed_candidate_ligand_topology_restoration_policy_design_gate_v0_summary.md,e061c748fe7553c0545181225795d1d052922adff327e5e78a323ba2a168f7bd,historical_topology_scope_summary,supporting,false,false,restoration is residue-warhead-specific and review-gated,true
data/derived/covalent_small/covapie_bulk_download_admission_admit_008_topology_restoration_disposition_enum_contract_design_gate_v1/covapie_admit_008_topology_restoration_disposition_enum_registry.csv,38e41ef09b62848e55e6d43fa2ee65ecc3b24378fd8ac9ca72fd2e313261556a,topology_restoration_quarantine_policy,supporting,false,false,unapproved restoration requires review or quarantine,true
data/derived/covalent_small/covapie_independent_group_expansion_batch_independence_evidence_materialization_smoke_v0/covapie_ligand_graph_scaffold_evidence.csv,982a9f89a89d3a4ad6a3e468cfd16d2fdfd5435cbf6d593e086fbd7fadd3ec73,current11_ccd_graph_and_murcko_support,supporting,true,false,SMILES/Murcko support lacks frozen atom-indexed pre-reaction edge mapping,true
