blocker_item,expected_status,observed_status,preserved_in_all_getitems,blocker_runtime_passed,qa_comment
feature_semantics_known_for_training_false,false,false,True,True,runtime blocker preserved in metadata-only getitem output
unknown_atom_feature_policy_finalized_for_training_false,false,false,True,True,runtime blocker preserved in metadata-only getitem output
ready_for_training_false,false,false,True,True,runtime blocker preserved in metadata-only getitem output
no_torch_import,false,false,True,True,runtime blocker preserved in metadata-only getitem output
no_tensor_creation,false,false,True,True,runtime blocker preserved in metadata-only getitem output
no_numpy_output,false,false,True,True,runtime blocker preserved in metadata-only getitem output
no_checkpoint_load,false,false,True,True,runtime blocker preserved in metadata-only getitem output
no_model_forward,false,false,True,True,runtime blocker preserved in metadata-only getitem output
no_loss_compute,false,false,True,True,runtime blocker preserved in metadata-only getitem output
no_actual_dataloader_smoke,false,false,True,True,runtime blocker preserved in metadata-only getitem output
no_real_dataloader,false,false,True,True,runtime blocker preserved in metadata-only getitem output
no_training,false,false,True,True,runtime blocker preserved in metadata-only getitem output
