boundary_item,current_step_status,execution_boundary_passed,blocking_reasons
metadata_source_inventory_gate,executed_inventory_gate_only,True,
derived_csv_json_md_scan,executed_header_and_metadata_summary_only,True,
raw_data_read,not_executed_or_not_allowed,True,
raw_file_copy,not_executed_or_not_allowed,True,
sdf_read,not_executed_or_not_allowed,True,
sdf_write,not_executed_or_not_allowed,True,
pdb_read,not_executed_or_not_allowed,True,
pdb_write,not_executed_or_not_allowed,True,
mmcif_read,not_executed_or_not_allowed,True,
gzip_open,not_executed_or_not_allowed,True,
rdkit_use,not_executed_or_not_allowed,True,
biopdb_use,not_executed_or_not_allowed,True,
gemmi_use,not_executed_or_not_allowed,True,
atom_site_scan,not_executed_or_not_allowed,True,
candidate_metadata_materialization,not_executed_or_not_allowed,True,
candidate_allowlist_materialization,not_executed_or_not_allowed,True,
sample_index_write,not_executed_or_not_allowed,True,
final_dataset_write,not_executed_or_not_allowed,True,
adapter_instantiation,not_executed_or_not_allowed,True,
torch_import,not_executed_or_not_allowed,True,
tensor_creation,not_executed_or_not_allowed,True,
checkpoint_load,not_executed_or_not_allowed,True,
model_forward,not_executed_or_not_allowed,True,
training_claim,not_executed_or_not_allowed,True,
