failure_case,expected_outcome,observed_outcome,failure_detected,candidate_quarantine_registry_valid,candidate_exclusion_registry_valid,provider_issue_transition_applied,provider_issue_effective_status,ready_for_feature_semantics_audit,ready_for_tensorization,ready_for_training,fails_closed,verified
predecessor_sha_drift,invalid,invalid,true,true,true,false,open,false,false,false,true,true
policy_audit_outcome_not_frozen,invalid,invalid,true,true,true,false,open,false,false,false,true,true
quarantine_ready_false,invalid,invalid,true,true,true,false,open,false,false,false,true,true
blocking_row_count_not_11,invalid,invalid,true,false,false,false,open,false,false,false,true,true
duplicate_blocking_identity,invalid,invalid,true,false,false,false,open,false,false,false,true,true
non_quarantine_audit_disposition,invalid,invalid,true,false,false,false,open,false,false,false,true,true
source_provider_row_missing,invalid,invalid,true,false,false,false,open,false,false,false,true,true
source_provider_row_sha_drift,invalid,invalid,true,false,false,false,open,false,false,false,true,true
source_selector_mismatch,invalid,invalid,true,false,false,false,open,false,false,false,true,true
provider_status_not_exported_blocking,invalid,invalid,true,false,false,false,open,false,false,false,true,true
admit_004_outcome_mismatch,invalid,invalid,true,false,false,false,open,false,false,false,true,true
admit_004_reason_mismatch,invalid,invalid,true,false,false,false,open,false,false,false,true,true
duplicate_quarantine_id,invalid,invalid,true,false,false,false,open,false,false,false,true,true
missing_quarantine_row,invalid,invalid,true,false,false,false,open,false,false,false,true,true
quarantine_identity_projection_mismatch,invalid,invalid,true,false,false,false,open,false,false,false,true,true
provider_row_mutation_attempted,invalid,invalid,true,false,false,false,open,false,false,false,true,true
provider_value_falsely_marked_resolved,invalid,invalid,true,false,false,false,open,false,false,false,true,true
provider_reexport_requirement_removed,invalid,invalid,true,false,false,false,open,false,false,false,true,true
provider_admitted_membership_true,invalid,invalid,true,false,false,false,open,false,false,false,true,true
provider_passed_membership_true,invalid,invalid,true,false,false,false,open,false,false,false,true,true
future_canonical_membership_true,invalid,invalid,true,false,false,false,open,false,false,false,true,true
tensorization_membership_true,invalid,invalid,true,false,false,false,open,false,false,false,true,true
training_membership_true,invalid,invalid,true,false,false,false,open,false,false,false,true,true
existing_final_dataset_mutation_attempted,invalid,invalid,true,true,true,false,open,false,false,false,true,true
atom_pair_issue_regressed_to_open,invalid,invalid,true,true,true,false,open,false,false,false,true,true
provider_issue_resolved_before_exact11_quarantine,invalid,invalid,true,false,false,false,open,false,false,false,true,true
provider_issue_resolved_before_exact55_exclusions,invalid,invalid,true,true,false,false,open,false,false,false,true,true
feature_semantics_audit_prematurely_completed,invalid,invalid,true,true,true,false,open,false,false,false,true,true
ready_for_training_prematurely_true,invalid,invalid,true,true,true,false,open,false,false,false,true,true
quarantine_provider_export_identity_mismatch,invalid,invalid,true,false,false,false,open,false,false,false,true,true
quarantine_pdb_or_ligand_projection_mismatch,invalid,invalid,true,false,false,false,open,false,false,false,true,true
quarantine_residue_projection_mismatch,invalid,invalid,true,false,false,false,open,false,false,false,true,true
quarantine_insertion_state_or_code_mismatch,invalid,invalid,true,false,false,false,open,false,false,false,true,true
quarantine_admit_004_projection_mismatch,invalid,invalid,true,false,false,false,open,false,false,false,true,true
quarantine_reason_mismatch,invalid,invalid,true,false,false,false,open,false,false,false,true,true
exclusion_reason_mismatch,invalid,invalid,true,true,false,false,open,false,false,false,true,true
