training_blocker_item,required_status,current_step_status,training_blocker_passed,qa_comment
mask_warhead_only_A,preserved,preserved,True,training_blocker_preserved
mask_linker_plus_warhead_B,preserved,preserved,True,training_blocker_preserved
mask_scaffold_plus_warhead_B2,preserved,preserved,True,training_blocker_preserved
mask_scaffold_only_B3,preserved,preserved,True,training_blocker_preserved
mask_scaffold_plus_linker_plus_warhead_C,preserved,preserved,True,training_blocker_preserved
scaffold_linker_warhead_annotation_required_before_training,preserved,preserved,True,training_blocker_preserved
auxiliary_labels_required_before_training,preserved,preserved,True,training_blocker_preserved
feature_semantics_audit_required,preserved,preserved,True,training_blocker_preserved
feature_semantics_fully_audited_claimed_false,preserved,preserved,True,training_blocker_preserved
leakage_split_design_required,preserved,preserved,True,training_blocker_preserved
sample_index_written_current_step_false,preserved,preserved,True,training_blocker_preserved
split_written_current_step_false,preserved,preserved,True,training_blocker_preserved
leakage_matrix_written_current_step_false,preserved,preserved,True,training_blocker_preserved
ready_for_training_false,preserved,preserved,True,training_blocker_preserved
