planned_step,planned_action,allowed_inputs,allowed_outputs,blocked_outputs,required_preconditions,plan_passed
read_extraction_qa_gate,future_sample_index_smoke_operation,extraction_qa_gate_artifacts,loaded_qa_contracts,training,Step13BG passed,True
read_extracted_event_table,future_sample_index_smoke_operation,extracted_event_table,event_rows,training,extraction_qa_passed,True
read_extracted_atom_tables,future_sample_index_smoke_operation,protein_and_ligand_atom_tables,atom_row_counts,training,extraction_qa_passed,True
expand_4_events_to_20_mask_task_rows,future_sample_index_smoke_operation,4_events;5_masks,20_planned_rows,training,mask_contract_valid,True
assign_deterministic_sample_ids,future_sample_index_smoke_operation,planned_rows,sample_ids,training,expanded_rows,True
write_sample_index_smoke_csv,future_sample_index_smoke_operation,sample_rows,sample_index_smoke_csv,final_dataset;training,deterministic_ids,True
write_sample_index_smoke_json,future_sample_index_smoke_operation,sample_rows,sample_index_smoke_json,final_dataset;training,deterministic_ids,True
sample_index_qa_gate,qa_after_smoke,sample_index_smoke_outputs,qa_artifacts,training,sample_index_smoke_passed,True
split_leakage_design_gate,blocked_until_sample_index_qa,sample_index_qa_outputs,future_split_leakage_design,training,sample_index_qa_passed,True
feature_semantics_audit_gate,blocked_until_before_training,sample_index_or_final_dataset_context,feature_semantics_audit,training,before_training_or_finetune,True
final_dataset_design_gate,blocked_until_split_leakage_and_feature_semantics,split_leakage_and_feature_audits,future_final_dataset_design,training,split_and_feature_gates_passed,True
dataloader_smoke,blocked_until_final_dataset_design_smoke,final_dataset_smoke,loader_smoke_outputs,training,final_dataset_design_smoke_passed,True
training,blocked,none_current_step,none,forward;loss;backward;optimizer;trainer.fit,feature_semantics_audit;leakage_split_design;dataset_gates,True
