precondition_item,artifact_or_check,expected_status,observed_status,precondition_passed,blocking_reasons
step14ad_manifest_exists,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0/covapie_sample_index_materialization_smoke_manifest.json,exists,True,True,
step14ad_stage,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0/covapie_sample_index_materialization_smoke_manifest.json,covapie_sample_index_materialization_smoke_v0,covapie_sample_index_materialization_smoke_v0,True,
step14ad_all_checks_passed,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0/covapie_sample_index_materialization_smoke_manifest.json,True,True,True,
step14ad_sample_index_row_count,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0/covapie_sample_index_materialization_smoke_manifest.json,3,3,True,
step14ad_schema_field_count,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0/covapie_sample_index_materialization_smoke_manifest.json,33,33,True,
step14ad_schema_validation_passed_count,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0/covapie_sample_index_materialization_smoke_manifest.json,33,33,True,
step14ad_traceability_passed_count,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0/covapie_sample_index_materialization_smoke_manifest.json,3,3,True,
step14ad_materialization_issue_count,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0/covapie_sample_index_materialization_smoke_manifest.json,0,0,True,
step14ad_qa_gate_ready,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0/covapie_sample_index_materialization_smoke_manifest.json,True,True,True,
step14ad_training_not_ready,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0/covapie_sample_index_materialization_smoke_manifest.json,False,False,True,
step14ad_feature_semantics_unknown,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0/covapie_sample_index_materialization_smoke_manifest.json,False,False,True,
step14ad_unknown_atom_policy_unfinalized,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0/covapie_sample_index_materialization_smoke_manifest.json,False,False,True,
sample_index_csv_exists,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0/sample_index.csv,True,True,True,
sample_index_json_exists,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0/sample_index.json,True,True,True,
sample_index_csv_json_three_rows,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0/sample_index.csv,3/3,3/3,True,
step14ac_schema_contract_33_fields,data/derived/covalent_small/covapie_sample_index_design_gate_v0/covapie_sample_index_schema_contract.csv,33,33,True,
step14ad_schema_validation_33_passed,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0/covapie_sample_index_schema_validation_audit.csv,33 passed,33,True,
step14ad_traceability_3_passed,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0/covapie_sample_index_row_traceability_audit.csv,3 passed,3,True,
step14ad_issue_inventory_no_issues,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0/covapie_sample_index_materialization_issue_inventory.csv,NO_SAMPLE_INDEX_MATERIALIZATION_ISSUES,NO_SAMPLE_INDEX_MATERIALIZATION_ISSUES,True,
metadata_csv_hash_unchanged,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,True,
raw_files_not_tracked,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0,False,False,True,
raw_files_not_staged,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0,False,False,True,
step14ad_artifacts_unchanged,data/derived/covalent_small/covapie_sample_index_materialization_smoke_v0,False,False,True,
step14ac_artifacts_unchanged,data/derived/covalent_small/covapie_sample_index_design_gate_v0,False,False,True,
step14ab_artifacts_unchanged,data/derived/covalent_small/covapie_sample_preparation_qa_gate_v0,False,False,True,
step14aa_artifacts_unchanged,data/derived/covalent_small/covapie_sample_preparation_execution_smoke_v0,False,False,True,
protected_source_diff_empty,equivariant_diffusion/ lightning_modules.py,False,False,True,
original_dataloader_diff_empty,dataset.py data/prepare_crossdocked.py,False,False,True,
canonical_mask_count,canonical masks,5,5,True,
b3_scaffold_only_included,canonical masks,True,True,True,
no_extra_mask_tasks,canonical masks,True,"['warhead_only', 'linker_plus_warhead', 'scaffold_plus_warhead', 'scaffold_only', 'scaffold_plus_linker_plus_warhead']",True,
