precondition_item,artifact_or_check,expected_status,observed_status,precondition_passed,blocking_reasons
step14y_manifest_exists,data/derived/covalent_small/covapie_small_pilot_manifest_rerun_gate_v0/covapie_small_pilot_manifest_rerun_gate_manifest.json,exists,True,True,
step14y_stage,data/derived/covalent_small/covapie_small_pilot_manifest_rerun_gate_v0/covapie_small_pilot_manifest_rerun_gate_manifest.json,covapie_small_pilot_manifest_rerun_gate_v0,covapie_small_pilot_manifest_rerun_gate_v0,True,
step14y_all_checks_passed,data/derived/covalent_small/covapie_small_pilot_manifest_rerun_gate_v0/covapie_small_pilot_manifest_rerun_gate_manifest.json,true,True,True,
step14y_small_pilot_manifest_row_count,data/derived/covalent_small/covapie_small_pilot_manifest_rerun_gate_v0/covapie_small_pilot_manifest_rerun_gate_manifest.json,3,3,True,
step14y_ready_for_sample_preparation_count,data/derived/covalent_small/covapie_small_pilot_manifest_rerun_gate_v0/covapie_small_pilot_manifest_rerun_gate_manifest.json,3,3,True,
step14y_ready_for_sample_preparation_design_gate,data/derived/covalent_small/covapie_small_pilot_manifest_rerun_gate_v0/covapie_small_pilot_manifest_rerun_gate_manifest.json,true,True,True,
step14y_ready_for_training_false,data/derived/covalent_small/covapie_small_pilot_manifest_rerun_gate_v0/covapie_small_pilot_manifest_rerun_gate_manifest.json,false,False,True,
step14y_pilot_manifest_csv_json_exists_consistent,data/derived/covalent_small/covapie_small_pilot_manifest_rerun_gate_v0/covapie_small_pilot_ready_candidate_manifest.json,3 consistent rows,3 csv/3 json,True,
step14y_traceability_audit_all_passed,data/derived/covalent_small/covapie_small_pilot_manifest_rerun_gate_v0/covapie_small_pilot_manifest_traceability_audit.csv,3 passed,3,True,
step14y_blocked_exclusion_audit_exists,data/derived/covalent_small/covapie_small_pilot_manifest_rerun_gate_v0/covapie_small_pilot_manifest_blocked_exclusion_audit.csv,2,2,True,
metadata_csv_hash_unchanged,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,True,
raw_files_not_tracked,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0,false,False,True,
raw_files_not_staged,data/raw/covalent_sources/covpdb/future_struct_conn_crosscheck_raw_v0,false,False,True,
protected_source_diff_empty,equivariant_diffusion/ lightning_modules.py,empty,False,True,
original_dataloader_diff_empty,dataset.py data/prepare_crossdocked.py,empty,False,True,
canonical_mask_count,canonical masks,5,5,True,
b3_scaffold_only_included,canonical masks,true,True,True,
no_extra_mask_tasks,canonical masks,true,"[""warhead_only"", ""linker_plus_warhead"", ""scaffold_plus_warhead"", ""scaffold_only"", ""scaffold_plus_linker_plus_warhead""]",True,
