precondition_item,artifact_or_check,expected_status,observed_status,precondition_passed,blocking_reasons
step14d_manifest_exists,data/derived/covalent_small/covapie_small_pilot_candidate_expansion_gate_v0/covapie_small_pilot_candidate_expansion_gate_manifest.json,exists,True,True,
step14d_stage,data/derived/covalent_small/covapie_small_pilot_candidate_expansion_gate_v0/covapie_small_pilot_candidate_expansion_gate_manifest.json,covapie_small_pilot_candidate_expansion_gate_v0,covapie_small_pilot_candidate_expansion_gate_v0,True,
step14d_step_label,data/derived/covalent_small/covapie_small_pilot_candidate_expansion_gate_v0/covapie_small_pilot_candidate_expansion_gate_manifest.json,Step 14D,Step 14D,True,
step14d_all_checks_passed,data/derived/covalent_small/covapie_small_pilot_candidate_expansion_gate_v0/covapie_small_pilot_candidate_expansion_gate_manifest.json,true,True,True,
step14d_source_profile,data/derived/covalent_small/covapie_small_pilot_candidate_expansion_gate_v0/covapie_small_pilot_candidate_expansion_gate_manifest.json,covpdb_manual_metadata_v0,covpdb_manual_metadata_v0,True,
step14d_source_database,data/derived/covalent_small/covapie_small_pilot_candidate_expansion_gate_v0/covapie_small_pilot_candidate_expansion_gate_manifest.json,CovPDB,CovPDB,True,
step14d_selected_for_manifest_rerun_count,data/derived/covalent_small/covapie_small_pilot_candidate_expansion_gate_v0/covapie_small_pilot_candidate_expansion_gate_manifest.json,0,0,True,
step14d_manual_curation_gate_ready,data/derived/covalent_small/covapie_small_pilot_candidate_expansion_gate_v0/covapie_small_pilot_candidate_expansion_gate_manifest.json,true,True,True,
step14d_download_smoke_blocked,data/derived/covalent_small/covapie_small_pilot_candidate_expansion_gate_v0/covapie_small_pilot_candidate_expansion_gate_manifest.json,false,False,True,
step14d_recommended_next_step,data/derived/covalent_small/covapie_small_pilot_candidate_expansion_gate_v0/covapie_small_pilot_candidate_expansion_gate_manifest.json,covapie_small_pilot_manual_event_identity_curation_gate,covapie_small_pilot_manual_event_identity_curation_gate,True,
metadata_csv_exists,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,exists,True,True,
metadata_csv_hash_unchanged,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,True,
raw_files_untracked,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0,false,False,True,
raw_files_unstaged,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0,false,False,True,
protected_source_diff_empty,equivariant_diffusion/ lightning_modules.py,empty,False,True,
original_dataloader_diff_empty,dataset.py data/prepare_crossdocked.py,empty,False,True,
canonical_mask_count,data/derived/covalent_small/covapie_small_pilot_candidate_expansion_gate_v0/covapie_small_pilot_candidate_expansion_gate_manifest.json,5,5,True,
b3_scaffold_only_included,data/derived/covalent_small/covapie_small_pilot_candidate_expansion_gate_v0/covapie_small_pilot_candidate_expansion_gate_manifest.json,true,True,True,
no_extra_mask_tasks_added,data/derived/covalent_small/covapie_small_pilot_candidate_expansion_gate_v0/covapie_small_pilot_candidate_expansion_gate_manifest.json,true,True,True,
