boundary_item,current_step_status,boundary_safety_passed,qa_comment
split_leakage_design_gate,executed_design_gate_only,True,design gate boundary respected
read_step13bi_qa_artifacts,executed_derived_csv_json_read_only,True,design gate boundary respected
read_step13bh_sample_index,executed_derived_csv_json_read_only,True,design gate boundary respected
split_assignment_write,blocked_current_design_gate,True,design gate boundary respected
leakage_matrix_write,blocked_current_design_gate,True,design gate boundary respected
final_dataset,blocked_current_step,True,design gate boundary respected
dataloader_smoke,blocked_current_step,True,design gate boundary respected
training,blocked_current_step,True,design gate boundary respected
raw_file_content_read,not_executed_or_not_allowed,True,design gate boundary respected
mmcif_parse,not_executed_or_not_allowed,True,design gate boundary respected
coordinate_extraction,not_executed_or_not_allowed,True,design gate boundary respected
network_access,not_executed_or_not_allowed,True,design gate boundary respected
raw_download,not_executed_or_not_allowed,True,design gate boundary respected
rdkit_biopdb_gemmi,not_executed_or_not_allowed,True,design gate boundary respected
torch_model_training,not_executed_or_not_allowed,True,design gate boundary respected
