boundary_item,current_step_status,boundary_safety_passed,qa_comment
split_leakage_qa_gate,executed_qa_gate_only,True,split/leakage QA gate boundary respected
read_step13bk_smoke_artifacts,executed_derived_csv_json_read_only,True,split/leakage QA gate boundary respected
read_step13bj_design_artifacts,executed_derived_csv_json_read_only,True,split/leakage QA gate boundary respected
read_step13bi_qa_artifacts,executed_derived_csv_json_read_only,True,split/leakage QA gate boundary respected
read_step13bh_sample_index,executed_derived_csv_json_read_only,True,split/leakage QA gate boundary respected
split_unit_preview_write_current_step,not_executed_current_step_already_completed_previous_step,True,split/leakage QA gate boundary respected
split_assignment_write,blocked_current_step,True,split/leakage QA gate boundary respected
leakage_matrix_write,blocked_current_step,True,split/leakage QA gate boundary respected
final_dataset,blocked_current_step,True,split/leakage QA gate boundary respected
new_sample_index,blocked_current_step,True,split/leakage QA gate boundary respected
dataloader_smoke,blocked_current_step,True,split/leakage QA gate boundary respected
training,blocked_current_step,True,split/leakage QA gate boundary respected
raw_file_content_read,not_executed_or_not_allowed,True,split/leakage QA gate boundary respected
mmcif_parse,not_executed_or_not_allowed,True,split/leakage QA gate boundary respected
coordinate_extraction,not_executed_or_not_allowed,True,split/leakage QA gate boundary respected
network_access,not_executed_or_not_allowed,True,split/leakage QA gate boundary respected
raw_download,not_executed_or_not_allowed,True,split/leakage QA gate boundary respected
rdkit_biopdb_gemmi,not_executed_or_not_allowed,True,split/leakage QA gate boundary respected
torch_model_training,not_executed_or_not_allowed,True,split/leakage QA gate boundary respected
