boundary_item,current_step_status,boundary_safety_passed,qa_comment
split_leakage_smoke,executed_smoke_only,True,split/leakage smoke boundary respected
read_step13bj_design_artifacts,executed_derived_csv_json_read_only,True,split/leakage smoke boundary respected
read_step13bi_qa_artifacts,executed_derived_csv_json_read_only,True,split/leakage smoke boundary respected
read_step13bh_sample_index,executed_derived_csv_json_read_only,True,split/leakage smoke boundary respected
split_unit_smoke_preview_write,executed_smoke_only,True,split/leakage smoke boundary respected
split_assignment_write,blocked_current_step,True,split/leakage smoke boundary respected
leakage_matrix_write,blocked_current_step,True,split/leakage smoke boundary respected
final_dataset,blocked_current_step,True,split/leakage smoke boundary respected
new_sample_index,blocked_current_step,True,split/leakage smoke boundary respected
dataloader_smoke,blocked_current_step,True,split/leakage smoke boundary respected
training,blocked_current_step,True,split/leakage smoke boundary respected
raw_file_content_read,not_executed_or_not_allowed,True,split/leakage smoke boundary respected
mmcif_parse,not_executed_or_not_allowed,True,split/leakage smoke boundary respected
coordinate_extraction,not_executed_or_not_allowed,True,split/leakage smoke boundary respected
network_access,not_executed_or_not_allowed,True,split/leakage smoke boundary respected
raw_download,not_executed_or_not_allowed,True,split/leakage smoke boundary respected
rdkit_biopdb_gemmi,not_executed_or_not_allowed,True,split/leakage smoke boundary respected
torch_model_training,not_executed_or_not_allowed,True,split/leakage smoke boundary respected
