precondition_item,artifact_or_check,expected_status,observed_status,precondition_passed,blocking_reasons
step13bj_manifest_exists,data/derived/covalent_small/covapie_split_leakage_design_gate_v0/covapie_split_leakage_design_gate_manifest.json,exists,True,True,
step13bj_stage,data/derived/covalent_small/covapie_split_leakage_design_gate_v0/covapie_split_leakage_design_gate_manifest.json,covapie_split_leakage_design_gate_v0,covapie_split_leakage_design_gate_v0,True,
step13bj_all_checks_passed,data/derived/covalent_small/covapie_split_leakage_design_gate_v0/covapie_split_leakage_design_gate_manifest.json,true,True,True,
step13bj_ready_for_split_leakage_smoke,data/derived/covalent_small/covapie_split_leakage_design_gate_v0/covapie_split_leakage_design_gate_manifest.json,true,True,True,
step13bj_ready_for_split_leakage_qa_gate,data/derived/covalent_small/covapie_split_leakage_design_gate_v0/covapie_split_leakage_design_gate_manifest.json,false,False,True,
step13bj_ready_for_final_dataset_design_gate,data/derived/covalent_small/covapie_split_leakage_design_gate_v0/covapie_split_leakage_design_gate_manifest.json,false,False,True,
step13bj_ready_for_dataloader_smoke,data/derived/covalent_small/covapie_split_leakage_design_gate_v0/covapie_split_leakage_design_gate_manifest.json,false,False,True,
step13bj_ready_for_training,data/derived/covalent_small/covapie_split_leakage_design_gate_v0/covapie_split_leakage_design_gate_manifest.json,false,False,True,
step13bj_ready_to_train_now,data/derived/covalent_small/covapie_split_leakage_design_gate_v0/covapie_split_leakage_design_gate_manifest.json,false,False,True,
step13bj_grouping_key_contract,data/derived/covalent_small/covapie_split_leakage_design_gate_v0/covapie_split_grouping_key_contract.csv,13_passed,13_True,True,
step13bj_leakage_rule_contract,data/derived/covalent_small/covapie_split_leakage_design_gate_v0/covapie_split_leakage_rule_contract.csv,15_passed,15_True,True,
step13bj_split_unit_design_preview,data/derived/covalent_small/covapie_split_leakage_design_gate_v0/covapie_split_unit_design_preview.csv,4_passed,4_True,True,
sample_index_csv_row_count,data/derived/covalent_small/covapie_sample_index_smoke_v0/covapie_sample_index_smoke.csv,20,20,True,
sample_index_csv_column_count,data/derived/covalent_small/covapie_sample_index_smoke_v0/covapie_sample_index_smoke.csv,31,31,True,
sample_index_json_row_count,data/derived/covalent_small/covapie_sample_index_smoke_v0/covapie_sample_index_smoke.json,20,20,True,
step13bi_sample_index_qa_passed,data/derived/covalent_small/covapie_sample_index_qa_gate_v0/covapie_sample_index_qa_gate_manifest.json,true,True,True,
canonical_mask_count,data/derived/covalent_small/covapie_split_leakage_design_gate_v0/covapie_split_leakage_design_gate_manifest.json,5,5,True,
b3_scaffold_only_included,data/derived/covalent_small/covapie_split_leakage_design_gate_v0/covapie_split_leakage_design_gate_manifest.json,true,True,True,
no_extra_mask_tasks_added,data/derived/covalent_small/covapie_split_leakage_design_gate_v0/covapie_split_leakage_design_gate_manifest.json,true,True,True,
metadata_csv_hash_unchanged,data/derived/covalent_small/external_metadata_index/covpdb/covpdb_complexes_metadata_manual.csv,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,c31d836c01291057b35279bc4fc4c2de35eaaa064e4e7c9ac6d314006cd66365,True,
raw_files_untracked,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0,false,False,True,
raw_files_unstaged,data/raw/covalent_sources/covpdb/raw_structure_event_annotation_smoke_v0,false,False,True,
protected_source_diff_empty,equivariant_diffusion/ lightning_modules.py,empty,False,True,
original_dataloader_diff_empty,dataset.py data/prepare_crossdocked.py,empty,False,True,
